wbps_gene_id,principal_transcript_id,principal_cds_length,principal_isoform_type,genome_name,gene_description,transcript_biotype,species
TTRE5473,TTRE5473_t1,306.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE855,TTRE855_t1,1094.0,protein_coding,,Cleft lip and palate transmembrane protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZH95],protein_coding,trtricprjeb535
TTRE1308,TTRE1308_t1,648.0,protein_coding,,TPR 11 and TPR 8 and TPR 9 domain containing prot ein  [Source:UniProtKB/TrEMBL;Acc:A0A077YW39],protein_coding,trtricprjeb535
TTRE9066,TTRE9066_t1,554.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6701,TTRE6701_t1,326.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7269,TTRE7269_t1,311.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE334,TTRE334_t1,1409.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3340,TTRE3340_t1,233.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12626,TTRE12626_t1,341.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8620,TTRE8620_t1,287.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE182,TTRE182_t1,189.0,protein_coding,,VEFS-Box domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z3S7],protein_coding,trtricprjeb535
TTRE6416,TTRE6416_t1,587.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10147,TTRE10147_t1,1031.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9037,TTRE9037_t1,590.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5783,TTRE5783_t1,223.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3345,TTRE3345_t1,314.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11050,TTRE11050_t1,686.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5909,TTRE5909_t1,145.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1749,TTRE1749_t1,313.0,protein_coding,,Glycerol-3-phosphate dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4W8],protein_coding,trtricprjeb535
TTRE6665,TTRE6665_t1,1988.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1803,TTRE1803_t1,110.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4487,TTRE4487_t1,148.0,protein_coding,,Histone H3  [Source:UniProtKB/TrEMBL;Acc:A0A077ZHY3],protein_coding,trtricprjeb535
TTRE7004,TTRE7004_t1,278.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8061,TTRE8061_t1,1526.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6857,TTRE6857_t1,864.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3181,TTRE3181_t1,422.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10291,TTRE10291_t1,186.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5038,TTRE5038_t1,435.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6544,TTRE6544_t1,464.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10133,TTRE10133_t1,97.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3087,TTRE3087_t1,213.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1449,TTRE1449_t1,1064.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4447,TTRE4447_t1,1442.0,protein_coding,,Rsm22 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z431],protein_coding,trtricprjeb535
TTRE11070,TTRE11070_t1,401.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8267,TTRE8267_t1,1004.0,protein_coding,,Nucleosome assembly protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YV15],protein_coding,trtricprjeb535
TTRE8094,TTRE8094_t1,250.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8084,TTRE8084_t1,188.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2595,TTRE2595_t1,216.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6090,TTRE6090_t1,2985.0,protein_coding,,Autophagy protein 2 protein B  [Source:UniProtKB/TrEMBL;Acc:A0A077Z050],protein_coding,trtricprjeb535
TTRE11249,TTRE11249_t1,226.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10279,TTRE10279_t1,769.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7152,TTRE7152_t1,901.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5633,TTRE5633_t1,225.0,protein_coding,,Sodium and chloride dependent GABA transporter  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEP5],protein_coding,trtricprjeb535
TTRE9981,TTRE9981_t1,459.0,protein_coding,,Laminin G 3 and EGF and FXa inhibition and EGF 3 and CUB and hEGF and EGF CA and GCC2 GCC3 and Sushi and HYR domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYS3],protein_coding,trtricprjeb535
TTRE4292,TTRE4292_t1,488.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4480,TTRE4480_t1,1089.0,protein_coding,,Moesin/ezrin/radixin homolog 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z609],protein_coding,trtricprjeb535
TTRE5784,TTRE5784_t1,279.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4435,TTRE4435_t1,613.0,protein_coding,,glycerol kinase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9Y2],protein_coding,trtricprjeb535
TTRE10086,TTRE10086_t1,614.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3076,TTRE3076_t1,321.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5078,TTRE5078_t1,240.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8412,TTRE8412_t1,206.0,protein_coding,,Calcium:calmodulin dependent protein kinase type  [Source:UniProtKB/TrEMBL;Acc:A0A077YY19],protein_coding,trtricprjeb535
TTRE4358,TTRE4358_t1,314.0,protein_coding,,Tetraspanin family protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z295],protein_coding,trtricprjeb535
TTRE8911,TTRE8911_t1,793.0,protein_coding,,G_PROTEIN_RECEP_F1_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4G2],protein_coding,trtricprjeb535
TTRE5281,TTRE5281_t1,198.0,protein_coding,,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial  [Source:UniProtKB/TrEMBL;Acc:A0A077YXA9]",protein_coding,trtricprjeb535
TTRE2079,TTRE2079_t1,212.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10665,TTRE10665_t1,162.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE376,TTRE376_t1,719.0,protein_coding,,Ribosome recycling factor  [Source:UniProtKB/TrEMBL;Acc:A0A077YXC8],protein_coding,trtricprjeb535
TTRE1897,TTRE1897_t1,744.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5384,TTRE5384_t1,440.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2212,TTRE2212_t1,295.0,protein_coding,,Serine/threonine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2W3],protein_coding,trtricprjeb535
TTRE10346,TTRE10346_t1,614.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8356,TTRE8356_t1,194.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3071,TTRE3071_t1,836.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12453,TTRE12453_t1,462.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6410,TTRE6410_t1,1124.0,protein_coding,,Zf-CCHC and PSP domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZF12],protein_coding,trtricprjeb535
TTRE10981,TTRE10981_t1,160.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1472,TTRE1472_t1,522.0,protein_coding,,N acetylgalactosamine kinase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2Q8],protein_coding,trtricprjeb535
TTRE6881,TTRE6881_t1,392.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9895,TTRE9895_t1,284.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4453,TTRE4453_t1,968.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3007,TTRE3007_t1,445.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4916,TTRE4916_t1,2801.0,protein_coding,,Integrator complex subunit 6  [Source:UniProtKB/TrEMBL;Acc:A0A077ZG73],protein_coding,trtricprjeb535
TTRE8619,TTRE8619_t1,305.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6651,TTRE6651_t1,404.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12616,TTRE12616_t1,311.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12621,TTRE12621_t1,302.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7782,TTRE7782_t1,218.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7547,TTRE7547_t1,140.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10027,TTRE10027_t1,125.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3138,TTRE3138_t1,551.0,protein_coding,,Protein-tyrosine sulfotransferase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCW5],protein_coding,trtricprjeb535
TTRE9123,TTRE9123_t1,154.0,protein_coding,,Proteasome subunit beta  [Source:UniProtKB/TrEMBL;Acc:A0A077YWJ6],protein_coding,trtricprjeb535
TTRE10321,TTRE10321_t1,1281.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12168,TTRE12168_t1,392.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12004,TTRE12004_t1,367.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12360,TTRE12360_t1,1395.0,protein_coding,,KH_dom_type_1 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZLH9],protein_coding,trtricprjeb535
TTRE7589,TTRE7589_t1,442.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8981,TTRE8981_t1,290.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1091,TTRE1091_t1,435.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7253,TTRE7253_t1,366.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE465,TTRE465_t1,1592.0,protein_coding,,Nuclear receptor binding protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZH0],protein_coding,trtricprjeb535
TTRE1331,TTRE1331_t1,238.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10054,TTRE10054_t1,333.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2024,TTRE2024_t1,500.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6365,TTRE6365_t1,397.0,protein_coding,,Dual specificity protein phosphatase 19  [Source:UniProtKB/TrEMBL;Acc:A0A077Z934],protein_coding,trtricprjeb535
TTRE2841,TTRE2841_t1,1433.0,protein_coding,,Digestive organ expansion factor  [Source:UniProtKB/TrEMBL;Acc:A0A077ZGD0],protein_coding,trtricprjeb535
TTRE391,TTRE391_t1,326.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9215,TTRE9215_t1,290.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10374,TTRE10374_t1,755.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7210,TTRE7210_t1,244.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12557,TTRE12557_t1,237.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10575,TTRE10575_t1,368.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9729,TTRE9729_t1,274.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5266,TTRE5266_t1,268.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7073,TTRE7073_t1,225.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11090,TTRE11090_t1,455.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7458,TTRE7458_t1,215.0,protein_coding,,C-type lectin domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z702],protein_coding,trtricprjeb535
TTRE11186,TTRE11186_t1,1619.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9200,TTRE9200_t1,131.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12569,TTRE12569_t1,1463.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4627,TTRE4627_t1,1128.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11466,TTRE11466_t1,239.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5480,TTRE5480_t1,228.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9146,TTRE9146_t1,543.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5653,TTRE5653_t1,746.0,protein_coding,,Triosephosphate isomerase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZC84],protein_coding,trtricprjeb535
TTRE4176,TTRE4176_t1,477.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9672,TTRE9672_t1,229.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6120,TTRE6120_t1,383.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE368,TTRE368_t1,494.0,protein_coding,,HABP4 PAI-RBP1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z3M3],protein_coding,trtricprjeb535
TTRE3523,TTRE3523_t1,317.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7455,TTRE7455_t1,308.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5391,TTRE5391_t1,1142.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1166,TTRE1166_t2,349.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6969,TTRE6969_t1,301.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1478,TTRE1478_t1,167.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3385,TTRE3385_t1,494.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE219,TTRE219_t1,695.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5493,TTRE5493_t1,164.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3908,TTRE3908_t1,159.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3180,TTRE3180_t1,774.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6534,TTRE6534_t1,290.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10834,TTRE10834_t1,163.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE645,TTRE645_t1,485.0,protein_coding,,Timeless protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZD48],protein_coding,trtricprjeb535
TTRE6944,TTRE6944_t1,156.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10894,TTRE10894_t1,281.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1246,TTRE1246_t1,724.0,protein_coding,,DIRP family protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZAT6],protein_coding,trtricprjeb535
TTRE8303,TTRE8303_t1,630.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2090,TTRE2090_t1,323.0,protein_coding,,Pro isomerase domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7Q8],protein_coding,trtricprjeb535
TTRE7539,TTRE7539_t1,278.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7451,TTRE7451_t1,256.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4237,TTRE4237_t1,258.0,protein_coding,,2-hydroxyacyl-CoA lyase 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4N7],protein_coding,trtricprjeb535
TTRE553,TTRE553_t1,175.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10596,TTRE10596_t1,347.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8015,TTRE8015_t1,322.0,protein_coding,,Ribonuclease 3  [Source:UniProtKB/TrEMBL;Acc:A0A077ZBS9],protein_coding,trtricprjeb535
TTRE7042,TTRE7042_t1,157.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6592,TTRE6592_t1,122.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7088,TTRE7088_t1,483.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4362,TTRE4362_t1,428.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11706,TTRE11706_t1,317.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11665,TTRE11665_t1,285.0,protein_coding,,Tyrosine--tRNA ligase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z465],protein_coding,trtricprjeb535
TTRE2269,TTRE2269_t1,186.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1924,TTRE1924_t1,169.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5937,TTRE5937_t1,128.0,protein_coding,,PDZ domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2E6],protein_coding,trtricprjeb535
TTRE11340,TTRE11340_t1,986.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE86,TTRE86_t1,260.0,protein_coding,,Cystatin  [Source:UniProtKB/TrEMBL;Acc:A0A077Z044],protein_coding,trtricprjeb535
TTRE11068,TTRE11068_t1,440.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6308,TTRE6308_t1,236.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4932,TTRE4932_t1,234.0,protein_coding,,Ig 2 and I-set and fn3 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2W6],protein_coding,trtricprjeb535
TTRE9205,TTRE9205_t1,496.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2680,TTRE2680_t2,1024.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5825,TTRE5825_t1,692.0,protein_coding,,Flavin-containing monooxygenase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9H7],protein_coding,trtricprjeb535
TTRE7875,TTRE7875_t1,867.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2111,TTRE2111_t1,551.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6219,TTRE6219_t1,845.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8603,TTRE8603_t1,745.0,protein_coding,,Homeobox domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYV4],protein_coding,trtricprjeb535
TTRE9389,TTRE9389_t1,401.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE978,TTRE978_t1,205.0,protein_coding,,Zf-CDGSH domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z600],protein_coding,trtricprjeb535
TTRE7894,TTRE7894_t1,108.0,protein_coding,,"DNA-directed RNA polymerases I, II, and III subunit RPABC5  [Source:UniProtKB/TrEMBL;Acc:A0A077ZKT1]",protein_coding,trtricprjeb535
TTRE3987,TTRE3987_t1,698.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10582,TTRE10582_t1,,non_coding,,,nontranslating_CDS,trtricprjeb535
TTRE2446,TTRE2446_t1,476.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11761,TTRE11761_t1,301.0,protein_coding,,Transmembrane protein 170A  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2E2],protein_coding,trtricprjeb535
TTRE151,TTRE151_t1,493.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4403,TTRE4403_t1,1727.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12261,TTRE12261_t1,1577.0,protein_coding,,MBOAT domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2Q2],protein_coding,trtricprjeb535
TTRE10012,TTRE10012_t1,258.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8189,TTRE8189_t1,130.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8492,TTRE8492_t1,941.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4767,TTRE4767_t1,411.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12336,TTRE12336_t1,245.0,protein_coding,,Ribos L4 asso C and Ribosomal L4 domain containin g protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5S6],protein_coding,trtricprjeb535
TTRE2023,TTRE2023_t1,180.0,protein_coding,,N-alpha-acetyltransferase 50  [Source:UniProtKB/TrEMBL;Acc:A0A077ZG25],protein_coding,trtricprjeb535
TTRE11423,TTRE11423_t1,269.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4308,TTRE4308_t1,235.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3958,TTRE3958_t1,1610.0,protein_coding,,Zf-C2H2 4 and zf-C2H2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z300],protein_coding,trtricprjeb535
TTRE12159,TTRE12159_t1,389.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2016,TTRE2016_t1,294.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE329,TTRE329_t1,190.0,protein_coding,,EB domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFL5],protein_coding,trtricprjeb535
TTRE3176,TTRE3176_t1,188.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10828,TTRE10828_t1,297.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4912,TTRE4912_t1,719.0,protein_coding,,Neuropeptide Y receptor  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2V7],protein_coding,trtricprjeb535
TTRE6272,TTRE6272_t1,326.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7822,TTRE7822_t1,744.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6643,TTRE6643_t1,237.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12606,TTRE12606_t1,102.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE832,TTRE832_t1,2072.0,protein_coding,,Frizzled 1  [Source:UniProtKB/TrEMBL;Acc:A0A077YZS6],protein_coding,trtricprjeb535
TTRE548,TTRE548_t1,257.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10108,TTRE10108_t1,470.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5466,TTRE5466_t1,425.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7386,TTRE7386_t1,335.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11661,TTRE11661_t1,230.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1632,TTRE1632_t1,767.0,protein_coding,,PID domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8E9],protein_coding,trtricprjeb535
TTRE8098,TTRE8098_t1,1211.0,protein_coding,,Protein transport protein sec16  [Source:UniProtKB/TrEMBL;Acc:A0A077ZE99],protein_coding,trtricprjeb535
TTRE4910,TTRE4910_t1,318.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE650,TTRE650_t1,154.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10804,TTRE10804_t1,518.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2209,TTRE2209_t1,313.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9156,TTRE9156_t1,274.0,protein_coding,,,protein_coding,trtricprjeb535
