Gene stable ID,Genome name,Transcript stable ID,Gene description,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence,is_enzyme,is_enzyme_evidence,is_kinase,is_kinase_evidence,is_ion_channel,is_ion_channel_evidence,is_gpcr,is_gpcr_evidence,is_nuclear_receptor,is_nuclear_receptor_evidence,is_privileged_target_family,is_privileged_target_family_evidence
TTRE10006,Trichuris trichiura (PRJEB535),TTRE10006_t1,LEM and Ank domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0T0],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ANKLE1",True,Best human orthologue in WormBase ParaSite has < 40% identity: ANKLE1 31.1688%,True,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR034998 - Ankyrin repeat and LEM domain-containing protein 1,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE10007,Trichuris trichiura (PRJEB535),TTRE10007_t1,BRISC and BRCA1-A complex member 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1L2],True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10008,Trichuris trichiura (PRJEB535),TTRE10008_t1,Peptidase C39 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZP3],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ACTMAP",True,Best human orthologue in WormBase ParaSite has < 40% identity: ACTMAP 28.5714%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10009,Trichuris trichiura (PRJEB535),TTRE10009_t1,Deoxyuridine 5'-triphosphate nucleotidohydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4D3],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DUT",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DUT 67.5862%,True,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008181 - Deoxyuridine triphosphate nucleotidohydrolase,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE1001,Trichuris trichiura (PRJEB535),TTRE1001_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,True,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001254 - Serine proteases, trypsin domain",False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE10010,Trichuris trichiura (PRJEB535),TTRE10010_t1,RabGAP-TBC domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0S6],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TBC1D25",True,Best human orthologue in WormBase ParaSite has < 40% identity: TBC1D25 25.447%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10011,Trichuris trichiura (PRJEB535),TTRE10011_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10012,Trichuris trichiura (PRJEB535),TTRE10012_t1,,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TAF6",True,Best human orthologue in WormBase ParaSite has < 40% identity: TAF6 31.1927%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10013,Trichuris trichiura (PRJEB535),TTRE10013_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10014,Trichuris trichiura (PRJEB535),TTRE10014_t1,PDZ domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1J9],True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10015,Trichuris trichiura (PRJEB535),TTRE10015_t1,,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RAD50",True,Best human orthologue in WormBase ParaSite has < 40% identity: RAD50 27.4834%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10016,Trichuris trichiura (PRJEB535),TTRE10016_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,True,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR038729 - Rad50/SbcC-type AAA domain,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE10017,Trichuris trichiura (PRJEB535),TTRE10017_t1,,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PI4KB",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PI4KB 43.5424%,True,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR018936 - Phosphatidylinositol 3/4-kinase, conserved site",False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE10018,Trichuris trichiura (PRJEB535),TTRE10018_t1,DS domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z365],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DHPS",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DHPS 54.6667%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10019,Trichuris trichiura (PRJEB535),TTRE10019_t1,Serine  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4E9],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PNCK",True,Best human orthologue in WormBase ParaSite has < 40% identity: PNCK 25.072%,True,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008271 - Serine/threonine-protein kinase, active site, IPR045269 - Serine/threonine-protein kinase Atg1-like, IPR000719 - Protein kinase domain",True,"Encodes protein with InterPro domain(s)  that are related to GO:0004672: IPR008271 - Serine/threonine-protein kinase, active site, IPR045269 - Serine/threonine-protein kinase Atg1-like, IPR000719 - Protein kinase domain",False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,"Meets the following criteria: is_enzyme, is_kinase"
TTRE1002,Trichuris trichiura (PRJEB535),TTRE1002_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10020,Trichuris trichiura (PRJEB535),TTRE10020_t1,,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MCF2L",True,Best human orthologue in WormBase ParaSite has < 40% identity: MCF2L 12.7796%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10021,Trichuris trichiura (PRJEB535),TTRE10021_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10022,Trichuris trichiura (PRJEB535),TTRE10022_t1,Hsp90 chaperone protein kinase-targeting subunit  [Source:UniProtKB/TrEMBL;Acc:A0A077Z357],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CDC37L1",True,Best human orthologue in WormBase ParaSite has < 40% identity: CDC37L1 16.4179%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10023,Trichuris trichiura (PRJEB535),TTRE10023_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,True,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR045867 - DNA-directed RNA polymerase, subunit beta-prime, IPR007081 - RNA polymerase Rpb1, domain 5",False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,Meets the following criteria: is_enzyme
TTRE10024,Trichuris trichiura (PRJEB535),TTRE10024_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10026,Trichuris trichiura (PRJEB535),TTRE10026_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10027,Trichuris trichiura (PRJEB535),TTRE10027_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10028,Trichuris trichiura (PRJEB535),TTRE10028_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10029,Trichuris trichiura (PRJEB535),TTRE10029_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE1003,Trichuris trichiura (PRJEB535),TTRE1003_t1,Tyrosine protein kinase dnt  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0R9],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RYK",True,Best human orthologue in WormBase ParaSite has < 40% identity: RYK 32.8836%,True,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008266 - Tyrosine-protein kinase, active site, IPR000719 - Protein kinase domain, IPR001245 - Serine-threonine/tyrosine-protein kinase, catalytic domain",True,"Encodes protein with InterPro domain(s)  that are related to GO:0004672: IPR000719 - Protein kinase domain, IPR008266 - Tyrosine-protein kinase, active site, IPR001245 - Serine-threonine/tyrosine-protein kinase, catalytic domain",False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,True,"Meets the following criteria: is_enzyme, is_kinase"
TTRE10030,Trichuris trichiura (PRJEB535),TTRE10030_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10031,Trichuris trichiura (PRJEB535),TTRE10031_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10032,Trichuris trichiura (PRJEB535),TTRE10032_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10033,Trichuris trichiura (PRJEB535),TTRE10033_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10034,Trichuris trichiura (PRJEB535),TTRE10034_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10035,Trichuris trichiura (PRJEB535),TTRE10035_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10036,Trichuris trichiura (PRJEB535),TTRE10036_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10037,Trichuris trichiura (PRJEB535),TTRE10037_t1,Coronin  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFS4],False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CORO1B",False,Best human orthologue found in WormBase Parasite has >= 40% identity: CORO1B 43.3498%,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10038,Trichuris trichiura (PRJEB535),TTRE10038_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10039,Trichuris trichiura (PRJEB535),TTRE10039_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE1004,Trichuris trichiura (PRJEB535),TTRE1004_t2,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10040,Trichuris trichiura (PRJEB535),TTRE10040_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
TTRE10041,Trichuris trichiura (PRJEB535),TTRE10041_t1,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite,False,Does not have InterPro domains related to GO:0003824,False,Does not have InterPro domains related to GO:0004672,False,Does not have InterPro domains related to GO:0015267,False,Encodes protein that lacks InterPro GPCR domains,False,Does not have InterPro domains related to GO:0004879,False,"Does not meet the following criteria:  'is_enzyme', 'is_kinase', 'is_ion_channel', 'is_gpcr', 'is_nuclear_receptor'"
