Gene stable ID,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence
TTRE10045,ENSG00000164093,PITX2,ortholog_one2one,28.2878,35.1852,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PITX2",True,Best human orthologue in WormBase ParaSite has < 40% identity: PITX2 28.2878%
TTRE10046,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10047,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10048,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10049,ENSG00000184492,FOXD4L1,ortholog_many2many,20.4188,19.1176,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FOXD4L1",True,Best human orthologue in WormBase ParaSite has < 40% identity: FOXD4L1 20.4188%
TTRE1005,ENSG00000177731,FLII,ortholog_one2one,52.934,34.1214,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FLII",False,Best human orthologue found in WormBase Parasite has >= 40% identity: FLII 52.934%
TTRE10050,ENSG00000008710,PKD1,ortholog_one2many,27.3381,0.883105,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PKD1",True,Best human orthologue in WormBase ParaSite has < 40% identity: PKD1 27.3381%
TTRE10051,ENSG00000167578,RAB4B,ortholog_one2one,65.5814,66.1972,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RAB4B",False,Best human orthologue found in WormBase Parasite has >= 40% identity: RAB4B 65.5814%
TTRE10052,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10053,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10054,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10055,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10056,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10057,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10058,ENSG00000205927,OLIG2,ortholog_one2one,28.1081,16.0991,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: OLIG2",True,Best human orthologue in WormBase ParaSite has < 40% identity: OLIG2 28.1081%
TTRE10059,ENSG00000175536,LIPT2,ortholog_one2one,24.7911,38.5281,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: LIPT2",True,Best human orthologue in WormBase ParaSite has < 40% identity: LIPT2 24.7911%
TTRE1006,ENSG00000205629,LCMT1,ortholog_one2one,26.6106,28.4431,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: LCMT1",True,Best human orthologue in WormBase ParaSite has < 40% identity: LCMT1 26.6106%
TTRE10060,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10061,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10062,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10063,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10064,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10065,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10066,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10067,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10068,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10069,ENSG00000110536,PTPMT1,ortholog_one2one,30.6878,28.8557,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PTPMT1",True,Best human orthologue in WormBase ParaSite has < 40% identity: PTPMT1 30.6878%
TTRE1007,ENSG00000175467,SART1,ortholog_one2one,42.132,10.375,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SART1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: SART1 42.132%
TTRE10070,ENSG00000141552,ANAPC11,ortholog_one2one,33.0709,50.0,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ANAPC11",True,Best human orthologue in WormBase ParaSite has < 40% identity: ANAPC11 33.0709%
TTRE10071,ENSG00000083520,DIS3,ortholog_one2one,49.0073,48.9562,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DIS3",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DIS3 49.0073%
TTRE10072,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10073,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10074,ENSG00000112238,PRDM13,ortholog_one2many,31.8386,10.0424,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PRDM13",True,Best human orthologue in WormBase ParaSite has < 40% identity: PRDM13 31.8386%
TTRE10075,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10076,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10077,ENSG00000075856,SART3,ortholog_one2one,27.46,24.9221,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SART3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SART3 27.46%
TTRE10078,ENSG00000164252,AGGF1,ortholog_one2one,9.93843,15.8263,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: AGGF1",True,Best human orthologue in WormBase ParaSite has < 40% identity: AGGF1 9.93843%
TTRE10079,ENSG00000130165,ELOF1,ortholog_one2many,64.2857,65.0602,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ELOF1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: ELOF1 64.2857%
TTRE1008,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10080,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10081,ENSG00000100726,TELO2,ortholog_one2one,20.1502,19.2354,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TELO2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TELO2 20.1502%
TTRE10082,ENSG00000161526,SAP30BP,ortholog_one2one,21.1806,19.8052,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SAP30BP",True,Best human orthologue in WormBase ParaSite has < 40% identity: SAP30BP 21.1806%
TTRE10083,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10084,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10085,ENSG00000232040,SCAND3,ortholog_one2many,29.5775,6.33962,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 29.5775%
TTRE10086,ENSG00000179886,TIGD5,ortholog_one2many,17.1569,5.45171,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD5",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD5 17.1569%
TTRE10087,ENSG00000179886,TIGD5,ortholog_one2many,17.0543,6.85358,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD5",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD5 17.0543%
TTRE10088,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10089,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1009,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10090,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10091,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10092,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10093,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10094,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10095,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10096,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10097,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10098,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10099,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE101,ENSG00000120992,LYPLA1,ortholog_one2one,50.0,50.0,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: LYPLA1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: LYPLA1 50.0%
TTRE1010,ENSG00000152578,GRIA4,ortholog_many2many,22.658,11.5299,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: GRIA4",True,Best human orthologue in WormBase ParaSite has < 40% identity: GRIA4 22.658%
TTRE10100,ENSG00000221944,TIGD1,ortholog_many2many,23.3645,12.6904,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD1",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD1 23.3645%
TTRE10101,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10102,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10103,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10104,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10105,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10106,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10107,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10108,ENSG00000232040,SCAND3,ortholog_one2many,23.7179,2.79245,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 23.7179%
TTRE10109,ENSG00000232040,SCAND3,ortholog_one2many,30.7832,12.7547,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 30.7832%
TTRE1011,ENSG00000139180,NDUFA9,ortholog_one2many,28.1395,32.0955,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: NDUFA9",True,Best human orthologue in WormBase ParaSite has < 40% identity: NDUFA9 28.1395%
TTRE10110,ENSG00000179886,TIGD5,ortholog_one2many,17.5439,7.78816,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD5",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD5 17.5439%
TTRE10111,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10112,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10113,ENSG00000143157,POGK,ortholog_one2many,32.8283,10.6732,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: POGK",True,Best human orthologue in WormBase ParaSite has < 40% identity: POGK 32.8283%
TTRE10114,ENSG00000180346,TIGD2,ortholog_many2many,19.4631,5.52381,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD2 19.4631%
TTRE10115,ENSG00000232040,SCAND3,ortholog_one2many,22.1591,2.9434,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 22.1591%
TTRE10116,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10117,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10118,ENSG00000167985,SDHAF2,ortholog_one2many,32.5397,24.6988,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SDHAF2",True,Best human orthologue in WormBase ParaSite has < 40% identity: SDHAF2 32.5397%
TTRE10119,ENSG00000232040,SCAND3,ortholog_one2many,28.3988,7.09434,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 28.3988%
TTRE1012,ENSG00000135913,USP37,ortholog_one2one,24.6313,17.0582,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: USP37",True,Best human orthologue in WormBase ParaSite has < 40% identity: USP37 24.6313%
TTRE10120,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10121,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10122,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10123,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10124,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10125,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10126,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10127,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10128,ENSG00000143157,POGK,ortholog_one2many,32.3529,10.8374,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: POGK",True,Best human orthologue in WormBase ParaSite has < 40% identity: POGK 32.3529%
TTRE10129,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1013,ENSG00000131844,MCCC2,ortholog_one2one,64.3701,58.0817,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MCCC2",False,Best human orthologue found in WormBase Parasite has >= 40% identity: MCCC2 64.3701%
TTRE10130,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD2 18.1208%
TTRE10131,ENSG00000180346,TIGD2,ortholog_many2many,18.1818,7.61905,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD2 18.1818%
TTRE10132,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10133,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10134,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10135,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10136,ENSG00000090376,IRAK3,ortholog_many2many,8.15451,3.18792,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: IRAK3",True,Best human orthologue in WormBase ParaSite has < 40% identity: IRAK3 8.15451%
TTRE10137,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10138,ENSG00000180346,TIGD2,ortholog_many2many,12.8319,5.52381,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD2 12.8319%
TTRE10139,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1014,ENSG00000286106,NOTCH2NLR,ortholog_many2many,3.98876,25.9124,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: NOTCH2NLR",True,Best human orthologue in WormBase ParaSite has < 40% identity: NOTCH2NLR 3.98876%
TTRE10140,ENSG00000130517,PGPEP1,ortholog_many2many,28.5714,27.7512,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PGPEP1",True,Best human orthologue in WormBase ParaSite has < 40% identity: PGPEP1 28.5714%
TTRE10141,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10142,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10143,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10144,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10145,ENSG00000232040,SCAND3,ortholog_one2many,23.2558,3.01887,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 23.2558%
TTRE10146,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10147,ENSG00000232040,SCAND3,ortholog_one2many,30.6122,7.92453,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SCAND3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SCAND3 30.6122%
TTRE10148,ENSG00000172269,DPAGT1,ortholog_one2many,51.3382,51.7157,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DPAGT1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DPAGT1 51.3382%
TTRE10149,ENSG00000180346,TIGD2,ortholog_many2many,28.6585,8.95238,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD2 28.6585%
TTRE1015,ENSG00000057593,F7,ortholog_many2many,24.581,19.8198,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: F7",True,Best human orthologue in WormBase ParaSite has < 40% identity: F7 24.581%
TTRE10150,ENSG00000179886,TIGD5,ortholog_one2many,25.6039,16.5109,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TIGD5",True,Best human orthologue in WormBase ParaSite has < 40% identity: TIGD5 25.6039%
TTRE10151,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10152,ENSG00000112081,SRSF3,ortholog_one2many,59.434,38.4146,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SRSF3",False,Best human orthologue found in WormBase Parasite has >= 40% identity: SRSF3 59.434%
TTRE10153,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
