Genome project,Gene stable ID,Transcript stable ID,Protein stable ID,Human gene stable ID,Human gene name,Human protein stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene name,Caenorhabditis elegans (PRJNA13758) [WS290] protein stable ID
wuchereria_bancrofti_prjna275548,Wban_00276,mrna-Wban_00276,mrna-Wban_00276,,,,WBGene00008978,cutl-3,F20D1.8.1
wuchereria_bancrofti_prjna275548,Wban_00278,mrna-Wban_00278,mrna-Wban_00278,,,,WBGene00014139,nstp-5,ZK896.9a.1
wuchereria_bancrofti_prjna275548,Wban_00280,mrna-Wban_00280,mrna-Wban_00280,,,,WBGene00006789,unc-54,F11C3.3.1
wuchereria_bancrofti_prjna275548,Wban_00287,mrna-Wban_00287,mrna-Wban_00287,,,,WBGene00020491,T13G4.4,T13G4.4.2
wuchereria_bancrofti_prjna275548,Wban_00291,mrna-Wban_00291,mrna-Wban_00291,,,,WBGene00014213,ZK1073.1,ZK1073.1.1
wuchereria_bancrofti_prjna275548,Wban_00296,mrna-Wban_00296,mrna-Wban_00296,,,,WBGene00006674,twk-21,T01B4.1.1
wuchereria_bancrofti_prjna275548,Wban_00296,mrna-Wban_00296,mrna-Wban_00296,,,,WBGene00006675,twk-22,T01B4.2a.1
wuchereria_bancrofti_prjna275548,Wban_00297,mrna-Wban_00297,mrna-Wban_00297,,,,WBGene00013181,Y53H1B.2,Y53H1B.2.1
wuchereria_bancrofti_prjna275548,Wban_00301,mrna-Wban_00301,mrna-Wban_00301,,,,WBGene00011441,T04F8.2,T04F8.2.1
wuchereria_bancrofti_prjna275548,Wban_00303,mrna-Wban_00303,mrna-Wban_00303,,,,WBGene00006384,taf-3,C11G6.1a.1
wuchereria_bancrofti_prjna275548,Wban_00313,mrna-Wban_00313,mrna-Wban_00313,,,,WBGene00044391,C25H3.15,C25H3.15.1
wuchereria_bancrofti_prjna275548,Wban_00318,mrna-Wban_00318,mrna-Wban_00318,,,,WBGene00000051,acr-12,R01E6.4a.1
wuchereria_bancrofti_prjna275548,Wban_00319,mrna-Wban_00319,mrna-Wban_00319,,,,WBGene00006952,wrt-6,ZK377.1.1
wuchereria_bancrofti_prjna275548,Wban_00326,mrna-Wban_00326,mrna-Wban_00326,,,,WBGene00002123,inx-1,C16E9.4a.2
wuchereria_bancrofti_prjna275548,Wban_00329,mrna-Wban_00329,mrna-Wban_00329,,,,WBGene00001184,egl-15,F58A3.2h.1
wuchereria_bancrofti_prjna275548,Wban_00330,mrna-Wban_00330,mrna-Wban_00330,,,,WBGene00013962,ZK287.1,ZK287.1a.1
wuchereria_bancrofti_prjna275548,Wban_00333,mrna-Wban_00333,mrna-Wban_00333,,,,WBGene00015364,npr-19,C02H7.2.1
wuchereria_bancrofti_prjna275548,Wban_00344,mrna-Wban_00344,mrna-Wban_00344,,,,WBGene00018743,F53B3.5,F53B3.5.1
wuchereria_bancrofti_prjna275548,Wban_00347,mrna-Wban_00347,mrna-Wban_00347,,,,WBGene00044698,K09F5.6,K09F5.6b.1
wuchereria_bancrofti_prjna275548,Wban_00348,mrna-Wban_00348,mrna-Wban_00348,,,,WBGene00022417,smex-2,Y102A11A.7.1
wuchereria_bancrofti_prjna275548,Wban_00348,mrna-Wban_00348,mrna-Wban_00348,,,,WBGene00010319,F59B10.3,F59B10.3.1
wuchereria_bancrofti_prjna275548,Wban_00353,mrna-Wban_00353,mrna-Wban_00353,,,,WBGene00007262,jud-4,C02D4.1.1
wuchereria_bancrofti_prjna275548,Wban_00373,mrna-Wban_00373,mrna-Wban_00373,,,,WBGene00003600,nhr-1,R09G11.2a.1
wuchereria_bancrofti_prjna275548,Wban_00384,mrna-Wban_00384,mrna-Wban_00384,,,,WBGene00022647,slc-17.1,ZK54.1a.1
wuchereria_bancrofti_prjna275548,Wban_00385,mrna-Wban_00385,mrna-Wban_00385,,,,WBGene00006602,tps-1,ZK54.2a.1
wuchereria_bancrofti_prjna275548,Wban_00398,mrna-Wban_00398,mrna-Wban_00398,,,,WBGene00008975,F20D1.3,F20D1.3.1
wuchereria_bancrofti_prjna275548,Wban_00399,mrna-Wban_00399,mrna-Wban_00399,,,,WBGene00010059,F54E4.3,F54E4.3.1
wuchereria_bancrofti_prjna275548,Wban_00404,mrna-Wban_00404,mrna-Wban_00404,,,,WBGene00018282,F41D9.2,F41D9.2b.1
wuchereria_bancrofti_prjna275548,Wban_00408,mrna-Wban_00408,mrna-Wban_00408,,,,WBGene00004076,pod-2,W09B6.1c.1
wuchereria_bancrofti_prjna275548,Wban_00431,mrna-Wban_00431,mrna-Wban_00431,,,,WBGene00015619,C08G9.1,C08G9.1.1
wuchereria_bancrofti_prjna275548,Wban_00437,mrna-Wban_00437,mrna-Wban_00437,,,,WBGene00044605,ttr-36,F22A3.7.1
wuchereria_bancrofti_prjna275548,Wban_00438,mrna-Wban_00438,mrna-Wban_00438,,,,WBGene00017688,ttr-35,F22A3.2.1
wuchereria_bancrofti_prjna275548,Wban_00445,mrna-Wban_00445,mrna-Wban_00445,,,,WBGene00003602,nhr-3,H01A20.1.1
wuchereria_bancrofti_prjna275548,Wban_00447,mrna-Wban_00447,mrna-Wban_00447,,,,WBGene00022024,Y64H9A.2,Y64H9A.2.1
wuchereria_bancrofti_prjna275548,Wban_00448,mrna-Wban_00448,mrna-Wban_00448,,,,WBGene00020489,hot-8,T13G4.2.1
wuchereria_bancrofti_prjna275548,Wban_00451,mrna-Wban_00451,mrna-Wban_00451,,,,WBGene00018465,F45E1.4,F45E1.4.1
wuchereria_bancrofti_prjna275548,Wban_00463,mrna-Wban_00463,mrna-Wban_00463,,,,WBGene00018776,ddx-46,F53H1.1a.1
wuchereria_bancrofti_prjna275548,Wban_00488,mrna-Wban_00488,mrna-Wban_00488,,,,WBGene00011183,R09H10.6,R09H10.6.1
wuchereria_bancrofti_prjna275548,Wban_00494,mrna-Wban_00494,mrna-Wban_00494,,,,WBGene00003827,ntl-4,C49H3.5d.1
wuchereria_bancrofti_prjna275548,Wban_00498,mrna-Wban_00498,mrna-Wban_00498,,,,WBGene00004281,rab-28,Y11D7A.4.1
wuchereria_bancrofti_prjna275548,Wban_00502,mrna-Wban_00502,mrna-Wban_00502,,,,WBGene00003019,lin-33,H32C10.2a.1
wuchereria_bancrofti_prjna275548,Wban_00511,mrna-Wban_00511,mrna-Wban_00511,,,,WBGene00002223,klp-12,T01G1.1a.1
wuchereria_bancrofti_prjna275548,Wban_00512,mrna-Wban_00512,mrna-Wban_00512,,,,WBGene00011337,T01G1.2,T01G1.2.1
wuchereria_bancrofti_prjna275548,Wban_00519,mrna-Wban_00519,mrna-Wban_00519,,,,WBGene00021943,Y55F3BR.6,Y55F3BR.6b.1
wuchereria_bancrofti_prjna275548,Wban_00523,mrna-Wban_00523,mrna-Wban_00523,,,,WBGene00003008,lin-22,Y54G2A.1.1
wuchereria_bancrofti_prjna275548,Wban_00534,mrna-Wban_00534,mrna-Wban_00534,,,,WBGene00013100,zip-7,Y51H4A.4a.1
wuchereria_bancrofti_prjna275548,Wban_00536,mrna-Wban_00536,mrna-Wban_00536,,,,WBGene00007505,pezo-1,C10C5.1g.1
wuchereria_bancrofti_prjna275548,Wban_00547,mrna-Wban_00547,mrna-Wban_00547,,,,WBGene00015137,B0310.1,B0310.1b.1
wuchereria_bancrofti_prjna275548,Wban_00550,mrna-Wban_00550,mrna-Wban_00550,,,,WBGene00195063,coa-1,Y38C1AA.14a.1
wuchereria_bancrofti_prjna275548,Wban_00580,mrna-Wban_00580,mrna-Wban_00580,,,,WBGene00019935,R07E4.1,R07E4.1a.1
wuchereria_bancrofti_prjna275548,Wban_00583,mrna-Wban_00583,mrna-Wban_00583,,,,WBGene00009799,lgc-47,F47A4.1b.1
wuchereria_bancrofti_prjna275548,Wban_00586,mrna-Wban_00586,mrna-Wban_00586,,,,WBGene00003168,mec-4,T01C8.7.1
wuchereria_bancrofti_prjna275548,Wban_00622,mrna-Wban_00622,mrna-Wban_00622,,,,WBGene00011773,ttr-53,T14G10.3.1
wuchereria_bancrofti_prjna275548,Wban_00623,mrna-Wban_00623,mrna-Wban_00623,,,,WBGene00017900,F28E10.1,F28E10.1j.1
wuchereria_bancrofti_prjna275548,Wban_00627,mrna-Wban_00627,mrna-Wban_00627,,,,WBGene00006680,twk-28,C52B9.6.1
wuchereria_bancrofti_prjna275548,Wban_00636,mrna-Wban_00636,mrna-Wban_00636,,,,WBGene00020571,lpr-7,T19D7.3.1
wuchereria_bancrofti_prjna275548,Wban_00639,mrna-Wban_00639,mrna-Wban_00639,,,,WBGene00003534,nas-15,T04G9.2.1
wuchereria_bancrofti_prjna275548,Wban_00642,mrna-Wban_00642,mrna-Wban_00642,,,,WBGene00302964,Y62E10A.23,Y62E10A.23.1
wuchereria_bancrofti_prjna275548,Wban_00648,mrna-Wban_00648,mrna-Wban_00648,,,,WBGene00004278,rab-19,Y62E10A.9.2
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,WBGene00009941,F52F12.8,F52F12.8.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,WBGene00044763,ZK688.12,ZK688.12.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,WBGene00007613,C15H11.1,C15H11.1.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,WBGene00013165,Y53F4B.19,Y53F4B.19.1
wuchereria_bancrofti_prjna275548,Wban_00660,mrna-Wban_00660,mrna-Wban_00660,,,,WBGene00045250,Y73B6BL.47,Y73B6BL.47.1
wuchereria_bancrofti_prjna275548,Wban_00662,mrna-Wban_00662,mrna-Wban_00662,,,,WBGene00008150,mam-2,C47E12.6.1
wuchereria_bancrofti_prjna275548,Wban_00665,mrna-Wban_00665,mrna-Wban_00665,,,,WBGene00019069,lgc-30,F58H7.3.1
wuchereria_bancrofti_prjna275548,Wban_00675,mrna-Wban_00675,mrna-Wban_00675,,,,WBGene00001821,ham-2,C07A12.1b.1
wuchereria_bancrofti_prjna275548,Wban_00685,mrna-Wban_00685,mrna-Wban_00685,,,,WBGene00012257,lpr-4,W04G3.3.1
wuchereria_bancrofti_prjna275548,Wban_00686,mrna-Wban_00686,mrna-Wban_00686,,,,WBGene00012256,lpr-5,W04G3.2.1
wuchereria_bancrofti_prjna275548,Wban_00687,mrna-Wban_00687,mrna-Wban_00687,,,,WBGene00012255,lpr-6,W04G3.1a.1
wuchereria_bancrofti_prjna275548,Wban_00688,mrna-Wban_00688,mrna-Wban_00688,,,,WBGene00012261,lpr-3,W04G3.8.1
wuchereria_bancrofti_prjna275548,Wban_00694,mrna-Wban_00694,mrna-Wban_00694,,,,WBGene00000370,ccg-1,Y73F8A.6.1
wuchereria_bancrofti_prjna275548,Wban_00695,mrna-Wban_00695,mrna-Wban_00695,,,,WBGene00004156,pqn-74,W02A2.3a.1
wuchereria_bancrofti_prjna275548,Wban_00696,mrna-Wban_00696,mrna-Wban_00696,,,,WBGene00001393,fat-1,Y67H2A.8.1
wuchereria_bancrofti_prjna275548,Wban_00696,mrna-Wban_00696,mrna-Wban_00696,,,,WBGene00001394,fat-2,W02A2.1a.1
wuchereria_bancrofti_prjna275548,Wban_00700,mrna-Wban_00700,mrna-Wban_00700,,,,WBGene00000422,ced-8,F08F1.5.1
wuchereria_bancrofti_prjna275548,Wban_00702,mrna-Wban_00702,mrna-Wban_00702,,,,WBGene00003232,mgl-1,ZC506.4c.1
wuchereria_bancrofti_prjna275548,Wban_00703,mrna-Wban_00703,mrna-Wban_00703,,,,WBGene00011104,cut-5,R07E3.3a.1
wuchereria_bancrofti_prjna275548,Wban_00708,mrna-Wban_00708,mrna-Wban_00708,,,,WBGene00011680,pkhm-2,T10B10.3b.1
wuchereria_bancrofti_prjna275548,Wban_00710,mrna-Wban_00710,mrna-Wban_00710,,,,WBGene00006792,unc-58,T06H11.1f.1
wuchereria_bancrofti_prjna275548,Wban_00718,mrna-Wban_00718,mrna-Wban_00718,,,,WBGene00235268,Y54G2A.76,Y54G2A.76.1
wuchereria_bancrofti_prjna275548,Wban_00724,mrna-Wban_00724,mrna-Wban_00724,,,,WBGene00008979,slc-25A18.1,F20D1.9.1
wuchereria_bancrofti_prjna275548,Wban_00728,mrna-Wban_00728,mrna-Wban_00728,,,,WBGene00007067,rabr-2,4R79.2a.1
wuchereria_bancrofti_prjna275548,Wban_00729,mrna-Wban_00729,mrna-Wban_00729,,,,WBGene00004228,ptr-14,R09H10.4.1
wuchereria_bancrofti_prjna275548,Wban_00739,mrna-Wban_00739,mrna-Wban_00739,,,,WBGene00022348,lelo-2,Y82E9BR.16a.1
wuchereria_bancrofti_prjna275548,Wban_00752,mrna-Wban_00752,mrna-Wban_00752,,,,WBGene00006748,unc-8,R13A1.4c.1
wuchereria_bancrofti_prjna275548,Wban_00757,mrna-Wban_00757,mrna-Wban_00757,,,,WBGene00015679,C10F3.7,C10F3.7.1
wuchereria_bancrofti_prjna275548,Wban_00757,mrna-Wban_00757,mrna-Wban_00757,,,,WBGene00020983,W03D2.9,W03D2.9.1
wuchereria_bancrofti_prjna275548,Wban_00763,mrna-Wban_00763,mrna-Wban_00763,,,,WBGene00008215,C49F8.3,C49F8.3.1
wuchereria_bancrofti_prjna275548,Wban_00798,mrna-Wban_00798,mrna-Wban_00798,,,,WBGene00006408,tag-18,T14G12.3.1
wuchereria_bancrofti_prjna275548,Wban_00801,mrna-Wban_00801,mrna-Wban_00801,,,,WBGene00009364,wbp-11,F33H1.3.1
wuchereria_bancrofti_prjna275548,Wban_00814,mrna-Wban_00814,mrna-Wban_00814,,,,WBGene00009924,cfp-1,F52B11.1a.2
wuchereria_bancrofti_prjna275548,Wban_00818,mrna-Wban_00818,mrna-Wban_00818,,,,WBGene00021415,nsy-4,Y38F2AL.1.2
wuchereria_bancrofti_prjna275548,Wban_00819,mrna-Wban_00819,mrna-Wban_00819,,,,WBGene00013458,clc-8,Y67A10A.9.1
wuchereria_bancrofti_prjna275548,Wban_00826,mrna-Wban_00826,mrna-Wban_00826,,,,WBGene00008546,gfat-1,F07A11.2a.1
wuchereria_bancrofti_prjna275548,Wban_00826,mrna-Wban_00826,mrna-Wban_00826,,,,WBGene00009035,gfat-2,F22B3.4.2
wuchereria_bancrofti_prjna275548,Wban_00827,mrna-Wban_00827,mrna-Wban_00827,,,,WBGene00018904,pycr-4,F55G1.9.1
wuchereria_bancrofti_prjna275548,Wban_00828,mrna-Wban_00828,mrna-Wban_00828,,,,WBGene00019300,swt-1,K02D7.5.1
wuchereria_bancrofti_prjna275548,Wban_00828,mrna-Wban_00828,mrna-Wban_00828,,,,WBGene00016922,swt-2,C54F6.4a.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,,,,WBGene00009073,delm-1,F23B2.3.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,,,,WBGene00016063,delm-2,C24G7.1.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,,,,WBGene00016064,acd-1,C24G7.2.1
wuchereria_bancrofti_prjna275548,Wban_00832,mrna-Wban_00832,mrna-Wban_00832,,,,WBGene00017597,F19C7.8,F19C7.8e.1
wuchereria_bancrofti_prjna275548,Wban_00836,mrna-Wban_00836,mrna-Wban_00836,,,,WBGene00015539,C06E7.2,C06E7.2a.1
wuchereria_bancrofti_prjna275548,Wban_00844,mrna-Wban_00844,mrna-Wban_00844,,,,WBGene00022618,ZC477.3,ZC477.3a.1
wuchereria_bancrofti_prjna275548,Wban_00848,mrna-Wban_00848,mrna-Wban_00848,,,,WBGene00001239,elo-1,F56H11.4a.1
wuchereria_bancrofti_prjna275548,Wban_00852,mrna-Wban_00852,mrna-Wban_00852,,,,WBGene00189995,C06E7.88,C06E7.88.1
wuchereria_bancrofti_prjna275548,Wban_00852,mrna-Wban_00852,mrna-Wban_00852,,,,WBGene00044024,C35A5.11,C35A5.11a.1
wuchereria_bancrofti_prjna275548,Wban_00862,mrna-Wban_00862,mrna-Wban_00862,,,,WBGene00020689,npr-12,T22D1.12b.1
wuchereria_bancrofti_prjna275548,Wban_00872,mrna-Wban_00872,mrna-Wban_00872,,,,WBGene00011059,R06C1.4,R06C1.4.1
wuchereria_bancrofti_prjna275548,Wban_00875,mrna-Wban_00875,mrna-Wban_00875,,,,WBGene00003218,mep-1,M04B2.1.1
wuchereria_bancrofti_prjna275548,Wban_00877,mrna-Wban_00877,mrna-Wban_00877,,,,WBGene00010350,H01G02.3,H01G02.3a.1
wuchereria_bancrofti_prjna275548,Wban_00887,mrna-Wban_00887,mrna-Wban_00887,,,,WBGene00021366,Y37E11AM.2,Y37E11AM.2b.1
wuchereria_bancrofti_prjna275548,Wban_00894,mrna-Wban_00894,mrna-Wban_00894,,,,WBGene00010667,K08E4.3,K08E4.3b.1
wuchereria_bancrofti_prjna275548,Wban_00903,mrna-Wban_00903,mrna-Wban_00903,,,,WBGene00016958,ilys-4,C55F2.2.1
wuchereria_bancrofti_prjna275548,Wban_00909,mrna-Wban_00909,mrna-Wban_00909,,,,WBGene00020504,svh-2,T14E8.1a.1
wuchereria_bancrofti_prjna275548,Wban_00921,mrna-Wban_00921,mrna-Wban_00921,,,,WBGene00003003,lin-14,T25C12.1a.1
wuchereria_bancrofti_prjna275548,Wban_00922,mrna-Wban_00922,mrna-Wban_00922,,,,WBGene00009843,F48C5.2,F48C5.2.2
wuchereria_bancrofti_prjna275548,Wban_00925,mrna-Wban_00925,mrna-Wban_00925,,,,WBGene00011765,frpr-17,T14C1.1.1
wuchereria_bancrofti_prjna275548,Wban_00932,mrna-Wban_00932,mrna-Wban_00932,,,,WBGene00008605,mlt-9,F09B12.1a.1
wuchereria_bancrofti_prjna275548,Wban_00933,mrna-Wban_00933,mrna-Wban_00933,,,,WBGene00011572,mam-5,T07C12.8b.1
wuchereria_bancrofti_prjna275548,Wban_00934,mrna-Wban_00934,mrna-Wban_00934,,,,WBGene00015083,egg-1,B0244.8.1
wuchereria_bancrofti_prjna275548,Wban_00934,mrna-Wban_00934,mrna-Wban_00934,,,,WBGene00019811,egg-2,R01H2.3.1
wuchereria_bancrofti_prjna275548,Wban_00958,mrna-Wban_00958,mrna-Wban_00958,,,,WBGene00001975,hmg-5,F45E4.9.1
wuchereria_bancrofti_prjna275548,Wban_00975,mrna-Wban_00975,mrna-Wban_00975,,,,WBGene00010146,glb-19,F56C4.3a.1
wuchereria_bancrofti_prjna275548,Wban_00976,mrna-Wban_00976,mrna-Wban_00976,,,,WBGene00012433,Y11D7A.9,Y11D7A.9.1
wuchereria_bancrofti_prjna275548,Wban_00977,mrna-Wban_00977,mrna-Wban_00977,,,,WBGene00006779,unc-43,K11E8.1r.1
wuchereria_bancrofti_prjna275548,Wban_00989,mrna-Wban_00989,mrna-Wban_00989,,,,WBGene00018654,F49H12.3,F49H12.3.1
wuchereria_bancrofti_prjna275548,Wban_01000,mrna-Wban_01000,mrna-Wban_01000,,,,WBGene00020846,T27A10.6,T27A10.6a.1
wuchereria_bancrofti_prjna275548,Wban_01007,mrna-Wban_01007,mrna-Wban_01007,,,,WBGene00000902,daf-6,F31F6.5.1
wuchereria_bancrofti_prjna275548,Wban_01011,mrna-Wban_01011,mrna-Wban_01011,,,,WBGene00020732,T23E7.2,T23E7.2a.1
wuchereria_bancrofti_prjna275548,Wban_01021,mrna-Wban_01021,mrna-Wban_01021,,,,WBGene00018407,F44B9.2,F44B9.2.1
wuchereria_bancrofti_prjna275548,Wban_01025,mrna-Wban_01025,mrna-Wban_01025,,,,WBGene00000186,ark-1,C01C7.1a.1
wuchereria_bancrofti_prjna275548,Wban_01032,mrna-Wban_01032,mrna-Wban_01032,,,,WBGene00012762,Y41E3.1,Y41E3.1a.1
wuchereria_bancrofti_prjna275548,Wban_01046,mrna-Wban_01046,mrna-Wban_01046,,,,WBGene00017052,D2024.4,D2024.4b.1
wuchereria_bancrofti_prjna275548,Wban_01075,mrna-Wban_01075,mrna-Wban_01075,,,,WBGene00001066,dpy-4,Y41E3.2.1
wuchereria_bancrofti_prjna275548,Wban_01075,mrna-Wban_01075,mrna-Wban_01075,,,,WBGene00000684,col-110,F19C7.7.1
wuchereria_bancrofti_prjna275548,Wban_01075,mrna-Wban_01075,mrna-Wban_01075,,,,WBGene00000610,col-33,F36A4.6.1
wuchereria_bancrofti_prjna275548,Wban_01075,mrna-Wban_01075,mrna-Wban_01075,,,,WBGene00000611,col-34,F36A4.10.1
wuchereria_bancrofti_prjna275548,Wban_01083,mrna-Wban_01083,mrna-Wban_01083,,,,WBGene00013592,Y81G3A.4,Y81G3A.4a.1
wuchereria_bancrofti_prjna275548,Wban_01092,mrna-Wban_01092,mrna-Wban_01092,,,,WBGene00010827,txt-19,M02B1.2.1
wuchereria_bancrofti_prjna275548,Wban_01112,mrna-Wban_01112,mrna-Wban_01112,,,,WBGene00009879,F49C12.10,F49C12.10.1
wuchereria_bancrofti_prjna275548,Wban_01119,mrna-Wban_01119,mrna-Wban_01119,,,,WBGene00005153,srf-3,M02B1.1a.1
wuchereria_bancrofti_prjna275548,Wban_01123,mrna-Wban_01123,mrna-Wban_01123,,,,WBGene00011747,sna-2,T13F2.7.1
wuchereria_bancrofti_prjna275548,Wban_01128,mrna-Wban_01128,mrna-Wban_01128,,,,WBGene00000996,dif-1,F49E8.5.2
wuchereria_bancrofti_prjna275548,Wban_01130,mrna-Wban_01130,mrna-Wban_01130,,,,WBGene00012540,Y37A1B.7,Y37A1B.7.1
wuchereria_bancrofti_prjna275548,Wban_01134,mrna-Wban_01134,mrna-Wban_01134,,,,WBGene00021510,frpr-19,Y41D4A.8b.1
wuchereria_bancrofti_prjna275548,Wban_01143,mrna-Wban_01143,mrna-Wban_01143,,,,WBGene00022306,hxk-3,Y77E11A.1a.3
wuchereria_bancrofti_prjna275548,Wban_01144,mrna-Wban_01144,mrna-Wban_01144,,,,WBGene00018473,cima-1,F45E4.11.1
wuchereria_bancrofti_prjna275548,Wban_01146,mrna-Wban_01146,mrna-Wban_01146,,,,WBGene00009900,F49E12.7,F49E12.7.1
wuchereria_bancrofti_prjna275548,Wban_01152,mrna-Wban_01152,mrna-Wban_01152,,,,WBGene00002140,inx-18,C18H7.2a.1
wuchereria_bancrofti_prjna275548,Wban_01159,mrna-Wban_01159,mrna-Wban_01159,,,,WBGene00016955,perm-5,C55C3.5.1
wuchereria_bancrofti_prjna275548,Wban_01165,mrna-Wban_01165,mrna-Wban_01165,,,,WBGene00017193,F07C3.2,F07C3.2.1
wuchereria_bancrofti_prjna275548,Wban_01175,mrna-Wban_01175,mrna-Wban_01175,,,,WBGene00000683,col-109,Y38C1BA.3.1
