Genome project,Gene stable ID,Transcript stable ID,Protein stable ID,Gene description,Human gene stable ID,Human gene name,Human protein stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene name,Caenorhabditis elegans (PRJNA13758) [WS290] protein stable ID
wuchereria_bancrofti_prjna275548,Wban_00228,mrna-Wban_00228,mrna-Wban_00228,G_PROTEIN_RECEP_F1_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8END0],,,,WBGene00018728,frpr-8,F53A9.5.1
wuchereria_bancrofti_prjna275548,Wban_00237,mrna-Wban_00237,mrna-Wban_00237,glutamate synthase (NADH)  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ENE5],,,,WBGene00012326,W07E11.1,W07E11.1b.1
wuchereria_bancrofti_prjna275548,Wban_00248,mrna-Wban_00248,mrna-Wban_00248,,,,,WBGene00000295,cat-1,W01C8.6.2
wuchereria_bancrofti_prjna275548,Wban_00252,mrna-Wban_00252,mrna-Wban_00252,,,,,WBGene00013997,eelo-2,ZK550.3.1
wuchereria_bancrofti_prjna275548,Wban_00260,mrna-Wban_00260,mrna-Wban_00260,PAN domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EY91],,,,WBGene00009541,cutl-17,F38E11.4.1
wuchereria_bancrofti_prjna275548,Wban_00263,mrna-Wban_00263,mrna-Wban_00263,,,,,WBGene00006749,unc-9,R12H7.1a.2
wuchereria_bancrofti_prjna275548,Wban_00276,mrna-Wban_00276,mrna-Wban_00276,ZP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9FDD9],,,,WBGene00008978,cutl-3,F20D1.8.1
wuchereria_bancrofti_prjna275548,Wban_00278,mrna-Wban_00278,mrna-Wban_00278,,,,,WBGene00014139,nstp-5,ZK896.9a.1
wuchereria_bancrofti_prjna275548,Wban_00280,mrna-Wban_00280,mrna-Wban_00280,,,,,WBGene00006789,unc-54,F11C3.3.1
wuchereria_bancrofti_prjna275548,Wban_00287,mrna-Wban_00287,mrna-Wban_00287,,,,,WBGene00020491,T13G4.4,T13G4.4.2
wuchereria_bancrofti_prjna275548,Wban_00291,mrna-Wban_00291,mrna-Wban_00291,Ndr family protein  [Source:UniProtKB/TrEMBL;Acc:J9BJS9],,,,WBGene00014213,ZK1073.1,ZK1073.1.1
wuchereria_bancrofti_prjna275548,Wban_00296,mrna-Wban_00296,mrna-Wban_00296,Potassium channel domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9F192],,,,WBGene00006674,twk-21,T01B4.1.1
wuchereria_bancrofti_prjna275548,Wban_00296,mrna-Wban_00296,mrna-Wban_00296,Potassium channel domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9F192],,,,WBGene00006675,twk-22,T01B4.2a.1
wuchereria_bancrofti_prjna275548,Wban_00297,mrna-Wban_00297,mrna-Wban_00297,,,,,WBGene00013181,Y53H1B.2,Y53H1B.2.1
wuchereria_bancrofti_prjna275548,Wban_00301,mrna-Wban_00301,mrna-Wban_00301,GpcrRhopsn4 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EAM4],,,,WBGene00011441,T04F8.2,T04F8.2.1
wuchereria_bancrofti_prjna275548,Wban_00303,mrna-Wban_00303,mrna-Wban_00303,PHD-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9FMG2],,,,WBGene00006384,taf-3,C11G6.1a.1
wuchereria_bancrofti_prjna275548,Wban_00313,mrna-Wban_00313,mrna-Wban_00313,Secreted protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EAN2],,,,WBGene00044391,C25H3.15,C25H3.15.1
wuchereria_bancrofti_prjna275548,Wban_00318,mrna-Wban_00318,mrna-Wban_00318,,,,,WBGene00000051,acr-12,R01E6.4a.1
wuchereria_bancrofti_prjna275548,Wban_00319,mrna-Wban_00319,mrna-Wban_00319,Hint domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7EFP0],,,,WBGene00006952,wrt-6,ZK377.1.1
wuchereria_bancrofti_prjna275548,Wban_00326,mrna-Wban_00326,mrna-Wban_00326,Innexin  [Source:UniProtKB/TrEMBL;Acc:J9BFB6],,,,WBGene00002123,inx-1,C16E9.4a.2
wuchereria_bancrofti_prjna275548,Wban_00329,mrna-Wban_00329,mrna-Wban_00329,,,,,WBGene00001184,egl-15,F58A3.2h.1
wuchereria_bancrofti_prjna275548,Wban_00330,mrna-Wban_00330,mrna-Wban_00330,,,,,WBGene00013962,ZK287.1,ZK287.1a.1
wuchereria_bancrofti_prjna275548,Wban_00333,mrna-Wban_00333,mrna-Wban_00333,,,,,WBGene00015364,npr-19,C02H7.2.1
wuchereria_bancrofti_prjna275548,Wban_00344,mrna-Wban_00344,mrna-Wban_00344,Bm4292  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EQG4],,,,WBGene00018743,F53B3.5,F53B3.5.1
wuchereria_bancrofti_prjna275548,Wban_00347,mrna-Wban_00347,mrna-Wban_00347,Protein tincar  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EQK8],,,,WBGene00044698,K09F5.6,K09F5.6b.1
wuchereria_bancrofti_prjna275548,Wban_00348,mrna-Wban_00348,mrna-Wban_00348,CX domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7E374],,,,WBGene00022417,smex-2,Y102A11A.7.1
wuchereria_bancrofti_prjna275548,Wban_00348,mrna-Wban_00348,mrna-Wban_00348,CX domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7E374],,,,WBGene00010319,F59B10.3,F59B10.3.1
wuchereria_bancrofti_prjna275548,Wban_00353,mrna-Wban_00353,mrna-Wban_00353,,,,,WBGene00007262,jud-4,C02D4.1.1
wuchereria_bancrofti_prjna275548,Wban_00373,mrna-Wban_00373,mrna-Wban_00373,NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DXH0],,,,WBGene00003600,nhr-1,R09G11.2a.1
wuchereria_bancrofti_prjna275548,Wban_00384,mrna-Wban_00384,mrna-Wban_00384,Major facilitator superfamily transporter  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EC82],,,,WBGene00022647,slc-17.1,ZK54.1a.1
wuchereria_bancrofti_prjna275548,Wban_00385,mrna-Wban_00385,mrna-Wban_00385,Trehalose-6-phosphate phosphatase helical bundle domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EC76],,,,WBGene00006602,tps-1,ZK54.2a.1
wuchereria_bancrofti_prjna275548,Wban_00398,mrna-Wban_00398,mrna-Wban_00398,Kelch domain-containing protein family protein  [Source:UniProtKB/TrEMBL;Acc:J9EE15],,,,WBGene00008975,F20D1.3,F20D1.3.1
wuchereria_bancrofti_prjna275548,Wban_00399,mrna-Wban_00399,mrna-Wban_00399,CPG4 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECK6],,,,WBGene00010059,F54E4.3,F54E4.3.1
wuchereria_bancrofti_prjna275548,Wban_00404,mrna-Wban_00404,mrna-Wban_00404,DOMON domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9EHS3],,,,WBGene00018282,F41D9.2,F41D9.2b.1
wuchereria_bancrofti_prjna275548,Wban_00408,mrna-Wban_00408,mrna-Wban_00408,Acetyl-CoA carboxylase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECA9],,,,WBGene00004076,pod-2,W09B6.1c.1
wuchereria_bancrofti_prjna275548,Wban_00431,mrna-Wban_00431,mrna-Wban_00431,Activin types I and II receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EPG8],,,,WBGene00015619,C08G9.1,C08G9.1.1
wuchereria_bancrofti_prjna275548,Wban_00437,mrna-Wban_00437,mrna-Wban_00437,,,,,WBGene00044605,ttr-36,F22A3.7.1
wuchereria_bancrofti_prjna275548,Wban_00438,mrna-Wban_00438,mrna-Wban_00438,Transthyretin-like family protein  [Source:UniProtKB/TrEMBL;Acc:J9EZ43],,,,WBGene00017688,ttr-35,F22A3.2.1
wuchereria_bancrofti_prjna275548,Wban_00445,mrna-Wban_00445,mrna-Wban_00445,NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EA47],,,,WBGene00003602,nhr-3,H01A20.1.1
wuchereria_bancrofti_prjna275548,Wban_00447,mrna-Wban_00447,mrna-Wban_00447,,,,,WBGene00022024,Y64H9A.2,Y64H9A.2.1
wuchereria_bancrofti_prjna275548,Wban_00448,mrna-Wban_00448,mrna-Wban_00448,,,,,WBGene00020489,hot-8,T13G4.2.1
wuchereria_bancrofti_prjna275548,Wban_00451,mrna-Wban_00451,mrna-Wban_00451,,,,,WBGene00018465,F45E1.4,F45E1.4.1
wuchereria_bancrofti_prjna275548,Wban_00463,mrna-Wban_00463,mrna-Wban_00463,RNA helicase  [Source:UniProtKB/TrEMBL;Acc:J9BED3],,,,WBGene00018776,ddx-46,F53H1.1a.1
wuchereria_bancrofti_prjna275548,Wban_00488,mrna-Wban_00488,mrna-Wban_00488,,,,,WBGene00011183,R09H10.6,R09H10.6.1
wuchereria_bancrofti_prjna275548,Wban_00494,mrna-Wban_00494,mrna-Wban_00494,,,,,WBGene00003827,ntl-4,C49H3.5d.1
wuchereria_bancrofti_prjna275548,Wban_00498,mrna-Wban_00498,mrna-Wban_00498,Member Ras oncogene family RAB28  [Source:UniProtKB/TrEMBL;Acc:J9ERG3],,,,WBGene00004281,rab-28,Y11D7A.4.1
wuchereria_bancrofti_prjna275548,Wban_00502,mrna-Wban_00502,mrna-Wban_00502,,,,,WBGene00003019,lin-33,H32C10.2a.1
wuchereria_bancrofti_prjna275548,Wban_00511,mrna-Wban_00511,mrna-Wban_00511,,,,,WBGene00002223,klp-12,T01G1.1a.1
wuchereria_bancrofti_prjna275548,Wban_00512,mrna-Wban_00512,mrna-Wban_00512,,,,,WBGene00011337,T01G1.2,T01G1.2.1
wuchereria_bancrofti_prjna275548,Wban_00519,mrna-Wban_00519,mrna-Wban_00519,SHSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DJL2],,,,WBGene00021943,Y55F3BR.6,Y55F3BR.6b.1
wuchereria_bancrofti_prjna275548,Wban_00523,mrna-Wban_00523,mrna-Wban_00523,BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7GH10],,,,WBGene00003008,lin-22,Y54G2A.1.1
wuchereria_bancrofti_prjna275548,Wban_00534,mrna-Wban_00534,mrna-Wban_00534,BZIP transcription factor family protein  [Source:UniProtKB/TrEMBL;Acc:J9F1M7],,,,WBGene00013100,zip-7,Y51H4A.4a.1
wuchereria_bancrofti_prjna275548,Wban_00536,mrna-Wban_00536,mrna-Wban_00536,,,,,WBGene00007505,pezo-1,C10C5.1g.1
wuchereria_bancrofti_prjna275548,Wban_00547,mrna-Wban_00547,mrna-Wban_00547,Ion_trans_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECJ1],,,,WBGene00015137,B0310.1,B0310.1b.1
wuchereria_bancrofti_prjna275548,Wban_00550,mrna-Wban_00550,mrna-Wban_00550,,,,,WBGene00195063,coa-1,Y38C1AA.14a.1
wuchereria_bancrofti_prjna275548,Wban_00580,mrna-Wban_00580,mrna-Wban_00580,,,,,WBGene00019935,R07E4.1,R07E4.1a.1
wuchereria_bancrofti_prjna275548,Wban_00583,mrna-Wban_00583,mrna-Wban_00583,,,,,WBGene00009799,lgc-47,F47A4.1b.1
wuchereria_bancrofti_prjna275548,Wban_00586,mrna-Wban_00586,mrna-Wban_00586,,,,,WBGene00003168,mec-4,T01C8.7.1
wuchereria_bancrofti_prjna275548,Wban_00622,mrna-Wban_00622,mrna-Wban_00622,Transthyretin-like family protein  [Source:UniProtKB/TrEMBL;Acc:J9ENT6],,,,WBGene00011773,ttr-53,T14G10.3.1
wuchereria_bancrofti_prjna275548,Wban_00623,mrna-Wban_00623,mrna-Wban_00623,,,,,WBGene00017900,F28E10.1,F28E10.1j.1
wuchereria_bancrofti_prjna275548,Wban_00627,mrna-Wban_00627,mrna-Wban_00627,Potassium channel domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9F1D5],,,,WBGene00006680,twk-28,C52B9.6.1
wuchereria_bancrofti_prjna275548,Wban_00636,mrna-Wban_00636,mrna-Wban_00636,,,,,WBGene00020571,lpr-7,T19D7.3.1
wuchereria_bancrofti_prjna275548,Wban_00639,mrna-Wban_00639,mrna-Wban_00639,Metalloendopeptidase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EG47],,,,WBGene00003534,nas-15,T04G9.2.1
wuchereria_bancrofti_prjna275548,Wban_00642,mrna-Wban_00642,mrna-Wban_00642,,,,,WBGene00302964,Y62E10A.23,Y62E10A.23.1
wuchereria_bancrofti_prjna275548,Wban_00648,mrna-Wban_00648,mrna-Wban_00648,Ras family protein  [Source:UniProtKB/TrEMBL;Acc:J9EQ01],,,,WBGene00004278,rab-19,Y62E10A.9.2
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,,WBGene00009941,F52F12.8,F52F12.8.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,,WBGene00044763,ZK688.12,ZK688.12.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,,WBGene00007613,C15H11.1,C15H11.1.1
wuchereria_bancrofti_prjna275548,Wban_00657,mrna-Wban_00657,mrna-Wban_00657,,,,,WBGene00013165,Y53F4B.19,Y53F4B.19.1
wuchereria_bancrofti_prjna275548,Wban_00660,mrna-Wban_00660,mrna-Wban_00660,,,,,WBGene00045250,Y73B6BL.47,Y73B6BL.47.1
wuchereria_bancrofti_prjna275548,Wban_00662,mrna-Wban_00662,mrna-Wban_00662,,,,,WBGene00008150,mam-2,C47E12.6.1
wuchereria_bancrofti_prjna275548,Wban_00665,mrna-Wban_00665,mrna-Wban_00665,,,,,WBGene00019069,lgc-30,F58H7.3.1
wuchereria_bancrofti_prjna275548,Wban_00675,mrna-Wban_00675,mrna-Wban_00675,,,,,WBGene00001821,ham-2,C07A12.1b.1
wuchereria_bancrofti_prjna275548,Wban_00685,mrna-Wban_00685,mrna-Wban_00685,LPR-4 protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EPE9],,,,WBGene00012257,lpr-4,W04G3.3.1
wuchereria_bancrofti_prjna275548,Wban_00686,mrna-Wban_00686,mrna-Wban_00686,,,,,WBGene00012256,lpr-5,W04G3.2.1
wuchereria_bancrofti_prjna275548,Wban_00687,mrna-Wban_00687,mrna-Wban_00687,Lipocalin/cytosolic fatty-acid binding domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EQA7],,,,WBGene00012255,lpr-6,W04G3.1a.1
wuchereria_bancrofti_prjna275548,Wban_00688,mrna-Wban_00688,mrna-Wban_00688,,,,,WBGene00012261,lpr-3,W04G3.8.1
wuchereria_bancrofti_prjna275548,Wban_00694,mrna-Wban_00694,mrna-Wban_00694,,,,,WBGene00000370,ccg-1,Y73F8A.6.1
wuchereria_bancrofti_prjna275548,Wban_00695,mrna-Wban_00695,mrna-Wban_00695,,,,,WBGene00004156,pqn-74,W02A2.3a.1
wuchereria_bancrofti_prjna275548,Wban_00696,mrna-Wban_00696,mrna-Wban_00696,FA_desaturase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EPF6],,,,WBGene00001393,fat-1,Y67H2A.8.1
wuchereria_bancrofti_prjna275548,Wban_00696,mrna-Wban_00696,mrna-Wban_00696,FA_desaturase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EPF6],,,,WBGene00001394,fat-2,W02A2.1a.1
wuchereria_bancrofti_prjna275548,Wban_00700,mrna-Wban_00700,mrna-Wban_00700,,,,,WBGene00000422,ced-8,F08F1.5.1
wuchereria_bancrofti_prjna275548,Wban_00702,mrna-Wban_00702,mrna-Wban_00702,,,,,WBGene00003232,mgl-1,ZC506.4c.1
wuchereria_bancrofti_prjna275548,Wban_00703,mrna-Wban_00703,mrna-Wban_00703,ZP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7EDV0],,,,WBGene00011104,cut-5,R07E3.3a.1
wuchereria_bancrofti_prjna275548,Wban_00708,mrna-Wban_00708,mrna-Wban_00708,PH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EP99],,,,WBGene00011680,pkhm-2,T10B10.3b.1
wuchereria_bancrofti_prjna275548,Wban_00710,mrna-Wban_00710,mrna-Wban_00710,Potassium channel domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ERH0],,,,WBGene00006792,unc-58,T06H11.1f.1
wuchereria_bancrofti_prjna275548,Wban_00718,mrna-Wban_00718,mrna-Wban_00718,WAP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ERH6],,,,WBGene00235268,Y54G2A.76,Y54G2A.76.1
wuchereria_bancrofti_prjna275548,Wban_00724,mrna-Wban_00724,mrna-Wban_00724,Mitochondrial carrier protein  [Source:UniProtKB/TrEMBL;Acc:J9F3B8],,,,WBGene00008979,slc-25A18.1,F20D1.9.1
wuchereria_bancrofti_prjna275548,Wban_00728,mrna-Wban_00728,mrna-Wban_00728,Ras family protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ES21],,,,WBGene00007067,rabr-2,4R79.2a.1
wuchereria_bancrofti_prjna275548,Wban_00729,mrna-Wban_00729,mrna-Wban_00729,,,,,WBGene00004228,ptr-14,R09H10.4.1
wuchereria_bancrofti_prjna275548,Wban_00739,mrna-Wban_00739,mrna-Wban_00739,Major facilitator superfamily (MFS) profile domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9FC29],,,,WBGene00022348,lelo-2,Y82E9BR.16a.1
wuchereria_bancrofti_prjna275548,Wban_00752,mrna-Wban_00752,mrna-Wban_00752,Degenerin unc-8  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EYN6],,,,WBGene00006748,unc-8,R13A1.4c.1
wuchereria_bancrofti_prjna275548,Wban_00757,mrna-Wban_00757,mrna-Wban_00757,,,,,WBGene00015679,C10F3.7,C10F3.7.1
wuchereria_bancrofti_prjna275548,Wban_00757,mrna-Wban_00757,mrna-Wban_00757,,,,,WBGene00020983,W03D2.9,W03D2.9.1
wuchereria_bancrofti_prjna275548,Wban_00763,mrna-Wban_00763,mrna-Wban_00763,Domain of unknown function DB domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9EXJ5],,,,WBGene00008215,C49F8.3,C49F8.3.1
wuchereria_bancrofti_prjna275548,Wban_00798,mrna-Wban_00798,mrna-Wban_00798,,,,,WBGene00006408,tag-18,T14G12.3.1
wuchereria_bancrofti_prjna275548,Wban_00801,mrna-Wban_00801,mrna-Wban_00801,WW domain-binding protein 11  [Source:UniProtKB/TrEMBL;Acc:J9F2B9],,,,WBGene00009364,wbp-11,F33H1.3.1
wuchereria_bancrofti_prjna275548,Wban_00814,mrna-Wban_00814,mrna-Wban_00814,,,,,WBGene00009924,cfp-1,F52B11.1a.2
wuchereria_bancrofti_prjna275548,Wban_00818,mrna-Wban_00818,mrna-Wban_00818,Clc-like protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DHI4],,,,WBGene00021415,nsy-4,Y38F2AL.1.2
wuchereria_bancrofti_prjna275548,Wban_00819,mrna-Wban_00819,mrna-Wban_00819,Clc-like protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EJY4],,,,WBGene00013458,clc-8,Y67A10A.9.1
wuchereria_bancrofti_prjna275548,Wban_00826,mrna-Wban_00826,mrna-Wban_00826,,,,,WBGene00008546,gfat-1,F07A11.2a.1
wuchereria_bancrofti_prjna275548,Wban_00826,mrna-Wban_00826,mrna-Wban_00826,,,,,WBGene00009035,gfat-2,F22B3.4.2
wuchereria_bancrofti_prjna275548,Wban_00827,mrna-Wban_00827,mrna-Wban_00827,,,,,WBGene00018904,pycr-4,F55G1.9.1
wuchereria_bancrofti_prjna275548,Wban_00828,mrna-Wban_00828,mrna-Wban_00828,,,,,WBGene00019300,swt-1,K02D7.5.1
wuchereria_bancrofti_prjna275548,Wban_00828,mrna-Wban_00828,mrna-Wban_00828,,,,,WBGene00016922,swt-2,C54F6.4a.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,Amiloride-sensitive sodium channel family protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECU2],,,,WBGene00009073,delm-1,F23B2.3.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,Amiloride-sensitive sodium channel family protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECU2],,,,WBGene00016063,delm-2,C24G7.1.1
wuchereria_bancrofti_prjna275548,Wban_00830,mrna-Wban_00830,mrna-Wban_00830,Amiloride-sensitive sodium channel family protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ECU2],,,,WBGene00016064,acd-1,C24G7.2.1
wuchereria_bancrofti_prjna275548,Wban_00832,mrna-Wban_00832,mrna-Wban_00832,,,,,WBGene00017597,F19C7.8,F19C7.8e.1
wuchereria_bancrofti_prjna275548,Wban_00836,mrna-Wban_00836,mrna-Wban_00836,,,,,WBGene00015539,C06E7.2,C06E7.2a.1
wuchereria_bancrofti_prjna275548,Wban_00844,mrna-Wban_00844,mrna-Wban_00844,Coiled-coil domain-containing protein 51  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ESH0],,,,WBGene00022618,ZC477.3,ZC477.3a.1
wuchereria_bancrofti_prjna275548,Wban_00848,mrna-Wban_00848,mrna-Wban_00848,Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:J9DZB5],,,,WBGene00001239,elo-1,F56H11.4a.1
wuchereria_bancrofti_prjna275548,Wban_00852,mrna-Wban_00852,mrna-Wban_00852,,,,,WBGene00189995,C06E7.88,C06E7.88.1
wuchereria_bancrofti_prjna275548,Wban_00852,mrna-Wban_00852,mrna-Wban_00852,,,,,WBGene00044024,C35A5.11,C35A5.11a.1
wuchereria_bancrofti_prjna275548,Wban_00862,mrna-Wban_00862,mrna-Wban_00862,G_PROTEIN_RECEP_F1_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XLR4],,,,WBGene00020689,npr-12,T22D1.12b.1
wuchereria_bancrofti_prjna275548,Wban_00872,mrna-Wban_00872,mrna-Wban_00872,Putative RNA binding protein; Putative RNA binding protein; RNA-binding protein; RNA-binding protein  [Source:UniProtKB/TrEMBL;Acc:B6ECZ8],,,,WBGene00011059,R06C1.4,R06C1.4.1
