Gene stable ID,is_enzyme_evidence,is_enzyme
Wban_00038,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR044063 - Gid-type RING finger domain, IPR045098 - Fyv10 family",True
Wban_00039,Does not have InterPro domains related to GO:0003824,False
Wban_00040,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR036238 - Transglutaminase, C-terminal domain superfamily",True
Wban_00041,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000834 - Peptidase M14, carboxypeptidase A",True
Wban_00042,Does not have InterPro domains related to GO:0003824,False
Wban_00043,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR036444 - Phospholipase A2 domain superfamily,True
Wban_00044,Does not have InterPro domains related to GO:0003824,False
Wban_00045,Does not have InterPro domains related to GO:0003824,False
Wban_00046,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR039164 - E3 ubiquitin-protein ligase UBR1-like,True
Wban_00047,Does not have InterPro domains related to GO:0003824,False
Wban_00048,Does not have InterPro domains related to GO:0003824,False
Wban_00049,Does not have InterPro domains related to GO:0003824,False
Wban_00050,Does not have InterPro domains related to GO:0003824,False
Wban_00051,Does not have InterPro domains related to GO:0003824,False
Wban_00052,Does not have InterPro domains related to GO:0003824,False
Wban_00053,Does not have InterPro domains related to GO:0003824,False
Wban_00054,Does not have InterPro domains related to GO:0003824,False
Wban_00055,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR026071 - Glycosyl hydrolase family 99,True
Wban_00056,Does not have InterPro domains related to GO:0003824,False
Wban_00057,Does not have InterPro domains related to GO:0003824,False
Wban_00058,Does not have InterPro domains related to GO:0003824,False
Wban_00059,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001594 - Palmitoyltransferase, DHHC domain",True
Wban_00060,Does not have InterPro domains related to GO:0003824,False
Wban_00061,Does not have InterPro domains related to GO:0003824,False
Wban_00062,Does not have InterPro domains related to GO:0003824,False
Wban_00063,Does not have InterPro domains related to GO:0003824,False
Wban_00064,Does not have InterPro domains related to GO:0003824,False
Wban_00065,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR006186 - Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase, IPR004843 - Calcineurin-like phosphoesterase domain, ApaH type",True
Wban_00066,Does not have InterPro domains related to GO:0003824,False
Wban_00067,Does not have InterPro domains related to GO:0003824,False
Wban_00068,Does not have InterPro domains related to GO:0003824,False
Wban_00069,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR035078 - Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal, IPR008209 - Phosphoenolpyruvate carboxykinase, GTP-utilising, IPR013035 - Phosphoenolpyruvate carboxykinase, C-terminal, IPR008210 - Phosphoenolpyruvate carboxykinase, N-terminal, IPR018091 - Phosphoenolpyruvate carboxykinase, GTP-utilising, conserved site, IPR035077 - Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain",True
Wban_00070,Does not have InterPro domains related to GO:0003824,False
Wban_00071,Does not have InterPro domains related to GO:0003824,False
Wban_00072,Does not have InterPro domains related to GO:0003824,False
Wban_00073,Does not have InterPro domains related to GO:0003824,False
Wban_00074,Does not have InterPro domains related to GO:0003824,False
Wban_00075,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR005839 - Methylthiotransferase, IPR007197 - Radical SAM, IPR013848 - Methylthiotransferase, N-terminal, IPR006466 - MiaB-like tRNA modifying enzyme, archaea/eukaryota, IPR006638 - Elp3/MiaA/NifB-like, radical SAM core domain",True
Wban_00076,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR020084 - NUDIX hydrolase, conserved site, IPR047198 - Diphosphoinositol polyphosphate phosphohydrolase-like, NUDIX domain",True
Wban_00077,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR006689 - Small GTPase superfamily, ARF/SAR type",True
Wban_00078,Does not have InterPro domains related to GO:0003824,False
Wban_00079,Does not have InterPro domains related to GO:0003824,False
Wban_00080,Does not have InterPro domains related to GO:0003824,False
Wban_00081,Does not have InterPro domains related to GO:0003824,False
Wban_00082,Does not have InterPro domains related to GO:0003824,False
Wban_00083,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR024129 - Sphingomyelin phosphodiesterase 4,True
Wban_00084,Does not have InterPro domains related to GO:0003824,False
Wban_00085,Does not have InterPro domains related to GO:0003824,False
Wban_00086,Does not have InterPro domains related to GO:0003824,False
Wban_00087,Does not have InterPro domains related to GO:0003824,False
Wban_00088,Does not have InterPro domains related to GO:0003824,False
Wban_00089,Does not have InterPro domains related to GO:0003824,False
Wban_00090,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000719 - Protein kinase domain, IPR008271 - Serine/threonine-protein kinase, active site",True
Wban_00091,Does not have InterPro domains related to GO:0003824,False
Wban_00092,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR004843 - Calcineurin-like phosphoesterase domain, ApaH type",True
Wban_00093,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR004843 - Calcineurin-like phosphoesterase domain, ApaH type",True
Wban_00094,Does not have InterPro domains related to GO:0003824,False
Wban_00095,Does not have InterPro domains related to GO:0003824,False
Wban_00096,Does not have InterPro domains related to GO:0003824,False
Wban_00097,Does not have InterPro domains related to GO:0003824,False
Wban_00098,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001179 - FKBP-type peptidyl-prolyl cis-trans isomerase domain, IPR046357 - Peptidyl-prolyl cis-trans isomerase domain superfamily",True
Wban_00099,Does not have InterPro domains related to GO:0003824,False
Wban_00100,Does not have InterPro domains related to GO:0003824,False
Wban_00101,Does not have InterPro domains related to GO:0003824,False
Wban_00102,Does not have InterPro domains related to GO:0003824,False
Wban_00103,Does not have InterPro domains related to GO:0003824,False
Wban_00104,Does not have InterPro domains related to GO:0003824,False
Wban_00105,Does not have InterPro domains related to GO:0003824,False
Wban_00106,Does not have InterPro domains related to GO:0003824,False
Wban_00107,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR018517 - tRNA-dihydrouridine synthase, conserved site",True
Wban_00108,Does not have InterPro domains related to GO:0003824,False
Wban_00109,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR014782 - Peptidase M1, membrane alanine aminopeptidase, IPR015211 - Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal",True
Wban_00110,Does not have InterPro domains related to GO:0003824,False
Wban_00111,Does not have InterPro domains related to GO:0003824,False
Wban_00112,Does not have InterPro domains related to GO:0003824,False
Wban_00113,Does not have InterPro domains related to GO:0003824,False
Wban_00114,Does not have InterPro domains related to GO:0003824,False
Wban_00115,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR003140 - Phospholipase/carboxylesterase/thioesterase,True
Wban_00116,Does not have InterPro domains related to GO:0003824,False
Wban_00117,Does not have InterPro domains related to GO:0003824,False
Wban_00118,Does not have InterPro domains related to GO:0003824,False
Wban_00119,Does not have InterPro domains related to GO:0003824,False
Wban_00120,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR020084 - NUDIX hydrolase, conserved site",True
Wban_00121,Does not have InterPro domains related to GO:0003824,False
Wban_00122,Does not have InterPro domains related to GO:0003824,False
Wban_00123,Does not have InterPro domains related to GO:0003824,False
Wban_00124,Does not have InterPro domains related to GO:0003824,False
Wban_00125,Does not have InterPro domains related to GO:0003824,False
Wban_00126,Does not have InterPro domains related to GO:0003824,False
Wban_00127,Does not have InterPro domains related to GO:0003824,False
Wban_00128,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR040204 - E3 ubiquitin-protein ligase UBR7,True
Wban_00129,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001594 - Palmitoyltransferase, DHHC domain",True
Wban_00130,Does not have InterPro domains related to GO:0003824,False
Wban_00131,Does not have InterPro domains related to GO:0003824,False
Wban_00132,Does not have InterPro domains related to GO:0003824,False
Wban_00133,Does not have InterPro domains related to GO:0003824,False
Wban_00134,Does not have InterPro domains related to GO:0003824,False
Wban_00135,Does not have InterPro domains related to GO:0003824,False
Wban_00136,Does not have InterPro domains related to GO:0003824,False
Wban_00137,Does not have InterPro domains related to GO:0003824,False
Wban_00138,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR039524 - GPI ethanolamine phosphate transferase 3, IPR037675 - GPI ethanolamine phosphate transferase 3, N-terminal",True
Wban_00139,Does not have InterPro domains related to GO:0003824,False
Wban_00140,Does not have InterPro domains related to GO:0003824,False
Wban_00141,Does not have InterPro domains related to GO:0003824,False
Wban_00142,Does not have InterPro domains related to GO:0003824,False
Wban_00143,Does not have InterPro domains related to GO:0003824,False
Wban_00144,Does not have InterPro domains related to GO:0003824,False
Wban_00145,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR045269 - Serine/threonine-protein kinase Atg1-like, IPR008271 - Serine/threonine-protein kinase, active site, IPR000719 - Protein kinase domain",True
Wban_00146,Does not have InterPro domains related to GO:0003824,False
Wban_00147,Does not have InterPro domains related to GO:0003824,False
Wban_00148,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001757 - P-type ATPase,True
Wban_00149,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000462 - CDP-alcohol phosphatidyltransferase,True
Wban_00150,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008271 - Serine/threonine-protein kinase, active site, IPR000719 - Protein kinase domain",True
Wban_00151,Does not have InterPro domains related to GO:0003824,False
Wban_00152,Does not have InterPro domains related to GO:0003824,False
Wban_00153,Does not have InterPro domains related to GO:0003824,False
Wban_00154,Does not have InterPro domains related to GO:0003824,False
Wban_00155,Does not have InterPro domains related to GO:0003824,False
Wban_00156,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008631 - Glycogen synthase,True
Wban_00157,Does not have InterPro domains related to GO:0003824,False
Wban_00158,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000333 - Ser/Thr protein kinase, TGFB receptor, IPR000719 - Protein kinase domain, IPR000472 - Activin types I and II receptor domain, IPR008271 - Serine/threonine-protein kinase, active site, IPR003605 - GS domain",True
Wban_00159,Does not have InterPro domains related to GO:0003824,False
Wban_00160,Does not have InterPro domains related to GO:0003824,False
Wban_00161,Does not have InterPro domains related to GO:0003824,False
Wban_00162,Does not have InterPro domains related to GO:0003824,False
Wban_00163,Does not have InterPro domains related to GO:0003824,False
Wban_00164,Does not have InterPro domains related to GO:0003824,False
Wban_00165,Does not have InterPro domains related to GO:0003824,False
Wban_00166,Does not have InterPro domains related to GO:0003824,False
Wban_00167,Does not have InterPro domains related to GO:0003824,False
Wban_00168,Does not have InterPro domains related to GO:0003824,False
Wban_00169,Does not have InterPro domains related to GO:0003824,False
Wban_00170,Does not have InterPro domains related to GO:0003824,False
Wban_00171,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001019 - Guanine nucleotide binding protein (G-protein), alpha subunit, IPR000469 - G-protein alpha subunit, group 12/13",True
Wban_00172,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR005810 - Succinyl-CoA ligase, alpha subunit, IPR005811 - ATP-citrate synthase/succinyl-CoA ligase, C-terminal domain",True
Wban_00173,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR040230 - Protease TIKI1/2-like,True
Wban_00174,Does not have InterPro domains related to GO:0003824,False
Wban_00175,Does not have InterPro domains related to GO:0003824,False
Wban_00176,Does not have InterPro domains related to GO:0003824,False
Wban_00177,Does not have InterPro domains related to GO:0003824,False
Wban_00178,Does not have InterPro domains related to GO:0003824,False
Wban_00179,Does not have InterPro domains related to GO:0003824,False
Wban_00180,Does not have InterPro domains related to GO:0003824,False
Wban_00181,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR011282 - 2-amino-3-ketobutyrate coenzyme A ligase,True
Wban_00182,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR015659 - Proline oxidase family,True
Wban_00183,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000719 - Protein kinase domain, IPR008271 - Serine/threonine-protein kinase, active site",True
Wban_00184,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR017871 - ABC transporter-like, conserved site, IPR003439 - ABC transporter-like, ATP-binding domain",True
Wban_00185,Does not have InterPro domains related to GO:0003824,False
Wban_00186,Does not have InterPro domains related to GO:0003824,False
Wban_00187,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR023382 - tRNA-specific 2-thiouridylase MnmA-like, central domain superfamily, IPR004506 - tRNA-specific 2-thiouridylase",True
Wban_00188,Does not have InterPro domains related to GO:0003824,False
Wban_00189,Does not have InterPro domains related to GO:0003824,False
Wban_00190,Does not have InterPro domains related to GO:0003824,False
Wban_00191,Does not have InterPro domains related to GO:0003824,False
Wban_00192,Does not have InterPro domains related to GO:0003824,False
Wban_00193,Does not have InterPro domains related to GO:0003824,False
Wban_00194,Does not have InterPro domains related to GO:0003824,False
Wban_00195,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR017871 - ABC transporter-like, conserved site, IPR003439 - ABC transporter-like, ATP-binding domain",True
Wban_00196,Does not have InterPro domains related to GO:0003824,False
Wban_00197,Does not have InterPro domains related to GO:0003824,False
Wban_00198,Does not have InterPro domains related to GO:0003824,False
Wban_00199,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR037359 - Heparan sulfate sulfotransferase, IPR021930 - Heparan sulphate-N-deacetylase, IPR000863 - Sulfotransferase domain",True
Wban_00200,Does not have InterPro domains related to GO:0003824,False
Wban_00201,Does not have InterPro domains related to GO:0003824,False
Wban_00202,Does not have InterPro domains related to GO:0003824,False
Wban_00203,Does not have InterPro domains related to GO:0003824,False
Wban_00204,Does not have InterPro domains related to GO:0003824,False
Wban_00205,Does not have InterPro domains related to GO:0003824,False
Wban_00206,Does not have InterPro domains related to GO:0003824,False
Wban_00207,Does not have InterPro domains related to GO:0003824,False
Wban_00208,Does not have InterPro domains related to GO:0003824,False
Wban_00209,Does not have InterPro domains related to GO:0003824,False
Wban_00210,Does not have InterPro domains related to GO:0003824,False
Wban_00211,Does not have InterPro domains related to GO:0003824,False
Wban_00212,Does not have InterPro domains related to GO:0003824,False
Wban_00213,Does not have InterPro domains related to GO:0003824,False
Wban_00214,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR025790 - Suv4-20 family, animal",True
Wban_00215,Does not have InterPro domains related to GO:0003824,False
Wban_00216,Does not have InterPro domains related to GO:0003824,False
Wban_00217,Does not have InterPro domains related to GO:0003824,False
Wban_00218,Does not have InterPro domains related to GO:0003824,False
Wban_00219,Does not have InterPro domains related to GO:0003824,False
Wban_00220,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR008076 - Cyanate hydratase,True
Wban_00221,Does not have InterPro domains related to GO:0003824,False
Wban_00222,Does not have InterPro domains related to GO:0003824,False
Wban_00223,Does not have InterPro domains related to GO:0003824,False
Wban_00224,Does not have InterPro domains related to GO:0003824,False
Wban_00225,Does not have InterPro domains related to GO:0003824,False
Wban_00226,Does not have InterPro domains related to GO:0003824,False
Wban_00227,Does not have InterPro domains related to GO:0003824,False
Wban_00228,Does not have InterPro domains related to GO:0003824,False
Wban_00229,Does not have InterPro domains related to GO:0003824,False
Wban_00230,Does not have InterPro domains related to GO:0003824,False
Wban_00231,Does not have InterPro domains related to GO:0003824,False
Wban_00232,Does not have InterPro domains related to GO:0003824,False
Wban_00233,Does not have InterPro domains related to GO:0003824,False
Wban_00234,Does not have InterPro domains related to GO:0003824,False
Wban_00235,Does not have InterPro domains related to GO:0003824,False
Wban_00236,Does not have InterPro domains related to GO:0003824,False
Wban_00237,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR012220 - Glutamate synthase, eukaryotic, IPR006982 - Glutamate synthase, central-N, IPR023753 - FAD/NAD(P)-binding domain, IPR002489 - Glutamate synthase, alpha subunit, C-terminal, IPR006005 - Glutamate synthase, NADH/NADPH, small subunit 1, IPR036485 - Glutamate synthase, alpha subunit, C-terminal domain superfamily, IPR002932 - Glutamate synthase domain",True
Wban_00238,Does not have InterPro domains related to GO:0003824,False
Wban_00239,Does not have InterPro domains related to GO:0003824,False
Wban_00240,Does not have InterPro domains related to GO:0003824,False
Wban_00241,Does not have InterPro domains related to GO:0003824,False
Wban_00242,Does not have InterPro domains related to GO:0003824,False
Wban_00243,Does not have InterPro domains related to GO:0003824,False
Wban_00244,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001806 - Small GTPase,True
Wban_00245,Does not have InterPro domains related to GO:0003824,False
Wban_00246,Does not have InterPro domains related to GO:0003824,False
Wban_00247,Does not have InterPro domains related to GO:0003824,False
Wban_00248,Does not have InterPro domains related to GO:0003824,False
Wban_00249,Does not have InterPro domains related to GO:0003824,False
Wban_00250,Does not have InterPro domains related to GO:0003824,False
Wban_00251,Does not have InterPro domains related to GO:0003824,False
Wban_00252,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001567 - Peptidase M3A/M3B catalytic domain, IPR024079 - Metallopeptidase, catalytic domain superfamily, IPR045090 - Peptidase M3A/M3B",True
Wban_00253,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR045076 - DNA mismatch repair MutS family,True
Wban_00254,Does not have InterPro domains related to GO:0003824,False
Wban_00255,Does not have InterPro domains related to GO:0003824,False
Wban_00256,Does not have InterPro domains related to GO:0003824,False
Wban_00257,Does not have InterPro domains related to GO:0003824,False
Wban_00258,Does not have InterPro domains related to GO:0003824,False
Wban_00259,Does not have InterPro domains related to GO:0003824,False
Wban_00260,Does not have InterPro domains related to GO:0003824,False
Wban_00261,Does not have InterPro domains related to GO:0003824,False
Wban_00262,Does not have InterPro domains related to GO:0003824,False
Wban_00263,Does not have InterPro domains related to GO:0003824,False
Wban_00264,Does not have InterPro domains related to GO:0003824,False
Wban_00265,Does not have InterPro domains related to GO:0003824,False
Wban_00266,Does not have InterPro domains related to GO:0003824,False
Wban_00267,Does not have InterPro domains related to GO:0003824,False
Wban_00268,Does not have InterPro domains related to GO:0003824,False
Wban_00269,Does not have InterPro domains related to GO:0003824,False
Wban_00270,Does not have InterPro domains related to GO:0003824,False
Wban_00271,Does not have InterPro domains related to GO:0003824,False
Wban_00272,Does not have InterPro domains related to GO:0003824,False
Wban_00273,Does not have InterPro domains related to GO:0003824,False
Wban_00274,Does not have InterPro domains related to GO:0003824,False
Wban_00275,Does not have InterPro domains related to GO:0003824,False
Wban_00276,Does not have InterPro domains related to GO:0003824,False
Wban_00277,Does not have InterPro domains related to GO:0003824,False
Wban_00278,Does not have InterPro domains related to GO:0003824,False
Wban_00279,Does not have InterPro domains related to GO:0003824,False
Wban_00280,Does not have InterPro domains related to GO:0003824,False
Wban_00281,Does not have InterPro domains related to GO:0003824,False
Wban_00282,Does not have InterPro domains related to GO:0003824,False
Wban_00283,Does not have InterPro domains related to GO:0003824,False
Wban_00284,Does not have InterPro domains related to GO:0003824,False
Wban_00285,Does not have InterPro domains related to GO:0003824,False
Wban_00286,Does not have InterPro domains related to GO:0003824,False
Wban_00287,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR017226 - Betaine-homocysteine S-methyltransferase, BHMT",True
Wban_00288,Does not have InterPro domains related to GO:0003824,False
Wban_00289,Does not have InterPro domains related to GO:0003824,False
Wban_00290,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000407 - Nucleoside phosphatase GDA1/CD39,True
Wban_00291,Does not have InterPro domains related to GO:0003824,False
Wban_00292,Does not have InterPro domains related to GO:0003824,False
Wban_00293,Does not have InterPro domains related to GO:0003824,False
Wban_00294,Does not have InterPro domains related to GO:0003824,False
Wban_00295,Does not have InterPro domains related to GO:0003824,False
Wban_00296,Does not have InterPro domains related to GO:0003824,False
Wban_00297,Does not have InterPro domains related to GO:0003824,False
Wban_00298,Does not have InterPro domains related to GO:0003824,False
Wban_00299,Does not have InterPro domains related to GO:0003824,False
Wban_00300,Does not have InterPro domains related to GO:0003824,False
Wban_00301,Does not have InterPro domains related to GO:0003824,False
Wban_00302,Does not have InterPro domains related to GO:0003824,False
Wban_00303,Does not have InterPro domains related to GO:0003824,False
Wban_00304,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR011013 - Galactose mutarotase-like domain superfamily, IPR000322 - Glycoside hydrolase family 31, TIM barrel domain",True
Wban_00305,Does not have InterPro domains related to GO:0003824,False
Wban_00306,Does not have InterPro domains related to GO:0003824,False
Wban_00307,Does not have InterPro domains related to GO:0003824,False
Wban_00308,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001019 - Guanine nucleotide binding protein (G-protein), alpha subunit",True
Wban_00309,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000719 - Protein kinase domain, IPR008271 - Serine/threonine-protein kinase, active site, IPR008351 - Mitogen-activated protein (MAP) kinase, JNK, IPR003527 - Mitogen-activated protein (MAP) kinase, conserved site",True
Wban_00310,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001408 - G-protein alpha subunit, group I, IPR001019 - Guanine nucleotide binding protein (G-protein), alpha subunit",True
Wban_00311,Does not have InterPro domains related to GO:0003824,False
Wban_00312,Does not have InterPro domains related to GO:0003824,False
Wban_00313,Does not have InterPro domains related to GO:0003824,False
Wban_00314,Does not have InterPro domains related to GO:0003824,False
Wban_00315,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR002495 - Glycosyl transferase, family 8",True
Wban_00316,Does not have InterPro domains related to GO:0003824,False
Wban_00317,Does not have InterPro domains related to GO:0003824,False
Wban_00318,Does not have InterPro domains related to GO:0003824,False
Wban_00319,Does not have InterPro domains related to GO:0003824,False
Wban_00320,Does not have InterPro domains related to GO:0003824,False
Wban_00321,Does not have InterPro domains related to GO:0003824,False
Wban_00322,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR018357 - Hexapeptide transferase, conserved site, IPR045233 - Mannose-1-phosphate guanyltransferase, N-terminal domain",True
Wban_00323,Does not have InterPro domains related to GO:0003824,False
Wban_00324,Does not have InterPro domains related to GO:0003824,False
Wban_00325,Does not have InterPro domains related to GO:0003824,False
Wban_00326,Does not have InterPro domains related to GO:0003824,False
Wban_00327,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000889 - Glutathione peroxidase,True
Wban_00328,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001019 - Guanine nucleotide binding protein (G-protein), alpha subunit",True
Wban_00329,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000719 - Protein kinase domain, IPR008266 - Tyrosine-protein kinase, active site, IPR020635 - Tyrosine-protein kinase, catalytic domain, IPR001245 - Serine-threonine/tyrosine-protein kinase, catalytic domain",True
Wban_00330,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR013158 - APOBEC-like, N-terminal",True
Wban_00331,Does not have InterPro domains related to GO:0003824,False
Wban_00332,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000242 - Tyrosine-specific protein phosphatase, PTPase domain",True
Wban_00333,Does not have InterPro domains related to GO:0003824,False
Wban_00334,Does not have InterPro domains related to GO:0003824,False
Wban_00335,Does not have InterPro domains related to GO:0003824,False
Wban_00336,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001736 - Phospholipase D/Transphosphatidylase,True
Wban_00337,Does not have InterPro domains related to GO:0003824,False
Wban_00338,Does not have InterPro domains related to GO:0003824,False
Wban_00339,Does not have InterPro domains related to GO:0003824,False
Wban_00340,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR044107 - ATM, catalytic domain, IPR018936 - Phosphatidylinositol 3/4-kinase, conserved site, IPR038980 - Serine/threonine-protein kinase ATM, plant",True
Wban_00341,Does not have InterPro domains related to GO:0003824,False
Wban_00342,Does not have InterPro domains related to GO:0003824,False
Wban_00343,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000795 - Translational (tr)-type GTP-binding domain,True
Wban_00344,Does not have InterPro domains related to GO:0003824,False
Wban_00345,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001806 - Small GTPase,True
Wban_00346,Does not have InterPro domains related to GO:0003824,False
Wban_00347,Does not have InterPro domains related to GO:0003824,False
Wban_00348,Does not have InterPro domains related to GO:0003824,False
Wban_00349,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR006139 - D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain, IPR043322 - C-terminal binding protein",True
Wban_00350,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001806 - Small GTPase,True
Wban_00351,Does not have InterPro domains related to GO:0003824,False
Wban_00352,Does not have InterPro domains related to GO:0003824,False
Wban_00353,Does not have InterPro domains related to GO:0003824,False
