Gene stable ID,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,best_WBP_human_orthologue_lt_40pct_identity
TTRE10058,ENSG00000205927,OLIG2,ortholog_one2one,28.1081,16.0991,False,True
TTRE10059,ENSG00000175536,LIPT2,ortholog_one2one,24.7911,38.5281,False,True
TTRE1006,ENSG00000205629,LCMT1,ortholog_one2one,26.6106,28.4431,False,True
TTRE10060,,,,0.0,,True,True
TTRE10061,,,,0.0,,True,True
TTRE10062,,,,0.0,,True,True
TTRE10063,,,,0.0,,True,True
TTRE10064,,,,0.0,,True,True
TTRE10065,,,,0.0,,True,True
TTRE10066,,,,0.0,,True,True
TTRE10067,,,,0.0,,True,True
TTRE10068,,,,0.0,,True,True
TTRE10069,ENSG00000110536,PTPMT1,ortholog_one2one,30.6878,28.8557,False,True
TTRE1007,ENSG00000175467,SART1,ortholog_one2one,42.132,10.375,False,False
TTRE10070,ENSG00000141552,ANAPC11,ortholog_one2one,33.0709,50.0,False,True
TTRE10071,ENSG00000083520,DIS3,ortholog_one2one,49.0073,48.9562,False,False
TTRE10072,,,,0.0,,True,True
TTRE10073,,,,0.0,,True,True
TTRE10074,ENSG00000112238,PRDM13,ortholog_one2many,31.8386,10.0424,False,True
TTRE10075,,,,0.0,,True,True
TTRE10076,,,,0.0,,True,True
TTRE10077,ENSG00000075856,SART3,ortholog_one2one,27.46,24.9221,False,True
TTRE10078,ENSG00000164252,AGGF1,ortholog_one2one,9.93843,15.8263,False,True
TTRE10079,ENSG00000130165,ELOF1,ortholog_one2many,64.2857,65.0602,False,False
TTRE1008,,,,0.0,,True,True
TTRE10080,,,,0.0,,True,True
TTRE10081,ENSG00000100726,TELO2,ortholog_one2one,20.1502,19.2354,False,True
TTRE10082,ENSG00000161526,SAP30BP,ortholog_one2one,21.1806,19.8052,False,True
TTRE10083,,,,0.0,,True,True
TTRE10084,,,,0.0,,True,True
TTRE10085,ENSG00000232040,SCAND3,ortholog_one2many,29.5775,6.33962,False,True
TTRE10086,ENSG00000179886,TIGD5,ortholog_one2many,17.1569,5.45171,False,True
TTRE10087,ENSG00000179886,TIGD5,ortholog_one2many,17.0543,6.85358,False,True
TTRE10088,,,,0.0,,True,True
TTRE10089,,,,0.0,,True,True
TTRE1009,,,,0.0,,True,True
TTRE10090,,,,0.0,,True,True
TTRE10091,,,,0.0,,True,True
TTRE10092,,,,0.0,,True,True
TTRE10093,,,,0.0,,True,True
TTRE10094,,,,0.0,,True,True
TTRE10095,,,,0.0,,True,True
TTRE10096,,,,0.0,,True,True
TTRE10097,,,,0.0,,True,True
TTRE10098,,,,0.0,,True,True
TTRE10099,,,,0.0,,True,True
TTRE101,ENSG00000120992,LYPLA1,ortholog_one2one,50.0,50.0,False,False
TTRE1010,ENSG00000152578,GRIA4,ortholog_many2many,22.658,11.5299,False,True
TTRE10100,ENSG00000221944,TIGD1,ortholog_many2many,23.3645,12.6904,False,True
TTRE10101,,,,0.0,,True,True
TTRE10102,,,,0.0,,True,True
TTRE10103,,,,0.0,,True,True
TTRE10104,,,,0.0,,True,True
TTRE10105,,,,0.0,,True,True
TTRE10106,,,,0.0,,True,True
TTRE10107,,,,0.0,,True,True
TTRE10108,ENSG00000232040,SCAND3,ortholog_one2many,23.7179,2.79245,False,True
TTRE10109,ENSG00000232040,SCAND3,ortholog_one2many,30.7832,12.7547,False,True
TTRE1011,ENSG00000139180,NDUFA9,ortholog_one2many,28.1395,32.0955,False,True
TTRE10110,ENSG00000179886,TIGD5,ortholog_one2many,17.5439,7.78816,False,True
TTRE10111,,,,0.0,,True,True
TTRE10112,,,,0.0,,True,True
TTRE10113,ENSG00000143157,POGK,ortholog_one2many,32.8283,10.6732,False,True
TTRE10114,ENSG00000180346,TIGD2,ortholog_many2many,19.4631,5.52381,False,True
TTRE10115,ENSG00000232040,SCAND3,ortholog_one2many,22.1591,2.9434,False,True
TTRE10116,,,,0.0,,True,True
TTRE10117,,,,0.0,,True,True
TTRE10118,ENSG00000167985,SDHAF2,ortholog_one2many,32.5397,24.6988,False,True
TTRE10119,ENSG00000232040,SCAND3,ortholog_one2many,28.3988,7.09434,False,True
TTRE1012,ENSG00000135913,USP37,ortholog_one2one,24.6313,17.0582,False,True
TTRE10120,,,,0.0,,True,True
TTRE10121,,,,0.0,,True,True
TTRE10122,,,,0.0,,True,True
TTRE10123,,,,0.0,,True,True
TTRE10124,,,,0.0,,True,True
TTRE10125,,,,0.0,,True,True
TTRE10126,,,,0.0,,True,True
TTRE10127,,,,0.0,,True,True
TTRE10128,ENSG00000143157,POGK,ortholog_one2many,32.3529,10.8374,False,True
TTRE10129,,,,0.0,,True,True
TTRE1013,ENSG00000131844,MCCC2,ortholog_one2one,64.3701,58.0817,False,False
TTRE10130,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10131,ENSG00000180346,TIGD2,ortholog_many2many,18.1818,7.61905,False,True
TTRE10132,,,,0.0,,True,True
TTRE10133,,,,0.0,,True,True
TTRE10134,,,,0.0,,True,True
TTRE10135,,,,0.0,,True,True
TTRE10136,ENSG00000090376,IRAK3,ortholog_many2many,8.15451,3.18792,False,True
TTRE10137,,,,0.0,,True,True
TTRE10138,ENSG00000180346,TIGD2,ortholog_many2many,12.8319,5.52381,False,True
TTRE10139,,,,0.0,,True,True
TTRE1014,ENSG00000286106,NOTCH2NLR,ortholog_many2many,3.98876,25.9124,False,True
TTRE10140,ENSG00000130517,PGPEP1,ortholog_many2many,28.5714,27.7512,False,True
TTRE10141,,,,0.0,,True,True
TTRE10142,,,,0.0,,True,True
TTRE10143,,,,0.0,,True,True
TTRE10144,,,,0.0,,True,True
TTRE10145,ENSG00000232040,SCAND3,ortholog_one2many,23.2558,3.01887,False,True
TTRE10146,,,,0.0,,True,True
TTRE10147,ENSG00000232040,SCAND3,ortholog_one2many,30.6122,7.92453,False,True
TTRE10148,ENSG00000172269,DPAGT1,ortholog_one2many,51.3382,51.7157,False,False
TTRE10149,ENSG00000180346,TIGD2,ortholog_many2many,28.6585,8.95238,False,True
TTRE1015,ENSG00000057593,F7,ortholog_many2many,24.581,19.8198,False,True
TTRE10150,ENSG00000179886,TIGD5,ortholog_one2many,25.6039,16.5109,False,True
TTRE10151,,,,0.0,,True,True
TTRE10152,ENSG00000112081,SRSF3,ortholog_one2many,59.434,38.4146,False,False
TTRE10153,,,,0.0,,True,True
TTRE10154,,,,0.0,,True,True
TTRE10155,,,,0.0,,True,True
TTRE10156,,,,0.0,,True,True
TTRE10157,ENSG00000143157,POGK,ortholog_one2many,36.3636,23.6453,False,True
TTRE10158,ENSG00000143157,POGK,ortholog_one2many,36.6162,23.8095,False,True
TTRE10159,ENSG00000232040,SCAND3,ortholog_one2many,31.1475,12.9057,False,True
TTRE1016,ENSG00000158516,CPA2,ortholog_many2many,27.7523,28.8783,False,True
TTRE10160,,,,0.0,,True,True
TTRE10161,,,,0.0,,True,True
TTRE10162,,,,0.0,,True,True
TTRE10163,,,,0.0,,True,True
TTRE10164,ENSG00000164167,LSM6,ortholog_one2one,82.2785,81.25,False,False
TTRE10165,,,,0.0,,True,True
TTRE10166,,,,0.0,,True,True
TTRE10167,,,,0.0,,True,True
TTRE10168,,,,0.0,,True,True
TTRE10169,ENSG00000120594,PLXDC2,ortholog_many2many,30.0199,28.5444,False,True
TTRE1017,,,,0.0,,True,True
TTRE10170,,,,0.0,,True,True
TTRE10171,,,,0.0,,True,True
TTRE10172,,,,0.0,,True,True
TTRE10173,,,,0.0,,True,True
TTRE10174,,,,0.0,,True,True
TTRE10175,,,,0.0,,True,True
TTRE10176,,,,0.0,,True,True
TTRE10177,,,,0.0,,True,True
TTRE10178,,,,0.0,,True,True
TTRE10179,,,,0.0,,True,True
TTRE1018,ENSG00000153827,TRIP12,ortholog_one2one,33.1919,30.2854,False,True
TTRE10180,,,,0.0,,True,True
TTRE10181,,,,0.0,,True,True
TTRE10182,,,,0.0,,True,True
TTRE10183,,,,0.0,,True,True
TTRE10184,,,,0.0,,True,True
TTRE10185,,,,0.0,,True,True
TTRE10186,,,,0.0,,True,True
TTRE10187,,,,0.0,,True,True
TTRE10189,,,,0.0,,True,True
TTRE1019,ENSG00000101343,CRNKL1,ortholog_one2one,60.1671,62.8821,False,False
TTRE10190,,,,0.0,,True,True
TTRE10191,,,,0.0,,True,True
TTRE10192,,,,0.0,,True,True
TTRE10193,,,,0.0,,True,True
TTRE10194,,,,0.0,,True,True
TTRE10195,ENSG00000232040,SCAND3,ortholog_one2many,27.7778,4.5283,False,True
TTRE10196,,,,0.0,,True,True
TTRE10197,ENSG00000232040,SCAND3,ortholog_one2many,27.7778,4.5283,False,True
TTRE10198,,,,0.0,,True,True
TTRE10199,,,,0.0,,True,True
TTRE102,ENSG00000104267,CA2,ortholog_one2one,40.3042,40.7692,False,False
TTRE1020,ENSG00000008118,CAMK1G,ortholog_many2many,18.2927,18.9076,False,True
TTRE10200,ENSG00000136758,YME1L1,ortholog_one2many,40.5583,34.4972,False,False
TTRE10201,,,,0.0,,True,True
TTRE10202,,,,0.0,,True,True
TTRE10203,,,,0.0,,True,True
TTRE10204,ENSG00000232040,SCAND3,ortholog_one2many,31.0811,13.8868,False,True
TTRE10205,ENSG00000178567,EPM2AIP1,ortholog_one2many,20.3822,10.5437,False,True
TTRE10206,ENSG00000174428,GTF2IRD2B,ortholog_many2many,32.2709,8.5353,False,True
TTRE10207,,,,0.0,,True,True
TTRE10208,,,,0.0,,True,True
TTRE10209,,,,0.0,,True,True
TTRE1021,,,,0.0,,True,True
TTRE10210,,,,0.0,,True,True
TTRE10211,,,,0.0,,True,True
TTRE10212,,,,0.0,,True,True
TTRE10213,,,,0.0,,True,True
TTRE10214,,,,0.0,,True,True
TTRE10215,,,,0.0,,True,True
TTRE10216,,,,0.0,,True,True
TTRE10217,,,,0.0,,True,True
TTRE10218,,,,0.0,,True,True
TTRE10219,ENSG00000136161,RCBTB2,ortholog_many2many,21.466,14.882,False,True
TTRE1022,ENSG00000014919,COX15,ortholog_one2one,43.073,41.7073,False,False
TTRE10220,,,,0.0,,True,True
TTRE10221,,,,0.0,,True,True
TTRE10222,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10223,,,,0.0,,True,True
TTRE10224,,,,0.0,,True,True
TTRE10225,,,,0.0,,True,True
TTRE10226,,,,0.0,,True,True
TTRE10227,,,,0.0,,True,True
TTRE10228,ENSG00000180346,TIGD2,ortholog_many2many,27.4648,7.42857,False,True
TTRE10229,,,,0.0,,True,True
TTRE1023,ENSG00000172239,PAIP1,ortholog_one2one,15.625,13.5699,False,True
TTRE10230,,,,0.0,,True,True
TTRE10231,,,,0.0,,True,True
TTRE10232,,,,0.0,,True,True
TTRE10233,,,,0.0,,True,True
TTRE10234,,,,0.0,,True,True
TTRE10235,,,,0.0,,True,True
TTRE10236,,,,0.0,,True,True
TTRE10237,,,,0.0,,True,True
TTRE10238,,,,0.0,,True,True
TTRE10239,,,,0.0,,True,True
TTRE1024,,,,0.0,,True,True
TTRE10240,,,,0.0,,True,True
TTRE10241,,,,0.0,,True,True
TTRE10242,ENSG00000179886,TIGD5,ortholog_one2many,20.7547,6.85358,False,True
TTRE10243,,,,0.0,,True,True
TTRE10244,,,,0.0,,True,True
TTRE10245,,,,0.0,,True,True
TTRE10246,,,,0.0,,True,True
TTRE10247,,,,0.0,,True,True
TTRE10248,,,,0.0,,True,True
TTRE10249,,,,0.0,,True,True
TTRE1025,ENSG00000114127,XRN1,ortholog_one2many,19.9282,6.55254,False,True
TTRE10250,,,,0.0,,True,True
TTRE10251,ENSG00000196275,GTF2IRD2,ortholog_many2many,32.6241,19.3888,False,True
TTRE10252,,,,0.0,,True,True
TTRE10253,,,,0.0,,True,True
TTRE10254,,,,0.0,,True,True
TTRE10255,,,,0.0,,True,True
TTRE10256,ENSG00000178567,EPM2AIP1,ortholog_one2many,20.202,9.88468,False,True
TTRE10257,ENSG00000174428,GTF2IRD2B,ortholog_many2many,32.2709,8.5353,False,True
TTRE10258,,,,0.0,,True,True
TTRE10259,,,,0.0,,True,True
TTRE1026,ENSG00000001626,CFTR,ortholog_many2many,22.1154,21.7568,False,True
TTRE10260,ENSG00000196275,GTF2IRD2,ortholog_many2many,35.5978,13.804,False,True
TTRE10261,ENSG00000178567,EPM2AIP1,ortholog_one2many,19.2982,5.43657,False,True
TTRE10262,,,,0.0,,True,True
TTRE10263,,,,0.0,,True,True
TTRE10264,ENSG00000180346,TIGD2,ortholog_many2many,19.2623,8.95238,False,True
TTRE10265,ENSG00000180346,TIGD2,ortholog_many2many,17.5,6.66667,False,True
TTRE10266,,,,0.0,,True,True
TTRE10267,,,,0.0,,True,True
TTRE10268,,,,0.0,,True,True
TTRE10269,ENSG00000196275,GTF2IRD2,ortholog_many2many,31.6054,19.9157,False,True
TTRE1027,ENSG00000138398,PPIG,ortholog_many2many,27.0026,27.7188,False,True
TTRE10270,,,,0.0,,True,True
TTRE10271,,,,0.0,,True,True
TTRE10272,,,,0.0,,True,True
TTRE10273,,,,0.0,,True,True
TTRE10274,ENSG00000180346,TIGD2,ortholog_many2many,17.033,5.90476,False,True
TTRE10275,,,,0.0,,True,True
TTRE10276,,,,0.0,,True,True
TTRE10277,ENSG00000090376,IRAK3,ortholog_many2many,8.58369,3.3557,False,True
TTRE10278,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10279,,,,0.0,,True,True
TTRE1028,,,,0.0,,True,True
TTRE10280,,,,0.0,,True,True
TTRE10281,,,,0.0,,True,True
TTRE10282,,,,0.0,,True,True
TTRE10283,,,,0.0,,True,True
TTRE10284,,,,0.0,,True,True
TTRE10285,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10286,,,,0.0,,True,True
TTRE10287,,,,0.0,,True,True
TTRE10288,,,,0.0,,True,True
TTRE10289,,,,0.0,,True,True
TTRE1029,ENSG00000126216,TUBGCP3,ortholog_one2one,20.2367,18.8534,False,True
TTRE10290,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10291,ENSG00000090376,IRAK3,ortholog_many2many,10.1266,2.68456,False,True
TTRE10292,,,,0.0,,True,True
TTRE10293,,,,0.0,,True,True
TTRE10294,,,,0.0,,True,True
TTRE10295,,,,0.0,,True,True
TTRE10296,ENSG00000180346,TIGD2,ortholog_many2many,18.1208,5.14286,False,True
TTRE10297,,,,0.0,,True,True
TTRE10298,,,,0.0,,True,True
TTRE10299,,,,0.0,,True,True
TTRE103,,,,0.0,,True,True
TTRE1030,ENSG00000169299,PGM2,ortholog_many2many,12.9088,12.2549,False,True
TTRE10300,,,,0.0,,True,True
TTRE10301,ENSG00000109270,LAMTOR3,ortholog_one2many,31.7829,33.0645,False,True
TTRE10302,,,,0.0,,True,True
TTRE10303,,,,0.0,,True,True
TTRE10304,,,,0.0,,True,True
TTRE10305,,,,0.0,,True,True
TTRE10306,ENSG00000232040,SCAND3,ortholog_one2many,31.5118,13.0566,False,True
TTRE10307,ENSG00000179886,TIGD5,ortholog_one2many,22.9927,9.81308,False,True
TTRE10308,,,,0.0,,True,True
TTRE10309,,,,0.0,,True,True
TTRE1031,,,,0.0,,True,True
TTRE10310,,,,0.0,,True,True
TTRE10311,,,,0.0,,True,True
TTRE10312,,,,0.0,,True,True
TTRE10313,,,,0.0,,True,True
TTRE10314,,,,0.0,,True,True
TTRE10315,,,,0.0,,True,True
TTRE10316,,,,0.0,,True,True
TTRE10317,,,,0.0,,True,True
TTRE10318,,,,0.0,,True,True
TTRE10319,,,,0.0,,True,True
TTRE1032,ENSG00000168282,MGAT2,ortholog_one2many,28.5714,26.8456,False,True
TTRE10320,,,,0.0,,True,True
TTRE10321,,,,0.0,,True,True
TTRE10322,,,,0.0,,True,True
TTRE10323,,,,0.0,,True,True
TTRE10324,,,,0.0,,True,True
TTRE10325,,,,0.0,,True,True
TTRE10326,,,,0.0,,True,True
TTRE10327,,,,0.0,,True,True
TTRE10328,,,,0.0,,True,True
TTRE10329,,,,0.0,,True,True
TTRE1033,ENSG00000075420,FNDC3B,ortholog_one2many,25.974,18.2724,False,True
TTRE10330,,,,0.0,,True,True
TTRE10331,,,,0.0,,True,True
TTRE10332,,,,0.0,,True,True
TTRE10333,,,,0.0,,True,True
TTRE10334,,,,0.0,,True,True
TTRE10335,,,,0.0,,True,True
TTRE10336,,,,0.0,,True,True
TTRE10337,,,,0.0,,True,True
TTRE10338,ENSG00000180346,TIGD2,ortholog_many2many,11.1765,7.2381,False,True
TTRE10339,,,,0.0,,True,True
TTRE1034,,,,0.0,,True,True
TTRE10340,,,,0.0,,True,True
TTRE10341,,,,0.0,,True,True
TTRE10342,,,,0.0,,True,True
TTRE10343,,,,0.0,,True,True
TTRE10344,,,,0.0,,True,True
TTRE10345,,,,0.0,,True,True
TTRE10346,,,,0.0,,True,True
TTRE10347,,,,0.0,,True,True
TTRE10348,ENSG00000196275,GTF2IRD2,ortholog_many2many,32.766,16.2276,False,True
TTRE10349,ENSG00000180346,TIGD2,ortholog_many2many,19.7368,17.1429,False,True
TTRE1035,,,,0.0,,True,True
TTRE10350,,,,0.0,,True,True
TTRE10351,ENSG00000188486,H2AX,ortholog_one2many,71.875,48.2517,False,False
TTRE10352,ENSG00000285480,H2BK1,ortholog_many2many,58.7719,54.918,False,False
TTRE10353,,,,0.0,,True,True
TTRE10354,,,,0.0,,True,True
TTRE10355,,,,0.0,,True,True
TTRE10356,,,,0.0,,True,True
TTRE10357,,,,0.0,,True,True
TTRE10358,,,,0.0,,True,True
TTRE10359,ENSG00000174428,GTF2IRD2B,ortholog_many2many,32.0826,18.019,False,True
TTRE1036,ENSG00000163395,IGFN1,ortholog_many2many,4.26257,1.34844,False,True
TTRE10360,,,,0.0,,True,True
TTRE10361,,,,0.0,,True,True
TTRE10362,,,,0.0,,True,True
TTRE10363,ENSG00000180346,TIGD2,ortholog_many2many,17.7034,7.04762,False,True
TTRE10364,ENSG00000196275,GTF2IRD2,ortholog_many2many,30.8378,18.2297,False,True
TTRE10365,,,,0.0,,True,True
TTRE10366,,,,0.0,,True,True
TTRE10367,,,,0.0,,True,True
TTRE10368,,,,0.0,,True,True
TTRE10369,,,,0.0,,True,True
TTRE1037,ENSG00000163395,IGFN1,ortholog_many2many,1.33531,0.242718,False,True
TTRE10370,,,,0.0,,True,True
TTRE10371,,,,0.0,,True,True
TTRE10372,,,,0.0,,True,True
TTRE10373,ENSG00000178567,EPM2AIP1,ortholog_one2many,14.876,5.93081,False,True
TTRE10374,ENSG00000174428,GTF2IRD2B,ortholog_many2many,29.8805,7.90306,False,True
TTRE10375,ENSG00000174428,GTF2IRD2B,ortholog_many2many,30.0395,8.00843,False,True
TTRE10376,,,,0.0,,True,True
TTRE10377,,,,0.0,,True,True
TTRE10378,,,,0.0,,True,True
TTRE10379,,,,0.0,,True,True
TTRE1038,ENSG00000135002,RFK,ortholog_one2one,46.2025,47.0968,False,False
TTRE10380,,,,0.0,,True,True
TTRE10381,,,,0.0,,True,True
TTRE10382,ENSG00000232040,SCAND3,ortholog_one2many,27.1429,5.73585,False,True
TTRE10383,,,,0.0,,True,True
TTRE10384,,,,0.0,,True,True
TTRE10385,,,,0.0,,True,True
TTRE10386,,,,0.0,,True,True
TTRE10387,ENSG00000094631,HDAC6,ortholog_one2many,33.7079,4.93827,False,True
TTRE10388,,,,0.0,,True,True
TTRE10389,ENSG00000100429,HDAC10,ortholog_one2one,32.8947,11.2108,False,True
TTRE1039,,,,0.0,,True,True
TTRE10390,,,,0.0,,True,True
TTRE10391,ENSG00000164296,TIGD6,ortholog_many2many,22.1135,21.6891,False,True
TTRE10392,,,,0.0,,True,True
TTRE10393,,,,0.0,,True,True
TTRE10394,,,,0.0,,True,True
TTRE10396,,,,0.0,,True,True
TTRE10397,,,,0.0,,True,True
TTRE10398,,,,0.0,,True,True
TTRE10399,,,,0.0,,True,True
TTRE104,,,,0.0,,True,True
TTRE1040,ENSG00000178950,GAK,ortholog_one2many,34.5844,29.5195,False,True
TTRE10400,,,,0.0,,True,True
TTRE10401,,,,0.0,,True,True
TTRE10402,ENSG00000180346,TIGD2,ortholog_many2many,20.6714,22.2857,False,True
TTRE10403,,,,0.0,,True,True
TTRE10404,,,,0.0,,True,True
TTRE10405,,,,0.0,,True,True
TTRE10406,,,,0.0,,True,True
TTRE10407,,,,0.0,,True,True
TTRE10408,ENSG00000179886,TIGD5,ortholog_one2many,18.2119,8.56698,False,True
TTRE10409,,,,0.0,,True,True
TTRE1041,,,,0.0,,True,True
TTRE10410,,,,0.0,,True,True
TTRE10411,,,,0.0,,True,True
TTRE10412,,,,0.0,,True,True
TTRE10413,,,,0.0,,True,True
TTRE10414,,,,0.0,,True,True
TTRE10415,,,,0.0,,True,True
TTRE10416,,,,0.0,,True,True
TTRE10417,,,,0.0,,True,True
TTRE10418,,,,0.0,,True,True
TTRE10419,,,,0.0,,True,True
TTRE1042,ENSG00000168785,TSPAN5,ortholog_many2many,15.677,24.6269,False,True
TTRE10420,ENSG00000180346,TIGD2,ortholog_many2many,20.6714,22.2857,False,True
TTRE10421,,,,0.0,,True,True
TTRE10422,,,,0.0,,True,True
TTRE10423,,,,0.0,,True,True
TTRE10424,ENSG00000179886,TIGD5,ortholog_one2many,15.3191,5.60748,False,True
TTRE10425,,,,0.0,,True,True
TTRE10426,ENSG00000285480,H2BK1,ortholog_many2many,65.0406,65.5738,False,False
TTRE10427,,,,0.0,,True,True
TTRE10428,ENSG00000172572,PDE3A,ortholog_many2many,43.6735,9.37774,False,False
TTRE10429,,,,0.0,,True,True
TTRE1043,ENSG00000034677,RNF19A,ortholog_many2many,30.3639,28.8783,False,True
TTRE10430,,,,0.0,,True,True
TTRE10431,,,,0.0,,True,True
TTRE10432,,,,0.0,,True,True
TTRE10433,,,,0.0,,True,True
TTRE10434,,,,0.0,,True,True
TTRE10435,,,,0.0,,True,True
TTRE10436,,,,0.0,,True,True
TTRE10437,,,,0.0,,True,True
TTRE10438,,,,0.0,,True,True
TTRE10439,,,,0.0,,True,True
TTRE1044,ENSG00000146151,HMGCLL1,ortholog_one2many,46.875,44.1176,False,False
TTRE10440,ENSG00000232040,SCAND3,ortholog_one2many,20.202,3.01887,False,True
TTRE10441,,,,0.0,,True,True
TTRE10442,,,,0.0,,True,True
TTRE10443,,,,0.0,,True,True
TTRE10444,,,,0.0,,True,True
TTRE10445,,,,0.0,,True,True
TTRE10446,,,,0.0,,True,True
TTRE10447,,,,0.0,,True,True
TTRE10448,,,,0.0,,True,True
TTRE10449,,,,0.0,,True,True
TTRE1045,,,,0.0,,True,True
TTRE10450,,,,0.0,,True,True
TTRE10451,ENSG00000180346,TIGD2,ortholog_many2many,17.6152,12.381,False,True
TTRE10452,ENSG00000173825,TIGD3,ortholog_many2many,20.8145,9.76645,False,True
TTRE10453,,,,0.0,,True,True
TTRE10454,ENSG00000174428,GTF2IRD2B,ortholog_many2many,30.8411,6.95469,False,True
TTRE10455,,,,0.0,,True,True
TTRE10456,,,,0.0,,True,True
TTRE10457,,,,0.0,,True,True
TTRE10458,,,,0.0,,True,True
TTRE10459,,,,0.0,,True,True
TTRE1046,ENSG00000150787,PTS,ortholog_one2one,53.0612,53.7931,False,False
TTRE10460,,,,0.0,,True,True
TTRE10461,,,,0.0,,True,True
TTRE10462,,,,0.0,,True,True
TTRE10463,ENSG00000094631,HDAC6,ortholog_one2many,25.0,10.2058,False,True
TTRE10464,,,,0.0,,True,True
TTRE10465,,,,0.0,,True,True
TTRE10466,,,,0.0,,True,True
TTRE10467,,,,0.0,,True,True
TTRE10468,,,,0.0,,True,True
TTRE10469,ENSG00000180346,TIGD2,ortholog_many2many,22.6471,14.6667,False,True
TTRE1047,ENSG00000164506,STXBP5,ortholog_one2many,36.7686,36.5769,False,True
TTRE10470,ENSG00000143157,POGK,ortholog_one2many,16.6172,18.3908,False,True
TTRE10471,,,,0.0,,True,True
