Gene stable ID,Transcript biotype,Gene description,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,best_WBP_human_orthologue_lt_40pct_identity,is_enzyme,is_enzyme_ipID_desc
Wban_00059,protein_coding,Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EDN0],ENSG00000204160,ZDHHC18,ortholog_one2one,42.9348,40.7216,False,False,True,"IPR001594_Palmitoyltransferase, DHHC domain"
Wban_00060,protein_coding,Nucleoside diphosphate kinase-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7E435],ENSG00000172113,NME6,ortholog_many2many,34.9693,30.6452,False,True,False,
Wban_00061,protein_coding,,ENSG00000083307,GRHL2,ortholog_many2many,29.0792,28.8,False,True,False,
Wban_00062,protein_coding,,ENSG00000253148,RGS21,ortholog_many2many,39.0411,37.5,False,True,False,
Wban_00063,protein_coding,,,,,0.0,,True,True,False,
Wban_00064,protein_coding,,,,,0.0,,True,True,False,
Wban_00065,protein_coding,,,,,0.0,,True,True,True,"IPR004843_Calcineurin-like phosphoesterase domain, ApaH type, IPR006186_Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase"
Wban_00066,protein_coding,,,,,0.0,,True,True,False,
Wban_00067,protein_coding,Moesin/ezrin/radixin homolog 1  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DF14],ENSG00000088367,EPB41L1,ortholog_many2many,9.01673,25.0851,False,True,False,
Wban_00068,protein_coding,,,,,0.0,,True,True,False,
Wban_00069,protein_coding,phosphoenolpyruvate carboxykinase (GTP)  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EVA3],ENSG00000124253,PCK1,ortholog_many2many,54.1353,57.8778,False,False,True,"IPR008209_Phosphoenolpyruvate carboxykinase, GTP-utilising, IPR018091_Phosphoenolpyruvate carboxykinase, GTP-utilising, conserved site, IPR035077_Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain, IPR013035_Phosphoenolpyruvate carboxykinase, C-terminal, IPR008210_Phosphoenolpyruvate carboxykinase, N-terminal, IPR035078_Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal"
Wban_00070,protein_coding,,,,,0.0,,True,True,False,
Wban_00071,protein_coding,,,,,0.0,,True,True,False,
Wban_00072,protein_coding,HSF-type DNA-binding domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7ELU2],ENSG00000025156,HSF2,ortholog_one2many,21.0856,18.8433,False,True,False,
Wban_00073,protein_coding,Protein CASC3  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EY15],,,,0.0,,True,True,False,
Wban_00074,protein_coding,RhoGAP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FIC0],,,,0.0,,True,True,False,
Wban_00075,protein_coding,tRNA-t(6)A37 methylthiotransferase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWV1],ENSG00000145996,CDKAL1,ortholog_one2one,49.9018,43.8687,False,False,True,"IPR007197_Radical SAM, IPR006638_Elp3/MiaA/NifB-like, radical SAM core domain, IPR005839_Methylthiotransferase, IPR013848_Methylthiotransferase, N-terminal, IPR006466_MiaB-like tRNA modifying enzyme, archaea/eukaryota"
Wban_00076,protein_coding,diphosphoinositol-polyphosphate diphosphatase  [Source:UniProtKB/TrEMBL;Acc:J9ETL5],ENSG00000196368,NUDT11,ortholog_one2one,35.0,38.4146,False,True,True,"IPR047198_Diphosphoinositol polyphosphate phosphohydrolase-like, NUDIX domain, IPR020084_NUDIX hydrolase, conserved site"
Wban_00077,protein_coding,Small GTP-binding protein domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9AVN7],ENSG00000101246,ARFRP1,ortholog_one2one,44.8454,43.2836,False,False,True,"IPR006689_Small GTPase superfamily, ARF/SAR type"
Wban_00078,protein_coding,Phosphoprotein 3  [Source:UniProtKB/TrEMBL;Acc:A0A183XGQ0],ENSG00000113384,GOLPH3,ortholog_one2many,67.7193,64.7651,False,False,False,
Wban_00079,protein_coding,40S ribosomal protein S10b  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EXE7],ENSG00000124614,RPS10,ortholog_one2one,57.3333,52.1212,False,False,False,
Wban_00080,protein_coding,,,,,0.0,,True,True,False,
Wban_00081,protein_coding,NTF2-related export protein  [Source:UniProtKB/TrEMBL;Acc:J9EXK8],ENSG00000102898,NUTF2,ortholog_one2one,40.9091,42.5197,False,False,False,
Wban_00082,protein_coding,Transmembrane protein 208  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWV7],ENSG00000168701,TMEM208,ortholog_one2one,32.9412,32.3699,False,True,False,
Wban_00083,protein_coding,Sphingomyelin phosphodiesterase 4  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWM2],,,,0.0,,True,True,True,IPR024129_Sphingomyelin phosphodiesterase 4
Wban_00084,protein_coding,XRN2-binding (XTBD) domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EXF3],,,,0.0,,True,True,False,
Wban_00085,protein_coding,Dimethylglycine dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWW3],ENSG00000132837,DMGDH,ortholog_one2one,32.6555,31.5243,False,True,False,
Wban_00086,protein_coding,Nuclear pore protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWM8],ENSG00000102900,NUP93,ortholog_one2one,25.4802,24.2979,False,True,False,
Wban_00087,protein_coding,,,,,0.0,,True,True,False,
Wban_00088,protein_coding,RhoGEF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EA29],ENSG00000153404,PLEKHG4B,ortholog_many2many,11.2769,8.35894,False,True,False,
Wban_00089,protein_coding,Transcription factor CBF/NF-Y/archaeal histone domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7GJ26],ENSG00000066136,NFYC,ortholog_one2one,33.0855,26.5672,False,True,False,
Wban_00090,protein_coding,Protein kinase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ER40],ENSG00000159792,PSKH1,ortholog_one2one,38.1418,36.7925,False,True,True,"IPR000719_Protein kinase domain, IPR008271_Serine/threonine-protein kinase, active site"
Wban_00091,protein_coding,G-patch domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183Y1D4],ENSG00000254093,PINX1,ortholog_one2one,31.2821,18.5976,False,True,False,
Wban_00092,protein_coding,Calcineurin-like phosphoesterase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DSJ3],ENSG00000188167,TMPPE,ortholog_one2many,24.5614,21.6336,False,True,True,"IPR004843_Calcineurin-like phosphoesterase domain, ApaH type"
Wban_00093,protein_coding,Calcineurin-like phosphoesterase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DLB9],ENSG00000188167,TMPPE,ortholog_one2many,32.8125,27.8146,False,True,True,"IPR004843_Calcineurin-like phosphoesterase domain, ApaH type"
Wban_00094,protein_coding,,,,,0.0,,True,True,False,
Wban_00095,protein_coding,MYND-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ENG8],ENSG00000143499,SMYD2,ortholog_many2many,16.7728,18.2448,False,True,False,
Wban_00096,protein_coding,,ENSG00000186487,MYT1L,ortholog_many2many,15.0079,8.01012,False,True,False,
Wban_00097,protein_coding,,,,,0.0,,True,True,False,
Wban_00098,protein_coding,peptidylprolyl isomerase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7EPR3],ENSG00000105701,FKBP8,ortholog_many2many,22.4138,22.0339,False,True,True,"IPR046357_Peptidyl-prolyl cis-trans isomerase domain superfamily, IPR001179_FKBP-type peptidyl-prolyl cis-trans isomerase domain"
Wban_00099,protein_coding,,,,,0.0,,True,True,False,
Wban_00100,protein_coding,Sema domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FQW4],,,,0.0,,True,True,False,
Wban_00101,protein_coding,,,,,0.0,,True,True,False,
Wban_00102,protein_coding,,,,,0.0,,True,True,False,
Wban_00103,protein_coding,F-box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EKZ4],,,,0.0,,True,True,False,
Wban_00104,protein_coding,,,,,0.0,,True,True,False,
Wban_00105,protein_coding,,,,,0.0,,True,True,False,
Wban_00106,protein_coding,,ENSG00000010017,RANBP9,ortholog_many2many,27.2206,26.0631,False,True,False,
Wban_00107,protein_coding,Dihydrouridine synthase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9FAB1],ENSG00000167264,DUS2,ortholog_one2one,33.3333,29.6146,False,True,True,"IPR018517_tRNA-dihydrouridine synthase, conserved site"
Wban_00108,protein_coding,,,,,0.0,,True,True,False,
Wban_00109,protein_coding,Leukotriene A-4 hydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ERW6],ENSG00000176393,RNPEP,ortholog_many2many,33.2773,30.4615,False,True,True,"IPR014782_Peptidase M1, membrane alanine aminopeptidase, IPR015211_Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal"
Wban_00110,protein_coding,Methyltransferase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ERG7],ENSG00000100483,VCPKMT,ortholog_one2one,31.2217,30.131,False,True,False,
Wban_00111,protein_coding,BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XY33],,,,0.0,,True,True,False,
Wban_00112,protein_coding,Neuroguidin  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FM03],ENSG00000129460,NGDN,ortholog_one2one,31.9489,31.746,False,True,False,
Wban_00113,protein_coding,,,,,0.0,,True,True,False,
Wban_00114,protein_coding,Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DIE9],ENSG00000187742,SECISBP2,ortholog_one2many,27.7512,6.79157,False,True,False,
Wban_00115,protein_coding,palmitoyl-protein hydrolase  [Source:UniProtKB/TrEMBL;Acc:J9EYK3],ENSG00000120992,LYPLA1,ortholog_one2one,38.8889,48.6957,False,True,True,IPR003140_Phospholipase/carboxylesterase/thioesterase
Wban_00116,protein_coding,Transmembrane 9 superfamily member  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ERJ8],ENSG00000101337,TM9SF4,ortholog_one2one,58.56,57.0093,False,False,False,
Wban_00117,protein_coding,TM2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XXQ6],,,,0.0,,True,True,False,
Wban_00118,protein_coding,,,,,0.0,,True,True,False,
Wban_00119,protein_coding,,,,,0.0,,True,True,False,
Wban_00120,protein_coding,,ENSG00000275074,NUDT18,ortholog_one2one,32.5359,21.0526,False,True,True,"IPR020084_NUDIX hydrolase, conserved site"
Wban_00121,protein_coding,G-protein coupled receptors family 2 profile 2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FRX4],ENSG00000111432,FZD10,ortholog_many2many,24.2991,22.3752,False,True,False,
Wban_00122,protein_coding,ELMO domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EMS2],ENSG00000155849,ELMO1,ortholog_many2many,24.6719,25.8597,False,True,False,
Wban_00123,protein_coding,,ENSG00000130766,SESN2,ortholog_one2many,30.8696,29.5833,False,True,False,
Wban_00124,protein_coding,SH3 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EP07],ENSG00000198087,CD2AP,ortholog_many2many,21.8894,14.867,False,True,False,
Wban_00125,protein_coding,PITH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DPM1],ENSG00000091164,TXNL1,ortholog_one2one,43.1095,42.2145,False,False,False,
Wban_00126,protein_coding,,,,,0.0,,True,True,False,
Wban_00127,protein_coding,GPI transamidase subunit PIG-U  [Source:UniProtKB/TrEMBL;Acc:J9EIZ0],ENSG00000101464,PIGU,ortholog_one2one,28.6747,27.3563,False,True,False,
Wban_00128,protein_coding,,ENSG00000012963,UBR7,ortholog_one2one,34.0102,31.5294,False,True,True,IPR040204_E3 ubiquitin-protein ligase UBR7
Wban_00129,protein_coding,Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DWI4],ENSG00000153786,ZDHHC7,ortholog_one2one,51.7986,46.7532,False,False,True,"IPR001594_Palmitoyltransferase, DHHC domain"
Wban_00130,protein_coding,Glycosylphosphatidylinositol anchor attachment 1 protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ES98],ENSG00000197858,GPAA1,ortholog_one2one,25.089,22.7053,False,True,False,
Wban_00131,protein_coding,EF-hand domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ESS6],,,,0.0,,True,True,False,
Wban_00132,protein_coding,,ENSG00000136819,C9orf78,ortholog_one2one,25.2632,24.9135,False,True,False,
Wban_00133,protein_coding,RRM domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XWU4],ENSG00000104177,MYEF2,ortholog_one2many,26.5385,23.0,False,True,False,
Wban_00134,protein_coding,Forkhead box protein B2  [Source:UniProtKB/TrEMBL;Acc:J9AWF9],ENSG00000214336,FOXI3,ortholog_many2many,22.7273,14.2857,False,True,False,
Wban_00135,protein_coding,DUF4440 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ETJ9],,,,0.0,,True,True,False,
Wban_00136,protein_coding,,,,,0.0,,True,True,False,
Wban_00137,protein_coding,,,,,0.0,,True,True,False,
Wban_00138,protein_coding,,ENSG00000165282,PIGO,ortholog_one2one,24.0161,21.8549,False,True,True,"IPR037675_GPI ethanolamine phosphate transferase 3, N-terminal, IPR039524_GPI ethanolamine phosphate transferase 3"
Wban_00139,protein_coding,,,,,0.0,,True,True,False,
Wban_00140,protein_coding,,,,,0.0,,True,True,False,
Wban_00141,protein_coding,,,,,0.0,,True,True,False,
Wban_00142,protein_coding,IRS-type PTB domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9EQB4],,,,0.0,,True,True,False,
Wban_00143,protein_coding,,ENSG00000087274,ADD1,ortholog_one2many,31.6422,29.6621,False,True,False,
Wban_00144,protein_coding,BLOC-1-related complex subunit 7  [Source:UniProtKB/TrEMBL;Acc:J9FF45],,,,0.0,,True,True,False,
Wban_00145,protein_coding,Other/ULK protein kinase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ELK7],ENSG00000163491,NEK10,ortholog_many2many,20.7602,6.36771,False,True,True,"IPR000719_Protein kinase domain, IPR008271_Serine/threonine-protein kinase, active site, IPR045269_Serine/threonine-protein kinase Atg1-like"
Wban_00146,protein_coding,,,,,0.0,,True,True,False,
Wban_00147,protein_coding,,,,,0.0,,True,True,False,
Wban_00148,protein_coding,,ENSG00000105675,ATP4A,ortholog_many2many,21.2174,23.5749,False,True,True,IPR001757_P-type ATPase
Wban_00149,protein_coding,CDP-alcohol phosphatidyltransferase  [Source:UniProtKB/TrEMBL;Acc:J9FGP2],ENSG00000134255,CEPT1,ortholog_one2many,31.7526,37.0192,False,True,True,IPR000462_CDP-alcohol phosphatidyltransferase
Wban_00150,protein_coding,CMGC/MAPK protein kinase  [Source:UniProtKB/TrEMBL;Acc:J9EA18],ENSG00000188130,MAPK12,ortholog_many2many,27.8689,32.4251,False,True,True,"IPR000719_Protein kinase domain, IPR008271_Serine/threonine-protein kinase, active site"
Wban_00151,protein_coding,Anion exchange protein  [Source:UniProtKB/TrEMBL;Acc:J9F9V9],ENSG00000144290,SLC4A10,ortholog_many2many,27.4345,26.2075,False,True,False,
Wban_00152,protein_coding,,,,,0.0,,True,True,False,
Wban_00153,protein_coding,Insulin-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EA82],,,,0.0,,True,True,False,
Wban_00154,protein_coding,,,,,0.0,,True,True,False,
Wban_00155,protein_coding,,,,,0.0,,True,True,False,
Wban_00156,protein_coding,Glycogen [starch] synthase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7E8E5],ENSG00000104812,GYS1,ortholog_many2many,53.1646,51.289,False,False,True,IPR008631_Glycogen synthase
Wban_00157,protein_coding,Bm8830  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EW27],,,,0.0,,True,True,False,
Wban_00158,protein_coding,receptor protein serine/threonine kinase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7ELF9],ENSG00000106799,TGFBR1,ortholog_many2many,26.4036,34.5924,False,True,True,"IPR000719_Protein kinase domain, IPR008271_Serine/threonine-protein kinase, active site, IPR000333_Ser/Thr protein kinase, TGFB receptor, IPR000472_Activin types I and II receptor domain, IPR003605_GS domain"
Wban_00159,protein_coding,Protein Wnt  [Source:UniProtKB/TrEMBL;Acc:A0A183XUF9],ENSG00000114251,WNT5A,ortholog_many2many,33.4286,30.7895,False,True,False,
Wban_00160,protein_coding,,,,,0.0,,True,True,False,
Wban_00161,protein_coding,Calponin-homology (CH) domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EW55],ENSG00000127603,MACF1,ortholog_many2many,9.78509,2.83256,False,True,False,
Wban_00162,protein_coding,S1 RNA-binding domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9F2M2],ENSG00000068784,SRBD1,ortholog_one2one,31.25,23.1156,False,True,False,
Wban_00163,protein_coding,,,,,0.0,,True,True,False,
Wban_00164,protein_coding,Dynactin subunit 1  [Source:UniProtKB/TrEMBL;Acc:J9EQ17],ENSG00000204843,DCTN1,ortholog_one2many,25.5353,25.1956,False,True,False,
Wban_00165,protein_coding,,,,,0.0,,True,True,False,
Wban_00166,protein_coding,,,,,0.0,,True,True,False,
Wban_00167,protein_coding,,,,,0.0,,True,True,False,
Wban_00168,protein_coding,,,,,0.0,,True,True,False,
Wban_00169,protein_coding,,,,,0.0,,True,True,False,
Wban_00170,protein_coding,Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ETG8],ENSG00000143171,RXRG,ortholog_many2many,21.8543,14.2549,False,True,False,
Wban_00171,protein_coding,Guanine nucleotide-binding protein alpha-12 subunit  [Source:UniProtKB/TrEMBL;Acc:A0A3P7ER26],ENSG00000146535,GNA12,ortholog_many2many,51.1111,48.294,False,False,True,"IPR001019_Guanine nucleotide binding protein (G-protein), alpha subunit, IPR000469_G-protein alpha subunit, group 12/13"
Wban_00172,protein_coding,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial  [Source:UniProtKB/TrEMBL;Acc:A0A3P7GI33]",ENSG00000163541,SUCLG1,ortholog_one2one,67.0769,63.0058,False,False,True,"IPR005811_ATP-citrate synthase/succinyl-CoA ligase, C-terminal domain, IPR005810_Succinyl-CoA ligase, alpha subunit"
Wban_00173,protein_coding,Metalloprotease TIKI homolog  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EWR6],ENSG00000269113,TRABD2B,ortholog_one2one,27.3616,16.2476,False,True,True,IPR040230_Protease TIKI1/2-like
Wban_00174,protein_coding,,,,,0.0,,True,True,False,
Wban_00175,protein_coding,G-protein coupled receptors family 1 profile domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FE71],,,,0.0,,True,True,False,
