Gene stable ID,Genome name,Transcript stable ID,Transcript biotype,Gene description,CDS_max
TTRE10099,Trichuris trichiura (PRJEB535),TTRE10099_t1,protein_coding,,744
TTRE101,Trichuris trichiura (PRJEB535),TTRE101_t2,protein_coding,palmitoyl-protein hydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A077YZG1],693
TTRE1010,Trichuris trichiura (PRJEB535),TTRE1010_t1,protein_coding,,1380
TTRE10100,Trichuris trichiura (PRJEB535),TTRE10100_t1,protein_coding,,966
TTRE10101,Trichuris trichiura (PRJEB535),TTRE10101_t1,protein_coding,,1269
TTRE10102,Trichuris trichiura (PRJEB535),TTRE10102_t1,protein_coding,,1866
TTRE10103,Trichuris trichiura (PRJEB535),TTRE10103_t1,protein_coding,,1770
TTRE10104,Trichuris trichiura (PRJEB535),TTRE10104_t1,protein_coding,,348
TTRE10105,Trichuris trichiura (PRJEB535),TTRE10105_t1,protein_coding,,216
TTRE10106,Trichuris trichiura (PRJEB535),TTRE10106_t1,protein_coding,,4533
TTRE10107,Trichuris trichiura (PRJEB535),TTRE10107_t1,protein_coding,,312
TTRE10108,Trichuris trichiura (PRJEB535),TTRE10108_t1,protein_coding,,471
TTRE10109,Trichuris trichiura (PRJEB535),TTRE10109_t1,protein_coding,,1650
TTRE1011,Trichuris trichiura (PRJEB535),TTRE1011_t1,protein_coding,,1293
TTRE10110,Trichuris trichiura (PRJEB535),TTRE10110_t1,protein_coding,,858
TTRE10111,Trichuris trichiura (PRJEB535),TTRE10111_t1,protein_coding,,495
TTRE10112,Trichuris trichiura (PRJEB535),TTRE10112_t1,protein_coding,,3036
TTRE10113,Trichuris trichiura (PRJEB535),TTRE10113_t1,protein_coding,,597
TTRE10114,Trichuris trichiura (PRJEB535),TTRE10114_t1,protein_coding,,450
TTRE10115,Trichuris trichiura (PRJEB535),TTRE10115_t1,protein_coding,,531
TTRE10116,Trichuris trichiura (PRJEB535),TTRE10116_t2,protein_coding,,228
TTRE10117,Trichuris trichiura (PRJEB535),TTRE10117_t1,protein_coding,WD40 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z232],1035
TTRE10118,Trichuris trichiura (PRJEB535),TTRE10118_t1,protein_coding,"Succinate dehydrogenase assembly factor 2, mitoch ondrial  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5J8]",381
TTRE10119,Trichuris trichiura (PRJEB535),TTRE10119_t1,protein_coding,,996
TTRE1012,Trichuris trichiura (PRJEB535),TTRE1012_t1,protein_coding,,2037
TTRE10120,Trichuris trichiura (PRJEB535),TTRE10120_t1,protein_coding,,2667
TTRE10121,Trichuris trichiura (PRJEB535),TTRE10121_t1,protein_coding,,1110
TTRE10122,Trichuris trichiura (PRJEB535),TTRE10122_t1,protein_coding,,957
TTRE10123,Trichuris trichiura (PRJEB535),TTRE10123_t1,protein_coding,,4008
TTRE10124,Trichuris trichiura (PRJEB535),TTRE10124_t1,protein_coding,,783
TTRE10125,Trichuris trichiura (PRJEB535),TTRE10125_t1,protein_coding,,327
TTRE10126,Trichuris trichiura (PRJEB535),TTRE10126_t1,protein_coding,,3732
TTRE10127,Trichuris trichiura (PRJEB535),TTRE10127_t1,protein_coding,,1005
TTRE10128,Trichuris trichiura (PRJEB535),TTRE10128_t1,protein_coding,,615
TTRE10129,Trichuris trichiura (PRJEB535),TTRE10129_t1,protein_coding,,1260
TTRE1013,Trichuris trichiura (PRJEB535),TTRE1013_t1,protein_coding,,1527
TTRE10130,Trichuris trichiura (PRJEB535),TTRE10130_t1,protein_coding,,450
TTRE10131,Trichuris trichiura (PRJEB535),TTRE10131_t1,protein_coding,,663
TTRE10132,Trichuris trichiura (PRJEB535),TTRE10132_t1,protein_coding,,243
TTRE10133,Trichuris trichiura (PRJEB535),TTRE10133_t1,protein_coding,,303
TTRE10134,Trichuris trichiura (PRJEB535),TTRE10134_t1,protein_coding,,1146
TTRE10135,Trichuris trichiura (PRJEB535),TTRE10135_t1,protein_coding,,516
TTRE10136,Trichuris trichiura (PRJEB535),TTRE10136_t1,protein_coding,,702
TTRE10137,Trichuris trichiura (PRJEB535),TTRE10137_t1,protein_coding,,735
TTRE10138,Trichuris trichiura (PRJEB535),TTRE10138_t1,protein_coding,,681
TTRE10139,Trichuris trichiura (PRJEB535),TTRE10139_t1,protein_coding,,892
TTRE1014,Trichuris trichiura (PRJEB535),TTRE1014_t1,protein_coding,Neurogenic locus notch protein 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z257],5343
TTRE10140,Trichuris trichiura (PRJEB535),TTRE10140_t1,protein_coding,,612
TTRE10141,Trichuris trichiura (PRJEB535),TTRE10141_t1,protein_coding,,666
TTRE10142,Trichuris trichiura (PRJEB535),TTRE10142_t1,protein_coding,,1662
TTRE10143,Trichuris trichiura (PRJEB535),TTRE10143_t1,protein_coding,,282
TTRE10144,Trichuris trichiura (PRJEB535),TTRE10144_t1,protein_coding,,216
TTRE10145,Trichuris trichiura (PRJEB535),TTRE10145_t1,protein_coding,,519
TTRE10146,Trichuris trichiura (PRJEB535),TTRE10146_t1,protein_coding,Ataxin-10  [Source:UniProtKB/TrEMBL;Acc:A0A077ZP89],1152
TTRE10147,Trichuris trichiura (PRJEB535),TTRE10147_t1,protein_coding,,1032
TTRE10148,Trichuris trichiura (PRJEB535),TTRE10148_t1,protein_coding,,1236
TTRE10149,Trichuris trichiura (PRJEB535),TTRE10149_t1,protein_coding,,495
TTRE1015,Trichuris trichiura (PRJEB535),TTRE1015_t1,protein_coding,,1077
TTRE10150,Trichuris trichiura (PRJEB535),TTRE10150_t1,protein_coding,,1245
TTRE10151,Trichuris trichiura (PRJEB535),TTRE10151_t1,protein_coding,RRM 1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z075],405
TTRE10152,Trichuris trichiura (PRJEB535),TTRE10152_t1,protein_coding,"Splicing factor, arginine:serine rich 6  [Source:UniProtKB/TrEMBL;Acc:A0A077YZC0]",321
TTRE10153,Trichuris trichiura (PRJEB535),TTRE10153_t1,protein_coding,,204
TTRE10154,Trichuris trichiura (PRJEB535),TTRE10154_t1,protein_coding,,222
TTRE10155,Trichuris trichiura (PRJEB535),TTRE10155_t1,protein_coding,,354
TTRE10156,Trichuris trichiura (PRJEB535),TTRE10156_t1,protein_coding,,1761
TTRE10157,Trichuris trichiura (PRJEB535),TTRE10157_t1,protein_coding,,1191
TTRE10158,Trichuris trichiura (PRJEB535),TTRE10158_t1,protein_coding,,1191
TTRE10159,Trichuris trichiura (PRJEB535),TTRE10159_t1,protein_coding,,1650
TTRE1016,Trichuris trichiura (PRJEB535),TTRE1016_t1,protein_coding,,1311
TTRE10160,Trichuris trichiura (PRJEB535),TTRE10160_t1,protein_coding,Proline-rich protein 2-like  [Source:UniProtKB/TrEMBL;Acc:A0A077ZPS0],1215
TTRE10161,Trichuris trichiura (PRJEB535),TTRE10161_t1,protein_coding,GPR1:FUN34:yaaH family protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZD64],774
TTRE10162,Trichuris trichiura (PRJEB535),TTRE10162_t1,protein_coding,,1005
TTRE10163,Trichuris trichiura (PRJEB535),TTRE10163_t1,protein_coding,ENT domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCB9],2370
TTRE10164,Trichuris trichiura (PRJEB535),TTRE10164_t1,protein_coding,LSM domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZP00],240
TTRE10165,Trichuris trichiura (PRJEB535),TTRE10165_t1,protein_coding,,396
TTRE10166,Trichuris trichiura (PRJEB535),TTRE10166_t1,protein_coding,,408
TTRE10167,Trichuris trichiura (PRJEB535),TTRE10167_t1,protein_coding,,609
TTRE10168,Trichuris trichiura (PRJEB535),TTRE10168_t1,protein_coding,,4425
TTRE10169,Trichuris trichiura (PRJEB535),TTRE10169_t1,protein_coding,,1512
TTRE1017,Trichuris trichiura (PRJEB535),TTRE1017_t1,protein_coding,,990
TTRE10170,Trichuris trichiura (PRJEB535),TTRE10170_t1,protein_coding,,678
TTRE10171,Trichuris trichiura (PRJEB535),TTRE10171_t1,protein_coding,,975
TTRE10172,Trichuris trichiura (PRJEB535),TTRE10172_t1,protein_coding,,3987
TTRE10173,Trichuris trichiura (PRJEB535),TTRE10173_t1,protein_coding,,219
TTRE10174,Trichuris trichiura (PRJEB535),TTRE10174_t1,protein_coding,,348
TTRE10175,Trichuris trichiura (PRJEB535),TTRE10175_t1,protein_coding,,459
TTRE10176,Trichuris trichiura (PRJEB535),TTRE10176_t1,protein_coding,,279
TTRE10177,Trichuris trichiura (PRJEB535),TTRE10177_t1,protein_coding,,285
TTRE10178,Trichuris trichiura (PRJEB535),TTRE10178_t1,protein_coding,,510
TTRE10179,Trichuris trichiura (PRJEB535),TTRE10179_t1,protein_coding,,219
TTRE1018,Trichuris trichiura (PRJEB535),TTRE1018_t1,protein_coding,,5661
TTRE10180,Trichuris trichiura (PRJEB535),TTRE10180_t1,protein_coding,,282
TTRE10181,Trichuris trichiura (PRJEB535),TTRE10181_t1,protein_coding,,558
TTRE10182,Trichuris trichiura (PRJEB535),TTRE10182_t1,protein_coding,,279
TTRE10183,Trichuris trichiura (PRJEB535),TTRE10183_t1,protein_coding,,300
TTRE10184,Trichuris trichiura (PRJEB535),TTRE10184_t1,protein_coding,,219
TTRE10185,Trichuris trichiura (PRJEB535),TTRE10185_t1,protein_coding,,246
TTRE10186,Trichuris trichiura (PRJEB535),TTRE10186_t1,protein_coding,,309
TTRE10187,Trichuris trichiura (PRJEB535),TTRE10187_t1,protein_coding,,2886
TTRE10189,Trichuris trichiura (PRJEB535),TTRE10189_t1,protein_coding,,435
TTRE1019,Trichuris trichiura (PRJEB535),TTRE1019_t1,protein_coding,,2157
TTRE10190,Trichuris trichiura (PRJEB535),TTRE10190_t1,protein_coding,,882
TTRE10191,Trichuris trichiura (PRJEB535),TTRE10191_t1,protein_coding,,4254
TTRE10192,Trichuris trichiura (PRJEB535),TTRE10192_t1,protein_coding,,1926
TTRE10193,Trichuris trichiura (PRJEB535),TTRE10193_t1,protein_coding,,693
TTRE10194,Trichuris trichiura (PRJEB535),TTRE10194_t1,protein_coding,,1368
TTRE10195,Trichuris trichiura (PRJEB535),TTRE10195_t1,protein_coding,,651
TTRE10196,Trichuris trichiura (PRJEB535),TTRE10196_t1,protein_coding,,483
TTRE10197,Trichuris trichiura (PRJEB535),TTRE10197_t1,protein_coding,,651
TTRE10198,Trichuris trichiura (PRJEB535),TTRE10198_t1,protein_coding,,765
TTRE10199,Trichuris trichiura (PRJEB535),TTRE10199_t1,protein_coding,,303
TTRE102,Trichuris trichiura (PRJEB535),TTRE102_t1,protein_coding,Carbonic anhydrase  [Source:UniProtKB/TrEMBL;Acc:A0A077YWY0],792
TTRE1020,Trichuris trichiura (PRJEB535),TTRE1020_t1,protein_coding,Serine:threonine protein kinase Chk1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z532],1479
TTRE10200,Trichuris trichiura (PRJEB535),TTRE10200_t1,protein_coding,,1830
TTRE10201,Trichuris trichiura (PRJEB535),TTRE10201_t1,protein_coding,,264
TTRE10202,Trichuris trichiura (PRJEB535),TTRE10202_t1,protein_coding,,1113
TTRE10203,Trichuris trichiura (PRJEB535),TTRE10203_t1,protein_coding,,240
TTRE10204,Trichuris trichiura (PRJEB535),TTRE10204_t1,protein_coding,,1779
TTRE10205,Trichuris trichiura (PRJEB535),TTRE10205_t1,protein_coding,,945
TTRE10206,Trichuris trichiura (PRJEB535),TTRE10206_t1,protein_coding,,756
TTRE10207,Trichuris trichiura (PRJEB535),TTRE10207_t1,protein_coding,,3933
TTRE10208,Trichuris trichiura (PRJEB535),TTRE10208_t1,protein_coding,,1821
TTRE10209,Trichuris trichiura (PRJEB535),TTRE10209_t1,protein_coding,,924
TTRE1021,Trichuris trichiura (PRJEB535),TTRE1021_t2,protein_coding,CAP domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8Z8],1074
TTRE10210,Trichuris trichiura (PRJEB535),TTRE10210_t1,protein_coding,,1566
TTRE10211,Trichuris trichiura (PRJEB535),TTRE10211_t1,protein_coding,,2115
TTRE10212,Trichuris trichiura (PRJEB535),TTRE10212_t1,protein_coding,,948
TTRE10213,Trichuris trichiura (PRJEB535),TTRE10213_t1,protein_coding,,642
TTRE10214,Trichuris trichiura (PRJEB535),TTRE10214_t1,protein_coding,,1593
TTRE10215,Trichuris trichiura (PRJEB535),TTRE10215_t1,protein_coding,,1038
TTRE10216,Trichuris trichiura (PRJEB535),TTRE10216_t1,protein_coding,,4167
TTRE10217,Trichuris trichiura (PRJEB535),TTRE10217_t1,protein_coding,,321
TTRE10218,Trichuris trichiura (PRJEB535),TTRE10218_t1,protein_coding,,459
TTRE10219,Trichuris trichiura (PRJEB535),TTRE10219_t1,protein_coding,,1149
TTRE1022,Trichuris trichiura (PRJEB535),TTRE1022_t1,protein_coding,Cytochrome c oxidase assembly protein COX15  [Source:UniProtKB/TrEMBL;Acc:A0A077Z080],1194
TTRE10220,Trichuris trichiura (PRJEB535),TTRE10220_t1,protein_coding,,261
TTRE10221,Trichuris trichiura (PRJEB535),TTRE10221_t1,protein_coding,,2295
TTRE10222,Trichuris trichiura (PRJEB535),TTRE10222_t1,protein_coding,,450
TTRE10223,Trichuris trichiura (PRJEB535),TTRE10223_t1,protein_coding,,243
TTRE10224,Trichuris trichiura (PRJEB535),TTRE10224_t1,protein_coding,,1152
TTRE10225,Trichuris trichiura (PRJEB535),TTRE10225_t1,protein_coding,,294
TTRE10226,Trichuris trichiura (PRJEB535),TTRE10226_t1,protein_coding,,300
TTRE10227,Trichuris trichiura (PRJEB535),TTRE10227_t1,protein_coding,,384
TTRE10228,Trichuris trichiura (PRJEB535),TTRE10228_t1,protein_coding,,429
TTRE10229,Trichuris trichiura (PRJEB535),TTRE10229_t1,protein_coding,,525
TTRE1023,Trichuris trichiura (PRJEB535),TTRE1023_t1,protein_coding,MIF4G domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDG0],1251
TTRE10230,Trichuris trichiura (PRJEB535),TTRE10230_t1,protein_coding,,459
TTRE10231,Trichuris trichiura (PRJEB535),TTRE10231_t1,protein_coding,,306
TTRE10232,Trichuris trichiura (PRJEB535),TTRE10232_t1,protein_coding,,570
TTRE10233,Trichuris trichiura (PRJEB535),TTRE10233_t1,protein_coding,,288
TTRE10234,Trichuris trichiura (PRJEB535),TTRE10234_t1,protein_coding,,459
TTRE10235,Trichuris trichiura (PRJEB535),TTRE10235_t1,protein_coding,,414
TTRE10236,Trichuris trichiura (PRJEB535),TTRE10236_t1,protein_coding,,2880
TTRE10237,Trichuris trichiura (PRJEB535),TTRE10237_t1,protein_coding,,690
TTRE10238,Trichuris trichiura (PRJEB535),TTRE10238_t1,protein_coding,,918
TTRE10239,Trichuris trichiura (PRJEB535),TTRE10239_t1,protein_coding,,1614
TTRE1024,Trichuris trichiura (PRJEB535),TTRE1024_t2,protein_coding,MSC domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z668],1671
TTRE10240,Trichuris trichiura (PRJEB535),TTRE10240_t1,protein_coding,,1077
TTRE10241,Trichuris trichiura (PRJEB535),TTRE10241_t1,protein_coding,,732
