Gene stable ID	is_gpcr	is_gpcr_evidence
TTRE10054	False	Encodes protein that lacks InterPro GPCR domains
TTRE10055	False	Encodes protein that lacks InterPro GPCR domains
TTRE10056	False	Encodes protein that lacks InterPro GPCR domains
TTRE10057	False	Encodes protein that lacks InterPro GPCR domains
TTRE10058	False	Encodes protein that lacks InterPro GPCR domains
TTRE10059	False	Encodes protein that lacks InterPro GPCR domains
TTRE1006	False	Encodes protein that lacks InterPro GPCR domains
TTRE10060	False	Encodes protein that lacks InterPro GPCR domains
TTRE10061	False	Encodes protein that lacks InterPro GPCR domains
TTRE10062	False	Encodes protein that lacks InterPro GPCR domains
TTRE10063	False	Encodes protein that lacks InterPro GPCR domains
TTRE10064	False	Encodes protein that lacks InterPro GPCR domains
TTRE10065	False	Encodes protein that lacks InterPro GPCR domains
TTRE10066	False	Encodes protein that lacks InterPro GPCR domains
TTRE10067	False	Encodes protein that lacks InterPro GPCR domains
TTRE10068	False	Encodes protein that lacks InterPro GPCR domains
TTRE10069	False	Encodes protein that lacks InterPro GPCR domains
TTRE1007	False	Encodes protein that lacks InterPro GPCR domains
TTRE10070	False	Encodes protein that lacks InterPro GPCR domains
TTRE10071	False	Encodes protein that lacks InterPro GPCR domains
TTRE10072	False	Encodes protein that lacks InterPro GPCR domains
TTRE10073	False	Encodes protein that lacks InterPro GPCR domains
TTRE10074	False	Encodes protein that lacks InterPro GPCR domains
TTRE10075	False	Encodes protein that lacks InterPro GPCR domains
TTRE10076	False	Encodes protein that lacks InterPro GPCR domains
TTRE10077	False	Encodes protein that lacks InterPro GPCR domains
TTRE10078	False	Encodes protein that lacks InterPro GPCR domains
TTRE10079	False	Encodes protein that lacks InterPro GPCR domains
TTRE1008	True	Encodes protein with InterPro domain(s): IPR017452 - GPCR, rhodopsin-like, 7TM; IPR019424 - Serpentine type 7TM GPCR chemoreceptor Srsx
TTRE10080	False	Encodes protein that lacks InterPro GPCR domains
TTRE10081	False	Encodes protein that lacks InterPro GPCR domains
TTRE10082	False	Encodes protein that lacks InterPro GPCR domains
TTRE10083	False	Encodes protein that lacks InterPro GPCR domains
TTRE10084	False	Encodes protein that lacks InterPro GPCR domains
TTRE10085	False	Encodes protein that lacks InterPro GPCR domains
TTRE10086	False	Encodes protein that lacks InterPro GPCR domains
TTRE10087	False	Encodes protein that lacks InterPro GPCR domains
TTRE10088	False	Encodes protein that lacks InterPro GPCR domains
TTRE10089	False	Encodes protein that lacks InterPro GPCR domains
TTRE1009	False	Encodes protein that lacks InterPro GPCR domains
TTRE10090	False	Encodes protein that lacks InterPro GPCR domains
TTRE10091	False	Encodes protein that lacks InterPro GPCR domains
TTRE10092	False	Encodes protein that lacks InterPro GPCR domains
TTRE10093	False	Encodes protein that lacks InterPro GPCR domains
TTRE10094	False	Encodes protein that lacks InterPro GPCR domains
TTRE10095	False	Encodes protein that lacks InterPro GPCR domains
TTRE10096	False	Encodes protein that lacks InterPro GPCR domains
TTRE10097	False	Encodes protein that lacks InterPro GPCR domains
TTRE10098	False	Encodes protein that lacks InterPro GPCR domains
TTRE10099	False	Encodes protein that lacks InterPro GPCR domains
TTRE101	False	Encodes protein that lacks InterPro GPCR domains
TTRE1010	False	Encodes protein that lacks InterPro GPCR domains
TTRE10100	False	Encodes protein that lacks InterPro GPCR domains
TTRE10101	False	Encodes protein that lacks InterPro GPCR domains
TTRE10102	False	Encodes protein that lacks InterPro GPCR domains
TTRE10103	False	Encodes protein that lacks InterPro GPCR domains
TTRE10104	False	Encodes protein that lacks InterPro GPCR domains
TTRE10105	False	Encodes protein that lacks InterPro GPCR domains
TTRE10106	False	Encodes protein that lacks InterPro GPCR domains
TTRE10107	False	Encodes protein that lacks InterPro GPCR domains
TTRE10108	False	Encodes protein that lacks InterPro GPCR domains
TTRE10109	False	Encodes protein that lacks InterPro GPCR domains
TTRE1011	False	Encodes protein that lacks InterPro GPCR domains
TTRE10110	False	Encodes protein that lacks InterPro GPCR domains
TTRE10111	False	Encodes protein that lacks InterPro GPCR domains
TTRE10112	False	Encodes protein that lacks InterPro GPCR domains
TTRE10113	False	Encodes protein that lacks InterPro GPCR domains
TTRE10114	False	Encodes protein that lacks InterPro GPCR domains
TTRE10115	False	Encodes protein that lacks InterPro GPCR domains
TTRE10116	False	Encodes protein that lacks InterPro GPCR domains
TTRE10117	False	Encodes protein that lacks InterPro GPCR domains
TTRE10118	False	Encodes protein that lacks InterPro GPCR domains
TTRE10119	False	Encodes protein that lacks InterPro GPCR domains
TTRE1012	False	Encodes protein that lacks InterPro GPCR domains
TTRE10120	False	Encodes protein that lacks InterPro GPCR domains
TTRE10121	False	Encodes protein that lacks InterPro GPCR domains
TTRE10122	False	Encodes protein that lacks InterPro GPCR domains
TTRE10123	False	Encodes protein that lacks InterPro GPCR domains
TTRE10124	False	Encodes protein that lacks InterPro GPCR domains
TTRE10125	False	Encodes protein that lacks InterPro GPCR domains
TTRE10126	False	Encodes protein that lacks InterPro GPCR domains
TTRE10127	False	Encodes protein that lacks InterPro GPCR domains
TTRE10128	False	Encodes protein that lacks InterPro GPCR domains
TTRE10129	False	Encodes protein that lacks InterPro GPCR domains
TTRE1013	False	Encodes protein that lacks InterPro GPCR domains
TTRE10130	False	Encodes protein that lacks InterPro GPCR domains
TTRE10131	False	Encodes protein that lacks InterPro GPCR domains
TTRE10132	False	Encodes protein that lacks InterPro GPCR domains
TTRE10133	False	Encodes protein that lacks InterPro GPCR domains
TTRE10134	False	Encodes protein that lacks InterPro GPCR domains
TTRE10135	False	Encodes protein that lacks InterPro GPCR domains
TTRE10136	False	Encodes protein that lacks InterPro GPCR domains
TTRE10137	False	Encodes protein that lacks InterPro GPCR domains
TTRE10138	False	Encodes protein that lacks InterPro GPCR domains
TTRE10139	False	Encodes protein that lacks InterPro GPCR domains
TTRE1014	False	Encodes protein that lacks InterPro GPCR domains
TTRE10140	False	Encodes protein that lacks InterPro GPCR domains
TTRE10141	False	Encodes protein that lacks InterPro GPCR domains
TTRE10142	False	Encodes protein that lacks InterPro GPCR domains
TTRE10143	False	Encodes protein that lacks InterPro GPCR domains
TTRE10144	False	Encodes protein that lacks InterPro GPCR domains
TTRE10145	False	Encodes protein that lacks InterPro GPCR domains
TTRE10146	False	Encodes protein that lacks InterPro GPCR domains
TTRE10147	False	Encodes protein that lacks InterPro GPCR domains
TTRE10148	False	Encodes protein that lacks InterPro GPCR domains
TTRE10149	False	Encodes protein that lacks InterPro GPCR domains
TTRE1015	False	Encodes protein that lacks InterPro GPCR domains
TTRE10150	False	Encodes protein that lacks InterPro GPCR domains
TTRE10151	False	Encodes protein that lacks InterPro GPCR domains
TTRE10152	False	Encodes protein that lacks InterPro GPCR domains
TTRE10153	False	Encodes protein that lacks InterPro GPCR domains
TTRE10154	False	Encodes protein that lacks InterPro GPCR domains
TTRE10155	False	Encodes protein that lacks InterPro GPCR domains
TTRE10156	False	Encodes protein that lacks InterPro GPCR domains
TTRE10157	False	Encodes protein that lacks InterPro GPCR domains
TTRE10158	False	Encodes protein that lacks InterPro GPCR domains
TTRE10159	False	Encodes protein that lacks InterPro GPCR domains
TTRE1016	False	Encodes protein that lacks InterPro GPCR domains
TTRE10160	False	Encodes protein that lacks InterPro GPCR domains
TTRE10161	False	Encodes protein that lacks InterPro GPCR domains
TTRE10162	False	Encodes protein that lacks InterPro GPCR domains
TTRE10163	False	Encodes protein that lacks InterPro GPCR domains
TTRE10164	False	Encodes protein that lacks InterPro GPCR domains
TTRE10165	False	Encodes protein that lacks InterPro GPCR domains
TTRE10166	False	Encodes protein that lacks InterPro GPCR domains
TTRE10167	False	Encodes protein that lacks InterPro GPCR domains
TTRE10168	False	Encodes protein that lacks InterPro GPCR domains
TTRE10169	False	Encodes protein that lacks InterPro GPCR domains
TTRE1017	False	Encodes protein that lacks InterPro GPCR domains
TTRE10170	False	Encodes protein that lacks InterPro GPCR domains
TTRE10171	True	Encodes protein with InterPro domain(s): IPR017452 - GPCR, rhodopsin-like, 7TM; IPR019427 - 7TM GPCR, serpentine receptor class w (Srw)
TTRE10172	False	Encodes protein that lacks InterPro GPCR domains
TTRE10173	False	Encodes protein that lacks InterPro GPCR domains
TTRE10174	False	Encodes protein that lacks InterPro GPCR domains
TTRE10175	False	Encodes protein that lacks InterPro GPCR domains
TTRE10176	False	Encodes protein that lacks InterPro GPCR domains
TTRE10177	False	Encodes protein that lacks InterPro GPCR domains
TTRE10178	False	Encodes protein that lacks InterPro GPCR domains
TTRE10179	False	Encodes protein that lacks InterPro GPCR domains
TTRE1018	False	Encodes protein that lacks InterPro GPCR domains
TTRE10180	False	Encodes protein that lacks InterPro GPCR domains
TTRE10181	False	Encodes protein that lacks InterPro GPCR domains
TTRE10182	False	Encodes protein that lacks InterPro GPCR domains
TTRE10183	False	Encodes protein that lacks InterPro GPCR domains
TTRE10184	False	Encodes protein that lacks InterPro GPCR domains
TTRE10185	False	Encodes protein that lacks InterPro GPCR domains
TTRE10186	False	Encodes protein that lacks InterPro GPCR domains
TTRE10187	False	Encodes protein that lacks InterPro GPCR domains
TTRE10189	False	Encodes protein that lacks InterPro GPCR domains
TTRE1019	False	Encodes protein that lacks InterPro GPCR domains
TTRE10190	False	Encodes protein that lacks InterPro GPCR domains
TTRE10191	False	Encodes protein that lacks InterPro GPCR domains
TTRE10192	False	Encodes protein that lacks InterPro GPCR domains
TTRE10193	False	Encodes protein that lacks InterPro GPCR domains
TTRE10194	False	Encodes protein that lacks InterPro GPCR domains
TTRE10195	False	Encodes protein that lacks InterPro GPCR domains
TTRE10196	False	Encodes protein that lacks InterPro GPCR domains
TTRE10197	False	Encodes protein that lacks InterPro GPCR domains
TTRE10198	False	Encodes protein that lacks InterPro GPCR domains
TTRE10199	False	Encodes protein that lacks InterPro GPCR domains
TTRE102	False	Encodes protein that lacks InterPro GPCR domains
TTRE1020	False	Encodes protein that lacks InterPro GPCR domains
TTRE10200	False	Encodes protein that lacks InterPro GPCR domains
TTRE10201	False	Encodes protein that lacks InterPro GPCR domains
TTRE10202	False	Encodes protein that lacks InterPro GPCR domains
TTRE10203	False	Encodes protein that lacks InterPro GPCR domains
TTRE10204	False	Encodes protein that lacks InterPro GPCR domains
TTRE10205	False	Encodes protein that lacks InterPro GPCR domains
TTRE10206	False	Encodes protein that lacks InterPro GPCR domains
TTRE10207	False	Encodes protein that lacks InterPro GPCR domains
TTRE10208	False	Encodes protein that lacks InterPro GPCR domains
TTRE10209	False	Encodes protein that lacks InterPro GPCR domains
TTRE1021	False	Encodes protein that lacks InterPro GPCR domains
TTRE10210	False	Encodes protein that lacks InterPro GPCR domains
TTRE10211	False	Encodes protein that lacks InterPro GPCR domains
TTRE10212	False	Encodes protein that lacks InterPro GPCR domains
TTRE10213	False	Encodes protein that lacks InterPro GPCR domains
TTRE10214	False	Encodes protein that lacks InterPro GPCR domains
TTRE10215	False	Encodes protein that lacks InterPro GPCR domains
TTRE10216	False	Encodes protein that lacks InterPro GPCR domains
TTRE10217	False	Encodes protein that lacks InterPro GPCR domains
TTRE10218	False	Encodes protein that lacks InterPro GPCR domains
TTRE10219	False	Encodes protein that lacks InterPro GPCR domains
TTRE1022	False	Encodes protein that lacks InterPro GPCR domains
TTRE10220	False	Encodes protein that lacks InterPro GPCR domains
TTRE10221	False	Encodes protein that lacks InterPro GPCR domains
TTRE10222	False	Encodes protein that lacks InterPro GPCR domains
TTRE10223	False	Encodes protein that lacks InterPro GPCR domains
TTRE10224	False	Encodes protein that lacks InterPro GPCR domains
TTRE10225	False	Encodes protein that lacks InterPro GPCR domains
TTRE10226	False	Encodes protein that lacks InterPro GPCR domains
TTRE10227	False	Encodes protein that lacks InterPro GPCR domains
TTRE10228	False	Encodes protein that lacks InterPro GPCR domains
TTRE10229	False	Encodes protein that lacks InterPro GPCR domains
TTRE1023	False	Encodes protein that lacks InterPro GPCR domains
TTRE10230	False	Encodes protein that lacks InterPro GPCR domains
TTRE10231	False	Encodes protein that lacks InterPro GPCR domains
TTRE10232	False	Encodes protein that lacks InterPro GPCR domains
TTRE10233	False	Encodes protein that lacks InterPro GPCR domains
TTRE10234	False	Encodes protein that lacks InterPro GPCR domains
TTRE10235	False	Encodes protein that lacks InterPro GPCR domains
TTRE10236	False	Encodes protein that lacks InterPro GPCR domains
TTRE10237	False	Encodes protein that lacks InterPro GPCR domains
TTRE10238	False	Encodes protein that lacks InterPro GPCR domains
TTRE10239	False	Encodes protein that lacks InterPro GPCR domains
TTRE1024	False	Encodes protein that lacks InterPro GPCR domains
TTRE10240	False	Encodes protein that lacks InterPro GPCR domains
TTRE10241	False	Encodes protein that lacks InterPro GPCR domains
TTRE10242	False	Encodes protein that lacks InterPro GPCR domains
TTRE10243	False	Encodes protein that lacks InterPro GPCR domains
TTRE10244	False	Encodes protein that lacks InterPro GPCR domains
TTRE10245	False	Encodes protein that lacks InterPro GPCR domains
TTRE10246	False	Encodes protein that lacks InterPro GPCR domains
TTRE10247	False	Encodes protein that lacks InterPro GPCR domains
TTRE10248	False	Encodes protein that lacks InterPro GPCR domains
TTRE10249	False	Encodes protein that lacks InterPro GPCR domains
TTRE1025	False	Encodes protein that lacks InterPro GPCR domains
TTRE10250	False	Encodes protein that lacks InterPro GPCR domains
TTRE10251	False	Encodes protein that lacks InterPro GPCR domains
TTRE10252	False	Encodes protein that lacks InterPro GPCR domains
TTRE10253	False	Encodes protein that lacks InterPro GPCR domains
TTRE10254	False	Encodes protein that lacks InterPro GPCR domains
TTRE10255	False	Encodes protein that lacks InterPro GPCR domains
TTRE10256	False	Encodes protein that lacks InterPro GPCR domains
TTRE10257	False	Encodes protein that lacks InterPro GPCR domains
TTRE10258	False	Encodes protein that lacks InterPro GPCR domains
TTRE10259	False	Encodes protein that lacks InterPro GPCR domains
TTRE1026	False	Encodes protein that lacks InterPro GPCR domains
TTRE10260	False	Encodes protein that lacks InterPro GPCR domains
TTRE10261	False	Encodes protein that lacks InterPro GPCR domains
TTRE10262	False	Encodes protein that lacks InterPro GPCR domains
TTRE10263	False	Encodes protein that lacks InterPro GPCR domains
TTRE10264	False	Encodes protein that lacks InterPro GPCR domains
TTRE10265	False	Encodes protein that lacks InterPro GPCR domains
TTRE10266	False	Encodes protein that lacks InterPro GPCR domains
TTRE10267	False	Encodes protein that lacks InterPro GPCR domains
TTRE10268	False	Encodes protein that lacks InterPro GPCR domains
TTRE10269	False	Encodes protein that lacks InterPro GPCR domains
TTRE1027	False	Encodes protein that lacks InterPro GPCR domains
TTRE10270	False	Encodes protein that lacks InterPro GPCR domains
TTRE10271	False	Encodes protein that lacks InterPro GPCR domains
TTRE10272	False	Encodes protein that lacks InterPro GPCR domains
TTRE10273	False	Encodes protein that lacks InterPro GPCR domains
TTRE10274	False	Encodes protein that lacks InterPro GPCR domains
TTRE10275	False	Encodes protein that lacks InterPro GPCR domains
TTRE10276	False	Encodes protein that lacks InterPro GPCR domains
TTRE10277	False	Encodes protein that lacks InterPro GPCR domains
TTRE10278	False	Encodes protein that lacks InterPro GPCR domains
TTRE10279	False	Encodes protein that lacks InterPro GPCR domains
TTRE1028	False	Encodes protein that lacks InterPro GPCR domains
TTRE10280	False	Encodes protein that lacks InterPro GPCR domains
TTRE10281	False	Encodes protein that lacks InterPro GPCR domains
TTRE10282	False	Encodes protein that lacks InterPro GPCR domains
TTRE10283	False	Encodes protein that lacks InterPro GPCR domains
TTRE10284	False	Encodes protein that lacks InterPro GPCR domains
TTRE10285	False	Encodes protein that lacks InterPro GPCR domains
TTRE10286	False	Encodes protein that lacks InterPro GPCR domains
TTRE10287	False	Encodes protein that lacks InterPro GPCR domains
TTRE10288	False	Encodes protein that lacks InterPro GPCR domains
TTRE10289	False	Encodes protein that lacks InterPro GPCR domains
TTRE1029	False	Encodes protein that lacks InterPro GPCR domains
TTRE10290	False	Encodes protein that lacks InterPro GPCR domains
TTRE10291	False	Encodes protein that lacks InterPro GPCR domains
TTRE10292	False	Encodes protein that lacks InterPro GPCR domains
TTRE10293	False	Encodes protein that lacks InterPro GPCR domains
TTRE10294	False	Encodes protein that lacks InterPro GPCR domains
TTRE10295	False	Encodes protein that lacks InterPro GPCR domains
TTRE10296	False	Encodes protein that lacks InterPro GPCR domains
TTRE10297	False	Encodes protein that lacks InterPro GPCR domains
TTRE10298	False	Encodes protein that lacks InterPro GPCR domains
TTRE10299	False	Encodes protein that lacks InterPro GPCR domains
TTRE103	False	Encodes protein that lacks InterPro GPCR domains
TTRE1030	False	Encodes protein that lacks InterPro GPCR domains
TTRE10300	True	Encodes protein with InterPro domain(s): IPR017452 - GPCR, rhodopsin-like, 7TM; IPR019427 - 7TM GPCR, serpentine receptor class w (Srw)
TTRE10301	False	Encodes protein that lacks InterPro GPCR domains
TTRE10302	False	Encodes protein that lacks InterPro GPCR domains
TTRE10303	False	Encodes protein that lacks InterPro GPCR domains
TTRE10304	False	Encodes protein that lacks InterPro GPCR domains
TTRE10305	False	Encodes protein that lacks InterPro GPCR domains
TTRE10306	False	Encodes protein that lacks InterPro GPCR domains
TTRE10307	False	Encodes protein that lacks InterPro GPCR domains
TTRE10308	False	Encodes protein that lacks InterPro GPCR domains
TTRE10309	False	Encodes protein that lacks InterPro GPCR domains
TTRE1031	False	Encodes protein that lacks InterPro GPCR domains
TTRE10310	False	Encodes protein that lacks InterPro GPCR domains
TTRE10311	False	Encodes protein that lacks InterPro GPCR domains
TTRE10312	False	Encodes protein that lacks InterPro GPCR domains
TTRE10313	False	Encodes protein that lacks InterPro GPCR domains
TTRE10314	False	Encodes protein that lacks InterPro GPCR domains
TTRE10315	False	Encodes protein that lacks InterPro GPCR domains
TTRE10316	False	Encodes protein that lacks InterPro GPCR domains
TTRE10317	False	Encodes protein that lacks InterPro GPCR domains
TTRE10318	False	Encodes protein that lacks InterPro GPCR domains
TTRE10319	False	Encodes protein that lacks InterPro GPCR domains
TTRE1032	False	Encodes protein that lacks InterPro GPCR domains
TTRE10320	False	Encodes protein that lacks InterPro GPCR domains
TTRE10321	False	Encodes protein that lacks InterPro GPCR domains
TTRE10322	False	Encodes protein that lacks InterPro GPCR domains
TTRE10323	False	Encodes protein that lacks InterPro GPCR domains
TTRE10324	False	Encodes protein that lacks InterPro GPCR domains
TTRE10325	False	Encodes protein that lacks InterPro GPCR domains
TTRE10326	False	Encodes protein that lacks InterPro GPCR domains
TTRE10327	False	Encodes protein that lacks InterPro GPCR domains
TTRE10328	False	Encodes protein that lacks InterPro GPCR domains
TTRE10329	False	Encodes protein that lacks InterPro GPCR domains
TTRE1033	False	Encodes protein that lacks InterPro GPCR domains
TTRE10330	False	Encodes protein that lacks InterPro GPCR domains
TTRE10331	False	Encodes protein that lacks InterPro GPCR domains
TTRE10332	False	Encodes protein that lacks InterPro GPCR domains
TTRE10333	False	Encodes protein that lacks InterPro GPCR domains
TTRE10334	False	Encodes protein that lacks InterPro GPCR domains
TTRE10335	False	Encodes protein that lacks InterPro GPCR domains
TTRE10336	False	Encodes protein that lacks InterPro GPCR domains
TTRE10337	False	Encodes protein that lacks InterPro GPCR domains
TTRE10338	False	Encodes protein that lacks InterPro GPCR domains
TTRE10339	False	Encodes protein that lacks InterPro GPCR domains
TTRE1034	False	Encodes protein that lacks InterPro GPCR domains
TTRE10340	False	Encodes protein that lacks InterPro GPCR domains
TTRE10341	False	Encodes protein that lacks InterPro GPCR domains
TTRE10342	False	Encodes protein that lacks InterPro GPCR domains
TTRE10343	False	Encodes protein that lacks InterPro GPCR domains
TTRE10344	False	Encodes protein that lacks InterPro GPCR domains
TTRE10345	False	Encodes protein that lacks InterPro GPCR domains
TTRE10346	False	Encodes protein that lacks InterPro GPCR domains
TTRE10347	False	Encodes protein that lacks InterPro GPCR domains
TTRE10348	False	Encodes protein that lacks InterPro GPCR domains
TTRE10349	False	Encodes protein that lacks InterPro GPCR domains
TTRE1035	False	Encodes protein that lacks InterPro GPCR domains
TTRE10350	False	Encodes protein that lacks InterPro GPCR domains
TTRE10351	False	Encodes protein that lacks InterPro GPCR domains
TTRE10352	False	Encodes protein that lacks InterPro GPCR domains
TTRE10353	False	Encodes protein that lacks InterPro GPCR domains
TTRE10354	False	Encodes protein that lacks InterPro GPCR domains
TTRE10355	False	Encodes protein that lacks InterPro GPCR domains
TTRE10356	False	Encodes protein that lacks InterPro GPCR domains
TTRE10357	False	Encodes protein that lacks InterPro GPCR domains
TTRE10358	False	Encodes protein that lacks InterPro GPCR domains
TTRE10359	False	Encodes protein that lacks InterPro GPCR domains
TTRE1036	False	Encodes protein that lacks InterPro GPCR domains
TTRE10360	False	Encodes protein that lacks InterPro GPCR domains
TTRE10361	False	Encodes protein that lacks InterPro GPCR domains
TTRE10362	False	Encodes protein that lacks InterPro GPCR domains
TTRE10363	False	Encodes protein that lacks InterPro GPCR domains
TTRE10364	False	Encodes protein that lacks InterPro GPCR domains
TTRE10365	False	Encodes protein that lacks InterPro GPCR domains
TTRE10366	False	Encodes protein that lacks InterPro GPCR domains
TTRE10367	False	Encodes protein that lacks InterPro GPCR domains
TTRE10368	False	Encodes protein that lacks InterPro GPCR domains
TTRE10369	False	Encodes protein that lacks InterPro GPCR domains
TTRE1037	False	Encodes protein that lacks InterPro GPCR domains
TTRE10370	False	Encodes protein that lacks InterPro GPCR domains
TTRE10371	False	Encodes protein that lacks InterPro GPCR domains
TTRE10372	False	Encodes protein that lacks InterPro GPCR domains
TTRE10373	False	Encodes protein that lacks InterPro GPCR domains
TTRE10374	False	Encodes protein that lacks InterPro GPCR domains
TTRE10375	False	Encodes protein that lacks InterPro GPCR domains
TTRE10376	False	Encodes protein that lacks InterPro GPCR domains
TTRE10377	False	Encodes protein that lacks InterPro GPCR domains
TTRE10378	False	Encodes protein that lacks InterPro GPCR domains
TTRE10379	False	Encodes protein that lacks InterPro GPCR domains
TTRE1038	False	Encodes protein that lacks InterPro GPCR domains
TTRE10380	False	Encodes protein that lacks InterPro GPCR domains
TTRE10381	False	Encodes protein that lacks InterPro GPCR domains
TTRE10382	False	Encodes protein that lacks InterPro GPCR domains
TTRE10383	False	Encodes protein that lacks InterPro GPCR domains
TTRE10384	False	Encodes protein that lacks InterPro GPCR domains
TTRE10385	False	Encodes protein that lacks InterPro GPCR domains
TTRE10386	False	Encodes protein that lacks InterPro GPCR domains
TTRE10387	False	Encodes protein that lacks InterPro GPCR domains
TTRE10388	False	Encodes protein that lacks InterPro GPCR domains
TTRE10389	False	Encodes protein that lacks InterPro GPCR domains
TTRE1039	False	Encodes protein that lacks InterPro GPCR domains
TTRE10390	False	Encodes protein that lacks InterPro GPCR domains
TTRE10391	False	Encodes protein that lacks InterPro GPCR domains
TTRE10392	False	Encodes protein that lacks InterPro GPCR domains
TTRE10393	False	Encodes protein that lacks InterPro GPCR domains
TTRE10394	False	Encodes protein that lacks InterPro GPCR domains
TTRE10396	False	Encodes protein that lacks InterPro GPCR domains
TTRE10397	False	Encodes protein that lacks InterPro GPCR domains
TTRE10398	False	Encodes protein that lacks InterPro GPCR domains
TTRE10399	False	Encodes protein that lacks InterPro GPCR domains
TTRE104	False	Encodes protein that lacks InterPro GPCR domains
TTRE1040	False	Encodes protein that lacks InterPro GPCR domains
TTRE10400	False	Encodes protein that lacks InterPro GPCR domains
TTRE10401	False	Encodes protein that lacks InterPro GPCR domains
TTRE10402	False	Encodes protein that lacks InterPro GPCR domains
TTRE10403	False	Encodes protein that lacks InterPro GPCR domains
TTRE10404	False	Encodes protein that lacks InterPro GPCR domains
TTRE10405	False	Encodes protein that lacks InterPro GPCR domains
TTRE10406	False	Encodes protein that lacks InterPro GPCR domains
TTRE10407	False	Encodes protein that lacks InterPro GPCR domains
TTRE10408	False	Encodes protein that lacks InterPro GPCR domains
TTRE10409	False	Encodes protein that lacks InterPro GPCR domains
TTRE1041	False	Encodes protein that lacks InterPro GPCR domains
TTRE10410	False	Encodes protein that lacks InterPro GPCR domains
TTRE10411	False	Encodes protein that lacks InterPro GPCR domains
TTRE10412	False	Encodes protein that lacks InterPro GPCR domains
