Gene stable ID,principal_transcript_id,principal_cds_length,principal_isoform_type,gene_description,genome_name,transcript_biotype,species,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence
TTRE10010,TTRE10010_t1,945,protein_coding,RabGAP-TBC domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0S6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000068354,TBC1D25,ortholog_one2one,25.447,26.8895,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TBC1D25",True,Best human orthologue in WormBase ParaSite has < 40% identity: TBC1D25 25.447%
TTRE10011,TTRE10011_t1,216,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10012,TTRE10012_t1,258,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000106290,TAF6,ortholog_one2many,31.1927,20.0886,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TAF6",True,Best human orthologue in WormBase ParaSite has < 40% identity: TAF6 31.1927%
TTRE10013,TTRE10013_t1,177,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10014,TTRE10014_t1,330,protein_coding,PDZ domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1J9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10015,TTRE10015_t1,1237,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000113522,RAD50,ortholog_one2one,27.4834,12.6524,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RAD50",True,Best human orthologue in WormBase ParaSite has < 40% identity: RAD50 27.4834%
TTRE10016,TTRE10016_t1,221,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10017,TTRE10017_t1,387,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000143393,PI4KB,ortholog_one2one,43.5424,43.3824,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PI4KB",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PI4KB 43.5424%
TTRE10018,TTRE10018_t1,245,protein_coding,DS domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z365],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000095059,DHPS,ortholog_one2one,54.6667,55.5556,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DHPS",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DHPS 54.6667%
TTRE10019,TTRE10019_t1,632,protein_coding,Serine  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4E9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000130822,PNCK,ortholog_many2many,25.072,25.3644,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PNCK",True,Best human orthologue in WormBase ParaSite has < 40% identity: PNCK 25.072%
TTRE1002,TTRE1002_t1,257,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10020,TTRE10020_t1,236,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000126217,MCF2L,ortholog_many2many,12.7796,7.11111,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MCF2L",True,Best human orthologue in WormBase ParaSite has < 40% identity: MCF2L 12.7796%
TTRE10021,TTRE10021_t1,188,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10022,TTRE10022_t1,1007,protein_coding,Hsp90 chaperone protein kinase-targeting subunit  [Source:UniProtKB/TrEMBL;Acc:A0A077Z357],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000106993,CDC37L1,ortholog_one2many,16.4179,16.3205,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CDC37L1",True,Best human orthologue in WormBase ParaSite has < 40% identity: CDC37L1 16.4179%
TTRE10023,TTRE10023_t1,116,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10024,TTRE10024_t1,157,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10026,TTRE10026_t1,299,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10027,TTRE10027_t1,125,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10028,TTRE10028_t1,188,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10029,TTRE10029_t1,347,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1003,TTRE1003_t1,315,protein_coding,Tyrosine protein kinase dnt  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0R9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000163785,RYK,ortholog_one2one,32.8836,32.1252,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RYK",True,Best human orthologue in WormBase ParaSite has < 40% identity: RYK 32.8836%
TTRE10030,TTRE10030_t1,305,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10031,TTRE10031_t1,687,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10032,TTRE10032_t1,298,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10033,TTRE10033_t1,181,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10034,TTRE10034_t1,4036,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10035,TTRE10035_t1,404,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10036,TTRE10036_t1,698,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10037,TTRE10037_t1,200,protein_coding,Coronin  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFS4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000102879,CORO1A,ortholog_many2many,43.3498,19.0889,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CORO1A",False,Best human orthologue found in WormBase Parasite has >= 40% identity: CORO1A 43.3498%
TTRE10038,TTRE10038_t1,221,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10039,TTRE10039_t1,127,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1004,TTRE1004_t1,590,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10040,TTRE10040_t1,359,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10041,TTRE10041_t1,213,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10042,TTRE10042_t1,546,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000081059,TCF7,ortholog_one2many,11.2219,23.4375,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TCF7",True,Best human orthologue in WormBase ParaSite has < 40% identity: TCF7 11.2219%
TTRE10043,TTRE10043_t2,468,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10044,TTRE10044_t1,223,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000163110,PDLIM5,ortholog_one2many,20.9677,21.8121,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PDLIM5",True,Best human orthologue in WormBase ParaSite has < 40% identity: PDLIM5 20.9677%
TTRE10045,TTRE10045_t1,632,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000164093,PITX2,ortholog_one2one,28.2878,35.1852,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PITX2",True,Best human orthologue in WormBase ParaSite has < 40% identity: PITX2 28.2878%
TTRE10046,TTRE10046_t1,417,protein_coding,Organic cation transporter protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXM1],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10047,TTRE10047_t1,293,protein_coding,Sugar tr domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXL1],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10048,TTRE10048_t1,333,protein_coding,Cysteine and tyrosine-rich protein 1  [Source:UniProtKB/TrEMBL;Acc:A0A077YYI8],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10049,TTRE10049_t1,1148,protein_coding,Forkhead box protein G1  [Source:UniProtKB/TrEMBL;Acc:A0A077YWV4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000184492,FOXD4L1,ortholog_many2many,20.4188,19.1176,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FOXD4L1",True,Best human orthologue in WormBase ParaSite has < 40% identity: FOXD4L1 20.4188%
TTRE1005,TTRE1005_t1,574,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000177731,FLII,ortholog_one2one,52.934,34.1214,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FLII",False,Best human orthologue found in WormBase Parasite has >= 40% identity: FLII 52.934%
TTRE10050,TTRE10050_t1,234,protein_coding,PLAT domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXL6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000008710,PKD1,ortholog_one2many,27.3381,0.883105,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PKD1",True,Best human orthologue in WormBase ParaSite has < 40% identity: PKD1 27.3381%
TTRE10051,TTRE10051_t1,177,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000167578,RAB4B,ortholog_one2one,65.5814,66.1972,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RAB4B",False,Best human orthologue found in WormBase Parasite has >= 40% identity: RAB4B 65.5814%
TTRE10052,TTRE10052_t1,311,protein_coding,GTP binding protein yptV4  [Source:UniProtKB/TrEMBL;Acc:A0A077YXK5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10053,TTRE10053_t1,1360,protein_coding,Protein unc h protein unc g protein unc f prot ein unc d protein unc b  [Source:UniProtKB/TrEMBL;Acc:A0A077YYI4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10054,TTRE10054_t1,333,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10055,TTRE10055_t1,438,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10056,TTRE10056_t1,198,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10057,TTRE10057_t1,720,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10058,TTRE10058_t1,419,protein_coding,HLH domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YWT9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000205927,OLIG2,ortholog_one2one,28.1081,16.0991,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: OLIG2",True,Best human orthologue in WormBase ParaSite has < 40% identity: OLIG2 28.1081%
TTRE10059,TTRE10059_t1,721,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000175536,LIPT2,ortholog_one2one,24.7911,38.5281,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: LIPT2",True,Best human orthologue in WormBase ParaSite has < 40% identity: LIPT2 24.7911%
TTRE1006,TTRE1006_t1,462,protein_coding,Leucine carboxyl methyltransferase 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7T6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000205629,LCMT1,ortholog_one2one,26.6106,28.4431,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: LCMT1",True,Best human orthologue in WormBase ParaSite has < 40% identity: LCMT1 26.6106%
TTRE10060,TTRE10060_t1,204,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10061,TTRE10061_t1,362,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10062,TTRE10062_t1,253,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10063,TTRE10063_t1,518,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10064,TTRE10064_t1,129,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10065,TTRE10065_t1,194,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10066,TTRE10066_t1,212,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10067,TTRE10067_t1,2807,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10068,TTRE10068_t1,184,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10069,TTRE10069_t1,275,protein_coding,Dual specificity phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z283],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000110536,PTPMT1,ortholog_one2one,30.6878,28.8557,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PTPMT1",True,Best human orthologue in WormBase ParaSite has < 40% identity: PTPMT1 30.6878%
TTRE1007,TTRE1007_t1,240,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000175467,SART1,ortholog_one2one,42.132,10.375,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SART1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: SART1 42.132%
TTRE10070,TTRE10070_t1,357,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000141552,ANAPC11,ortholog_one2one,33.0709,50.0,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ANAPC11",True,Best human orthologue in WormBase ParaSite has < 40% identity: ANAPC11 33.0709%
TTRE10071,TTRE10071_t1,903,protein_coding,Exosome complex exonuclease RRP44  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4K2],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000083520,DIS3,ortholog_one2one,49.0073,48.9562,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DIS3",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DIS3 49.0073%
TTRE10072,TTRE10072_t1,357,protein_coding,Ubiquinol-cytochrome-c reductase complex assembly factor 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z278],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10073,TTRE10073_t1,313,protein_coding,Pilt domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z432],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10074,TTRE10074_t1,647,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000112238,PRDM13,ortholog_one2many,31.8386,10.0424,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PRDM13",True,Best human orthologue in WormBase ParaSite has < 40% identity: PRDM13 31.8386%
TTRE10075,TTRE10075_t1,971,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10076,TTRE10076_t1,949,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10077,TTRE10077_t1,443,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000075856,SART3,ortholog_one2one,27.46,24.9221,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SART3",True,Best human orthologue in WormBase ParaSite has < 40% identity: SART3 27.46%
TTRE10078,TTRE10078_t1,1169,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000164252,AGGF1,ortholog_one2one,9.93843,15.8263,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: AGGF1",True,Best human orthologue in WormBase ParaSite has < 40% identity: AGGF1 9.93843%
TTRE10079,TTRE10079_t1,135,protein_coding,Transcription elongation factor 1 homolog  [Source:UniProtKB/TrEMBL;Acc:A0A077Z421],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000130165,ELOF1,ortholog_one2many,64.2857,65.0602,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ELOF1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: ELOF1 64.2857%
TTRE1008,TTRE1008_t1,1028,protein_coding,7TM GPCR Srsx domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXP3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10080,TTRE10080_t1,608,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10081,TTRE10081_t1,1220,protein_coding,TWiK family of potassium channels protein 9  [Source:UniProtKB/TrEMBL;Acc:A0A077Z264],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000100726,TELO2,ortholog_one2one,20.1502,19.2354,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TELO2",True,Best human orthologue in WormBase ParaSite has < 40% identity: TELO2 20.1502%
TTRE10082,TTRE10082_t1,866,protein_coding,SAP30 binding protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7C5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000161526,SAP30BP,ortholog_one2one,21.1806,19.8052,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SAP30BP",True,Best human orthologue in WormBase ParaSite has < 40% identity: SAP30BP 21.1806%
